LAT,LON
0.388282000000000E+02,-0.753449770000000E+02
0.388288090000000E+02,-0.753364830000000E+02
0.388280320000000E+02,-0.753289320000000E+02
0.388241880000000E+02,-0.753211770000000E+02
0.388209600000000E+02,-0.753202110000000E+02
0.388137270000000E+02,-0.753272030000000E+02
0.388153970000000E+02,-0.753332880000000E+02
0.388159220000000E+02,-0.753379700000000E+02
0.388149140000000E+02,-0.753425050000000E+02
0.388138390000000E+02,-0.753446920000000E+02
0.388111600000000E+02,-0.753431760000000E+02
0.388080240000000E+02,-0.753421800000000E+02
0.387976990000000E+02,-0.753417990000000E+02
0.387939010000000E+02,-0.753405070000000E+02
0.387864850000000E+02,-0.753406210000000E+02
0.387836150000000E+02,-0.753655940000000E+02
0.387816200000000E+02,-0.753728740000000E+02
0.387817350000000E+02,-0.753761980000000E+02
0.387832020000000E+02,-0.753803490000000E+02
0.387833410000000E+02,-0.753835370000000E+02
0.387803670000000E+02,-0.753889780000000E+02
0.387756370000000E+02,-0.753999570000000E+02
0.387756370000000E+02,-0.753999570000000E+02
0.387719740000000E+02,-0.754091000000000E+02
0.387681530000000E+02,-0.754145700000000E+02
0.387638270000000E+02,-0.754185470000000E+02
0.387618820000000E+02,-0.754186060000000E+02
0.387623870000000E+02,-0.754337800000000E+02
0.387593190000000E+02,-0.754464960000000E+02
0.387581050000000E+02,-0.754565820000000E+02
0.387549680000000E+02,-0.754592410000000E+02
0.387527030000000E+02,-0.754581590000000E+02
0.387495910000000E+02,-0.754601760000000E+02
0.387479190000000E+02,-0.754636540000000E+02
0.387476730000000E+02,-0.754651450000000E+02
0.387476730000000E+02,-0.754651450000000E+02
0.387498950000000E+02,-0.754658610000000E+02
0.387489930000000E+02,-0.754702900000000E+02
0.387556290000000E+02,-0.754852740000000E+02
0.387594700000000E+02,-0.754853490000000E+02
0.387604540000000E+02,-0.754848230000000E+02
0.387614850000000E+02,-0.754834210000000E+02
0.387624460000000E+02,-0.754832750000000E+02
0.387667030000000E+02,-0.754853540000000E+02
0.387685330000000E+02,-0.754876350000000E+02
0.387685390000000E+02,-0.754894810000000E+02
0.387645240000000E+02,-0.754947080000000E+02
0.387626240000000E+02,-0.754957010000000E+02
0.387603130000000E+02,-0.754935360000000E+02
0.387569940000000E+02,-0.754930360000000E+02
0.387568320000000E+02,-0.754964270000000E+02
0.387590510000000E+02,-0.754988840000000E+02
0.387638860000000E+02,-0.755090540000000E+02
0.387634760000000E+02,-0.755137910000000E+02
0.387667960000000E+02,-0.755166250000000E+02
0.387684670000000E+02,-0.755157770000000E+02
0.387684670000000E+02,-0.755157770000000E+02
0.387711210000000E+02,-0.755129090000000E+02
0.387788800000000E+02,-0.755105930000000E+02
0.387846920000000E+02,-0.755077820000000E+02
0.387949430000000E+02,-0.754986230000000E+02
0.387999560000000E+02,-0.754984810000000E+02
0.388015120000000E+02,-0.754977800000000E+02
0.388038510000000E+02,-0.754905560000000E+02
0.388044460000000E+02,-0.754899430000000E+02
0.388062020000000E+02,-0.754895280000000E+02
0.388062020000000E+02,-0.754895280000000E+02
0.388079800000000E+02,-0.754655470000000E+02
0.388122600000000E+02,-0.754637350000000E+02
0.388166660000000E+02,-0.754629300000000E+02
0.388172970000000E+02,-0.754581200000000E+02
0.388144820000000E+02,-0.754572410000000E+02
0.388132230000000E+02,-0.754574750000000E+02
0.388097450000000E+02,-0.754533190000000E+02
0.388064950000000E+02,-0.754474680000000E+02
0.388066560000000E+02,-0.754386040000000E+02
0.388267990000000E+02,-0.754387810000000E+02
0.388282180000000E+02,-0.754346550000000E+02
0.388286060000000E+02,-0.754268410000000E+02
0.388295220000000E+02,-0.754256120000000E+02
0.388322460000000E+02,-0.754236890000000E+02
0.388082800000000E+02,-0.754228050000000E+02
0.388098720000000E+02,-0.754192890000000E+02
0.388169990000000E+02,-0.754114230000000E+02
0.388213460000000E+02,-0.754076180000000E+02
0.388275480000000E+02,-0.754032850000000E+02
0.388305900000000E+02,-0.753951490000000E+02
0.388348930000000E+02,-0.753953220000000E+02
0.388328730000000E+02,-0.753813340000000E+02
0.388287090000000E+02,-0.753845560000000E+02
0.388232790000000E+02,-0.753746390000000E+02
0.388216320000000E+02,-0.753757840000000E+02
0.388175120000000E+02,-0.753723490000000E+02
0.388210410000000E+02,-0.753641590000000E+02
0.388204690000000E+02,-0.753622570000000E+02
0.388181810000000E+02,-0.753597980000000E+02
0.388186440000000E+02,-0.753449930000000E+02
0.388265190000000E+02,-0.753435040000000E+02
0.388282000000000E+02,-0.753449770000000E+02
END,END
0.388062020000000E+02,-0.754895280000000E+02
0.388060780000000E+02,-0.754996450000000E+02
0.388075200000000E+02,-0.754996450000000E+02
0.388134160000000E+02,-0.754958010000000E+02
0.388135770000000E+02,-0.754941050000000E+02
0.388076970000000E+02,-0.754892720000000E+02
0.388068040000000E+02,-0.754892720000000E+02
0.388068040000000E+02,-0.754892720000000E+02
0.388062020000000E+02,-0.754895280000000E+02
END,END
