LAT,LON
0.289396890000000E+02,-0.813499630000000E+02
0.289389050000000E+02,-0.813532590000000E+02
0.289391770000000E+02,-0.813543950000000E+02
0.289402650000000E+02,-0.813556590000000E+02
0.289425530000000E+02,-0.813555310000000E+02
0.289458330000000E+02,-0.813533230000000E+02
0.289468400000000E+02,-0.813535950000000E+02
0.289469040000000E+02,-0.813549710000000E+02
0.289449370000000E+02,-0.813566990000000E+02
0.289439930000000E+02,-0.813582030000000E+02
0.289443610000000E+02,-0.813596910000000E+02
0.289460730000000E+02,-0.813592750000000E+02
0.289489840000000E+02,-0.813545070000000E+02
0.289502480000000E+02,-0.813544430000000E+02
0.289508080000000E+02,-0.813555310000000E+02
0.289506960000000E+02,-0.813582670000000E+02
0.289512400000000E+02,-0.813604430000000E+02
0.289520560000000E+02,-0.813608110000000E+02
0.289534160000000E+02,-0.813606190000000E+02
0.289548080000000E+02,-0.813589390000000E+02
0.289555760000000E+02,-0.813590670000000E+02
0.289569040000000E+02,-0.813613070000000E+02
0.289557520000000E+02,-0.813630030000000E+02
0.289512560000000E+02,-0.813635150000000E+02
0.289495600000000E+02,-0.813646350000000E+02
0.289472880000000E+02,-0.813645390000000E+02
0.289405210000000E+02,-0.813627470000000E+02
0.289402970000000E+02,-0.813639150000000E+02
0.289363770000000E+02,-0.813652270000000E+02
0.289331450000000E+02,-0.813644110000000E+02
0.289333050000000E+02,-0.813625550000000E+02
0.289316250000000E+02,-0.813613230000000E+02
0.289298490000000E+02,-0.813607790000000E+02
0.289206660000000E+02,-0.813610670000000E+02
0.289205860000000E+02,-0.813614190000000E+02
0.289240570000000E+02,-0.813616910000000E+02
0.289258170000000E+02,-0.813625390000000E+02
0.289312890000000E+02,-0.813616910000000E+02
0.289330810000000E+02,-0.813633550000000E+02
0.289319610000000E+02,-0.813642030000000E+02
0.289321690000000E+02,-0.813644590000000E+02
0.289365850000000E+02,-0.813658990000000E+02
0.289418010000000E+02,-0.813637870000000E+02
0.289437210000000E+02,-0.813657230000000E+02
0.289486160000000E+02,-0.813665230000000E+02
0.289551600000000E+02,-0.813637070000000E+02
0.289547920000000E+02,-0.813664910000000E+02
0.289540240000000E+02,-0.813668270000000E+02
0.289543280000000E+02,-0.813674670000000E+02
0.289571600000000E+02,-0.813709550000000E+02
0.289585040000000E+02,-0.813714510000000E+02
0.289595100000000E+02,-0.813702780000000E+02
0.289600720000000E+02,-0.813681070000000E+02
0.289612880000000E+02,-0.813663150000000E+02
0.289662480000000E+02,-0.813695630000000E+02
0.289680720000000E+02,-0.813703630000000E+02
0.289692720000000E+02,-0.813701550000000E+02
0.289696400000000E+02,-0.813694350000000E+02
0.289686800000000E+02,-0.813655790000000E+02
0.289694640000000E+02,-0.813642990000000E+02
0.289757510000000E+02,-0.813625700000000E+02
0.289821510000000E+02,-0.813560740000000E+02
0.289838150000000E+02,-0.813554020000000E+02
0.289853510000000E+02,-0.813554180000000E+02
0.289897030000000E+02,-0.813594980000000E+02
0.289920550000000E+02,-0.813640260000000E+02
0.289926790000000E+02,-0.813664100000000E+02
0.289900230000000E+02,-0.813640900000000E+02
0.289896550000000E+02,-0.813613860000000E+02
0.289884550000000E+02,-0.813603460000000E+02
0.289869830000000E+02,-0.813606820000000E+02
0.289857159100586E+02,-0.813622178328125E+02
0.289868390000000E+02,-0.813662340000000E+02
0.289835590000000E+02,-0.813640100000000E+02
0.289803270000000E+02,-0.813645220000000E+02
0.289789670000000E+02,-0.813656590000000E+02
