LAT,LON
0.284098520000000E+02,-0.806314600000000E+02
0.284098680000000E+02,-0.806321370000000E+02
0.284168510000000E+02,-0.806318270000000E+02
0.284184310000000E+02,-0.806301080000000E+02
0.284187700000000E+02,-0.806275350000000E+02
0.284185170000000E+02,-0.806111650000000E+02
0.284156740000000E+02,-0.806111840000000E+02
0.284155730000000E+02,-0.806064490000000E+02
0.284133830000000E+02,-0.806062820000000E+02
0.284105240000000E+02,-0.806031740000000E+02
0.284103950000000E+02,-0.805953700000000E+02
0.284108130000000E+02,-0.805924900000000E+02
0.284108130000000E+02,-0.805924900000000E+02
0.284104420000000E+02,-0.805924890000000E+02
0.284102180000000E+02,-0.805945150000000E+02
0.284102670000000E+02,-0.806034190000000E+02
0.284132790000000E+02,-0.806069190000000E+02
0.284153030000000E+02,-0.806066950000000E+02
0.284154550000000E+02,-0.806074620000000E+02
0.284148270000000E+02,-0.806114700000000E+02
0.284115220000000E+02,-0.806115160000000E+02
0.284095470000000E+02,-0.806126090000000E+02
0.284096470000000E+02,-0.806214690000000E+02
0.284099340000000E+02,-0.806223240000000E+02
0.284140800000000E+02,-0.806211670000000E+02
0.284161420000000E+02,-0.806212320000000E+02
0.284164130000000E+02,-0.806275360000000E+02
0.284150990000000E+02,-0.806313790000000E+02
0.284098520000000E+02,-0.806314600000000E+02
END,END
0.283682060000000E+02,-0.806134590000000E+02
0.283682830000000E+02,-0.806140740000000E+02
0.283727830000000E+02,-0.806096740000000E+02
0.283765830000000E+02,-0.806086740000000E+02
0.283854820000000E+02,-0.806088740000000E+02
0.283885820000000E+02,-0.806111740000000E+02
0.283910820000000E+02,-0.806140740000000E+02
0.283916820000000E+02,-0.806194740000000E+02
0.284005820000000E+02,-0.806195740000000E+02
0.284049820000000E+02,-0.806239740000000E+02
0.284052820000000E+02,-0.806251740000000E+02
0.284030820000000E+02,-0.806301740000000E+02
0.284049820000000E+02,-0.806338740000000E+02
0.284048820000000E+02,-0.806436750000000E+02
0.284055820000000E+02,-0.806437750000000E+02
0.284088820000000E+02,-0.806390740000000E+02
0.284089820000000E+02,-0.806312740000000E+02
0.284073820000000E+02,-0.806310740000000E+02
0.284062820000000E+02,-0.806301740000000E+02
0.284065820000000E+02,-0.806283740000000E+02
0.284088820000000E+02,-0.806257740000000E+02
0.284087810000000E+02,-0.805922730000000E+02
0.284081810000000E+02,-0.805914730000000E+02
0.284081089570403E+02,-0.805889514963907E+02
0.284081089570403E+02,-0.805889514963907E+02
0.284081089570397E+02,-0.805889514963909E+02
0.284062404801425E+02,-0.805897258760547E+02
0.284059762545808E+02,-0.805898353828418E+02
0.283906820000000E+02,-0.805961740000000E+02
0.283798812729975E+02,-0.805990866646847E+02
0.283798812729975E+02,-0.805990866646847E+02
0.283789830000000E+02,-0.806056740000000E+02
0.283684840000000E+02,-0.806055810000000E+02
0.283687830000000E+02,-0.806130740000000E+02
0.283682060000000E+02,-0.806134590000000E+02
END,END
