LAT,LON
0.286540790000000E+02,-0.806561860000000E+02
0.286556840000000E+02,-0.806564970000000E+02
0.286606830000000E+02,-0.806617200000000E+02
0.286552240000000E+02,-0.806493760000000E+02
0.286521040000000E+02,-0.806443350000000E+02
0.286520830000000E+02,-0.806483890000000E+02
0.286563940000000E+02,-0.806536120000000E+02
0.286563260000000E+02,-0.806547040000000E+02
0.286540790000000E+02,-0.806561860000000E+02
END,END
0.285212540000000E+02,-0.806244620000000E+02
0.285208180000000E+02,-0.806252140000000E+02
0.285111450000000E+02,-0.806305070000000E+02
0.285082120000000E+02,-0.806326890000000E+02
0.285083070000000E+02,-0.806434350000000E+02
0.285201600000000E+02,-0.806433520000000E+02
0.285202070000000E+02,-0.806482320000000E+02
0.285158970000000E+02,-0.806484150000000E+02
0.285161300000000E+02,-0.806669750000000E+02
0.284928420000000E+02,-0.806745830000000E+02
0.284892670000000E+02,-0.806833550000000E+02
0.284889000000000E+02,-0.806892200000000E+02
0.284852950000000E+02,-0.806929150000000E+02
0.284852380000000E+02,-0.806997920000000E+02
0.284897960000000E+02,-0.806997350000000E+02
0.284959740000000E+02,-0.807006390000000E+02
0.284958800000000E+02,-0.807084190000000E+02
0.285043670000000E+02,-0.807087880000000E+02
0.285078480000000E+02,-0.807126320000000E+02
0.285079080000000E+02,-0.807246960000000E+02
0.285154020000000E+02,-0.807246460000000E+02
0.285154200000000E+02,-0.807285250000000E+02
0.285154200000000E+02,-0.807285250000000E+02
0.285231420000000E+02,-0.807281080000000E+02
0.285250910000000E+02,-0.807284980000000E+02
0.285257320000000E+02,-0.807291470000000E+02
0.285264930000000E+02,-0.807497750000000E+02
0.285264930000000E+02,-0.807497750000000E+02
0.285270590000000E+02,-0.807497750000000E+02
0.285259430000000E+02,-0.806639100000000E+02
0.285605850000000E+02,-0.806553320000000E+02
0.285810810000000E+02,-0.806554550000000E+02
0.285861150000000E+02,-0.806540160000000E+02
0.285886160000000E+02,-0.806542840000000E+02
0.285893130000000E+02,-0.806577900000000E+02
0.285972250000000E+02,-0.806642040000000E+02
0.286014900000000E+02,-0.806682820000000E+02
0.286178800000000E+02,-0.806788250000000E+02
0.286177660000000E+02,-0.806593150000000E+02
0.286146870000000E+02,-0.806577200000000E+02
0.286146870000000E+02,-0.806577200000000E+02
0.286138680000000E+02,-0.806580690000000E+02
0.286109340000000E+02,-0.806634220000000E+02
0.286124940000000E+02,-0.806659930000000E+02
0.286125850000000E+02,-0.806647720000000E+02
0.286152680000000E+02,-0.806626670000000E+02
0.286156350000000E+02,-0.806640440000000E+02
0.286148320000000E+02,-0.806655250000000E+02
0.286111180000000E+02,-0.806675780000000E+02
0.286062810000000E+02,-0.806691900000000E+02
0.286003890000000E+02,-0.806658660000000E+02
0.285988520000000E+02,-0.806629050000000E+02
0.285950680000000E+02,-0.806583080000000E+02
0.285904370000000E+02,-0.806582570000000E+02
0.285894510000000E+02,-0.806573220000000E+02
0.285895650000000E+02,-0.806562570000000E+02
0.285908720000000E+02,-0.806548800000000E+02
0.285935540000000E+02,-0.806542300000000E+02
0.285975890000000E+02,-0.806552940000000E+02
0.285987820000000E+02,-0.806567740000000E+02
0.285988740000000E+02,-0.806588520000000E+02
0.286022670000000E+02,-0.806608000000000E+02
0.286057510000000E+02,-0.806577850000000E+02
0.286065070000000E+02,-0.806534980000000E+02
0.286036860000000E+02,-0.806510050000000E+02
0.286047620000000E+02,-0.806459650000000E+02
0.286072600000000E+02,-0.806427170000000E+02
0.286099860000000E+02,-0.806360910000000E+02
0.286081980000000E+02,-0.806355980000000E+02
0.286051260000000E+02,-0.806360410000000E+02
0.286046220000000E+02,-0.806365870000000E+02
0.286008840000000E+02,-0.806363810000000E+02
0.285953810000000E+02,-0.806337340000000E+02
0.285936840000000E+02,-0.806323580000000E+02
0.285936830000000E+02,-0.806299940000000E+02
0.285959980000000E+02,-0.806238880000000E+02
0.285982450000000E+02,-0.806200440000000E+02
0.286000110000000E+02,-0.806191100000000E+02
0.286032200000000E+02,-0.806205400000000E+02
0.286062000000000E+02,-0.806230880000000E+02
0.286081710000000E+02,-0.806268420000000E+02
0.286127140000000E+02,-0.806334130000000E+02
0.286183110000000E+02,-0.806401920000000E+02
0.286181500000000E+02,-0.806405030000000E+02
0.286145280000000E+02,-0.806400110000000E+02
0.286094400000000E+02,-0.806466130000000E+02
0.286095100000000E+02,-0.806504840000000E+02
0.286104970000000E+02,-0.806540170000000E+02
0.286130650000000E+02,-0.806562240000000E+02
0.286198750000000E+02,-0.806562480000000E+02
0.286222260000000E+02,-0.806574260000000E+02
0.286222260000000E+02,-0.806574260000000E+02
0.286231530000000E+02,-0.806554160000000E+02
0.286278970000000E+02,-0.806551550000000E+02
0.286340880000000E+02,-0.806635730000000E+02
0.286432820000000E+02,-0.806636230000000E+02
0.286432700000000E+02,-0.806259390000000E+02
0.286424996620459E+02,-0.806223797242249E+02
0.286424996620459E+02,-0.806223797242249E+02
0.286345610000000E+02,-0.806167900000000E+02
0.286230041747248E+02,-0.806064717643666E+02
0.285977050000000E+02,-0.805838840000000E+02
0.285851660000000E+02,-0.805748680000000E+02
0.285623530000000E+02,-0.805673610000000E+02
0.285307360000000E+02,-0.805609730000000E+02
0.284994092233186E+02,-0.805460231830570E+02
0.284786470000000E+02,-0.805361150000000E+02
0.284594540000000E+02,-0.805250940000000E+02
0.284592464071047E+02,-0.805251378814250E+02
0.284517050000000E+02,-0.805267320000000E+02
0.284473906441539E+02,-0.805379299313555E+02
0.284377790000000E+02,-0.805628770000000E+02
0.284350192772129E+02,-0.805659795181088E+02
0.284277640000000E+02,-0.805741360000000E+02
0.284109927596917E+02,-0.805877023741245E+02
0.284109927596917E+02,-0.805877023741245E+02
0.284107600000000E+02,-0.805901300000000E+02
0.284135700000000E+02,-0.805914720000000E+02
0.284184360000000E+02,-0.805919960000000E+02
0.284184260000000E+02,-0.805951810000000E+02
0.284147630000000E+02,-0.805950090000000E+02
0.284108130000000E+02,-0.805924900000000E+02
0.284108130000000E+02,-0.805924900000000E+02
0.284103950000000E+02,-0.805953700000000E+02
0.284105240000000E+02,-0.806031740000000E+02
0.284133830000000E+02,-0.806062820000000E+02
0.284155730000000E+02,-0.806064490000000E+02
0.284156740000000E+02,-0.806111840000000E+02
0.284185170000000E+02,-0.806111650000000E+02
0.284187700000000E+02,-0.806275350000000E+02
0.284184310000000E+02,-0.806301080000000E+02
0.284168510000000E+02,-0.806318270000000E+02
0.284098680000000E+02,-0.806321370000000E+02
0.284098520000000E+02,-0.806314600000000E+02
0.284098520000000E+02,-0.806314600000000E+02
0.284092960000000E+02,-0.806395790000000E+02
0.284096740000000E+02,-0.806402180000000E+02
0.284104110000000E+02,-0.806346370000000E+02
0.284127810000000E+02,-0.806327560000000E+02
0.284153370000000E+02,-0.806327310000000E+02
0.284173000000000E+02,-0.806321550000000E+02
0.284188260000000E+02,-0.806301830000000E+02
0.284203740000000E+02,-0.806155440000000E+02
0.284196940000000E+02,-0.806115740000000E+02
0.284198850000000E+02,-0.806038880000000E+02
0.284286000000000E+02,-0.806023410000000E+02
0.284298930000000E+02,-0.806024620000000E+02
0.284527620000000E+02,-0.805966190000000E+02
0.284562460000000E+02,-0.805968530000000E+02
0.284586530000000E+02,-0.805985400000000E+02
0.284594780000000E+02,-0.805996560000000E+02
0.284628940000000E+02,-0.805989830000000E+02
0.284695680000000E+02,-0.805942890000000E+02
0.284752320000000E+02,-0.805914880000000E+02
0.284790370000000E+02,-0.805911780000000E+02
0.284953850000000E+02,-0.805860690000000E+02
0.285040020000000E+02,-0.805844630000000E+02
0.285161760000000E+02,-0.805848550000000E+02
0.285243140000000E+02,-0.805936830000000E+02
0.285241330000000E+02,-0.805947970000000E+02
0.285238770000000E+02,-0.805978880000000E+02
0.285242900000000E+02,-0.805987710000000E+02
0.285257800000000E+02,-0.806011080000000E+02
0.285283700000000E+02,-0.806015500000000E+02
0.285347910000000E+02,-0.805996050000000E+02
0.285352730000000E+02,-0.805942050000000E+02
0.285361440000000E+02,-0.805929850000000E+02
0.285399730000000E+02,-0.805922070000000E+02
0.285506580000000E+02,-0.805921840000000E+02
0.285508640000000E+02,-0.805925220000000E+02
0.285572380000000E+02,-0.805920030000000E+02
0.285619850000000E+02,-0.805894340000000E+02
0.285632920000000E+02,-0.805879540000000E+02
0.285653550000000E+02,-0.805871230000000E+02
0.285742740000000E+02,-0.805868140000000E+02
0.285756030000000E+02,-0.805882170000000E+02
0.285772300000000E+02,-0.805931260000000E+02
0.285770230000000E+02,-0.805942940000000E+02
0.285755090000000E+02,-0.805970730000000E+02
