LAT,LON
0.320281430000000E+02,-0.836184840000000E+02
0.320281470000000E+02,-0.836095070000000E+02
0.320362070000000E+02,-0.836093780000000E+02
0.320362070000000E+02,-0.836093780000000E+02
0.320360480000000E+02,-0.836057480000000E+02
0.320386350000000E+02,-0.836060730000000E+02
0.320492610000000E+02,-0.836023680000000E+02
0.320595900000000E+02,-0.835958660000000E+02
0.320566140000000E+02,-0.835938480000000E+02
0.320545330000000E+02,-0.835832010000000E+02
0.320530910000000E+02,-0.835812380000000E+02
0.320524270000000E+02,-0.835789790000000E+02
0.320524970000000E+02,-0.835726060000000E+02
0.320568250000000E+02,-0.835701880000000E+02
0.320551540000000E+02,-0.835540540000000E+02
0.320526340000000E+02,-0.835442940000000E+02
0.320523560000000E+02,-0.835270060000000E+02
0.320529030000000E+02,-0.835176760000000E+02
0.320523750000000E+02,-0.835150690000000E+02
0.320409030000000E+02,-0.835132180000000E+02
0.320198360000000E+02,-0.835136310000000E+02
0.320172690000000E+02,-0.835088210000000E+02
0.320168320000000E+02,-0.835041180000000E+02
0.319645200000000E+02,-0.835045030000000E+02
0.319639930000000E+02,-0.835045570000000E+02
0.319702440000000E+02,-0.835145560000000E+02
0.319657390000000E+02,-0.835184700000000E+02
0.319639070000000E+02,-0.835189540000000E+02
0.319573560000000E+02,-0.835149820000000E+02
0.319497060000000E+02,-0.835111980000000E+02
0.319442330000000E+02,-0.835131350000000E+02
0.319417830000000E+02,-0.835144250000000E+02
0.319409140000000E+02,-0.835154730000000E+02
0.319395400000000E+02,-0.835155540000000E+02
0.319337910000000E+02,-0.835147780000000E+02
0.319331040000000E+02,-0.835141340000000E+02
0.319323240000000E+02,-0.835109650000000E+02
0.319314550000000E+02,-0.835097840000000E+02
0.319306990000000E+02,-0.835097850000000E+02
0.319290050000000E+02,-0.835127390000000E+02
0.319282040000000E+02,-0.835133300000000E+02
0.319239910000000E+02,-0.835144060000000E+02
0.319213800000000E+02,-0.835143000000000E+02
0.319159750000000E+02,-0.835115380000000E+02
0.319141180000000E+02,-0.835083440000000E+02
0.319140260000000E+02,-0.835069740000000E+02
0.319129720000000E+02,-0.835056320000000E+02
0.319119870000000E+02,-0.835052570000000E+02
0.319069730000000E+02,-0.835082660000000E+02
0.319075720000000E+02,-0.835178240000000E+02
0.319110320000000E+02,-0.835248020000000E+02
0.319149740000000E+02,-0.835355390000000E+02
0.319115620000000E+02,-0.835406680000000E+02
0.319111500000000E+02,-0.835418760000000E+02
0.319113800000000E+02,-0.835456070000000E+02
0.319010060000000E+02,-0.835467630000000E+02
0.318990500000000E+02,-0.835465980000000E+02
0.318989210000000E+02,-0.835355970000000E+02
0.318958530000000E+02,-0.835397580000000E+02
0.318835090000000E+02,-0.835398150000000E+02
0.318805550000000E+02,-0.835378570000000E+02
0.318798440000000E+02,-0.835339920000000E+02
0.318771410000000E+02,-0.835314710000000E+02
0.318715460000000E+02,-0.835275550000000E+02
0.318698280000000E+02,-0.835308080000000E+02
0.318697370000000E+02,-0.835361210000000E+02
0.318677370000000E+02,-0.835387930000000E+02
0.318602790000000E+02,-0.835355590000000E+02
0.318547140000000E+02,-0.835317510000000E+02
0.318477670000000E+02,-0.835286120000000E+02
0.318477670000000E+02,-0.835286120000000E+02
0.318478730000000E+02,-0.835433740000000E+02
0.318478730000000E+02,-0.835433740000000E+02
0.318479610000000E+02,-0.835475240000000E+02
0.318531020000000E+02,-0.835416400000000E+02
0.318540890000000E+02,-0.836122560000000E+02
0.318540890000000E+02,-0.836122560000000E+02
0.318595560000000E+02,-0.836122150000000E+02
0.318595560000000E+02,-0.836122150000000E+02
0.319594470000000E+02,-0.836108940000000E+02
0.319607850000000E+02,-0.836108980000000E+02
0.319878300000000E+02,-0.836102940000000E+02
0.319880050000000E+02,-0.836222800000000E+02
0.319859220000000E+02,-0.836231380000000E+02
0.319835180000000E+02,-0.836232440000000E+02
0.319786450000000E+02,-0.836266540000000E+02
0.319748210000000E+02,-0.836277850000000E+02
0.319753480000000E+02,-0.836296110000000E+02
0.320034760000000E+02,-0.836288890000000E+02
0.320035910000000E+02,-0.836164360000000E+02
0.320100100000000E+02,-0.836148450000000E+02
0.320137430000000E+02,-0.836132350000000E+02
0.320138550000000E+02,-0.836187710000000E+02
0.320189830000000E+02,-0.836186670000000E+02
0.320217090000000E+02,-0.836165990000000E+02
0.320239760000000E+02,-0.836164660000000E+02
0.320245030000000E+02,-0.836169230000000E+02
0.320246160000000E+02,-0.836185630000000E+02
0.320281430000000E+02,-0.836184840000000E+02
END,END
