LAT,LON
0.312931610000000E+02,-0.814017990000000E+02
0.313049270000000E+02,-0.813963210000000E+02
0.313133270000000E+02,-0.813894210000000E+02
0.313160270000000E+02,-0.813835200000000E+02
0.313186770000000E+02,-0.813703200000000E+02
0.313139780000000E+02,-0.813577190000000E+02
0.313128780000000E+02,-0.813380190000000E+02
0.313066280000000E+02,-0.813323180000000E+02
0.313087280000000E+02,-0.813229180000000E+02
0.313088280000000E+02,-0.813161180000000E+02
0.312970290000000E+02,-0.813051170000000E+02
0.312920290000000E+02,-0.812967170000000E+02
0.312916290000000E+02,-0.812918160000000E+02
0.312943290000000E+02,-0.812777150000000E+02
0.312944877829612E+02,-0.812699070204719E+02
0.312944877829612E+02,-0.812699070204719E+02
0.312913486527410E+02,-0.812728884992990E+02
0.312913486527410E+02,-0.812728884992990E+02
0.312897272509356E+02,-0.812809461912680E+02
0.312894460985586E+02,-0.812885371855846E+02
0.312886026632207E+02,-0.812989396491885E+02
0.312959125051604E+02,-0.813084986665579E+02
0.313057818033680E+02,-0.813174416083202E+02
0.313026600423461E+02,-0.813321150848459E+02
0.313091264380514E+02,-0.813397060682660E+02
0.313109040000000E+02,-0.813508890000000E+02
0.313140610000000E+02,-0.813828930000000E+02
0.313132370000000E+02,-0.813859360000000E+02
0.313075780000000E+02,-0.813909310000000E+02
0.312965570000000E+02,-0.813963280000000E+02
0.312924770000000E+02,-0.813940610000000E+02
0.312883182995544E+02,-0.813878275619832E+02
0.312910530000000E+02,-0.813872820000000E+02
0.312921300000000E+02,-0.813861340000000E+02
0.312920114115582E+02,-0.813824808197956E+02
0.312960903698571E+02,-0.813806067028100E+02
0.313012460000000E+02,-0.813744800000000E+02
0.312972754750672E+02,-0.813652003639188E+02
0.313006378606070E+02,-0.813604048285880E+02
0.313013680000000E+02,-0.813561170000000E+02
0.312993690845989E+02,-0.813444221592316E+02
0.312959640000000E+02,-0.813409010000000E+02
0.312928710000000E+02,-0.813349750000000E+02
0.312925520000000E+02,-0.813273160000000E+02
0.312876030000000E+02,-0.813180540000000E+02
0.312830880000000E+02,-0.813150650000000E+02
0.312773350000000E+02,-0.813155190000000E+02
0.312684226579637E+02,-0.813101288458985E+02
0.312649830000000E+02,-0.813105290000000E+02
0.312604810947146E+02,-0.813138770912770E+02
0.312610184135641E+02,-0.813235677387046E+02
0.312580734171547E+02,-0.813285485316521E+02
0.312477450000000E+02,-0.813322440000000E+02
0.312425088675034E+02,-0.813236330607575E+02
0.312221020000000E+02,-0.813120770000000E+02
0.312157760000000E+02,-0.813010630000000E+02
0.312154770000000E+02,-0.812966630000000E+02
0.312175135127206E+02,-0.812887306765738E+02
0.312175135127206E+02,-0.812887306765738E+02
0.312131783328001E+02,-0.812885102443843E+02
0.312131783328001E+02,-0.812885102443843E+02
0.312120850000000E+02,-0.812919180000000E+02
0.312134380000000E+02,-0.813081030000000E+02
0.312194890000000E+02,-0.813166370000000E+02
0.312348660000000E+02,-0.813264260000000E+02
0.312401140000000E+02,-0.813280540000000E+02
0.312449480000000E+02,-0.813356310000000E+02
0.312502300000000E+02,-0.813360990000000E+02
0.312636070000000E+02,-0.813300590000000E+02
0.312657840000000E+02,-0.813254180000000E+02
0.312659690000000E+02,-0.813140780000000E+02
0.312744020000000E+02,-0.813182400000000E+02
0.312832020000000E+02,-0.813185340000000E+02
0.312895960000000E+02,-0.813268620000000E+02
0.312919284775738E+02,-0.813383851050565E+02
0.312968800000000E+02,-0.813450120000000E+02
0.312997410000000E+02,-0.813568370000000E+02
0.312936640000000E+02,-0.813647060000000E+02
0.312958923318617E+02,-0.813737528011889E+02
0.312946765560228E+02,-0.813765490830268E+02
0.312835515712879E+02,-0.813799470499960E+02
0.312807150000000E+02,-0.813823250000000E+02
0.312740952948376E+02,-0.813827467227500E+02
0.312641950000000E+02,-0.813903380000000E+02
0.312588798586203E+02,-0.813924772316663E+02
0.312488850000000E+02,-0.813963480000000E+02
0.312456550000000E+02,-0.814014180000000E+02
0.312449010000000E+02,-0.814090480000000E+02
0.312468500000000E+02,-0.814193430000000E+02
0.312446730000000E+02,-0.814209970000000E+02
0.312403420000000E+02,-0.814203850000000E+02
0.312361480000000E+02,-0.814213720000000E+02
0.312326870000000E+02,-0.814238260000000E+02
0.312273480000000E+02,-0.814319080000000E+02
0.312201740000000E+02,-0.814305210000000E+02
0.312154859355837E+02,-0.814255704433036E+02
0.312108010000000E+02,-0.814244160000000E+02
0.312056670000000E+02,-0.814263090000000E+02
0.312005340000000E+02,-0.814316690000000E+02
0.311950790000000E+02,-0.814284430000000E+02
0.311909080000000E+02,-0.814228710000000E+02
0.311907638791556E+02,-0.814187457192626E+02
0.311859790000000E+02,-0.814174870000000E+02
0.311814400000000E+02,-0.814109310000000E+02
0.311757330000000E+02,-0.814083730000000E+02
0.311700270000000E+02,-0.814088270000000E+02
0.311587070000000E+02,-0.814181850000000E+02
0.311540550000000E+02,-0.814192790000000E+02
0.311499290000000E+02,-0.814183740000000E+02
0.311496480000000E+02,-0.814171610000000E+02
0.311388130000000E+02,-0.814135790000000E+02
0.311362910000000E+02,-0.814108620000000E+02
0.311340727063634E+02,-0.813991011909343E+02
0.311340727063634E+02,-0.813991011909343E+02
0.311253830000000E+02,-0.814020960000000E+02
0.311057350270740E+02,-0.814035659847562E+02
0.311057350270740E+02,-0.814035659847562E+02
0.311114734279528E+02,-0.814092002892706E+02
0.311126348924439E+02,-0.814136802179946E+02
0.311109756579159E+02,-0.814196534568291E+02
0.311045740000000E+02,-0.814246410000000E+02
0.310972180000000E+02,-0.814326050000000E+02
0.310930920000000E+02,-0.814394760000000E+02
0.310899193687283E+02,-0.814417332861845E+02
0.310906400000000E+02,-0.814442170000000E+02
0.310852352784488E+02,-0.814484701948924E+02
0.310897253830866E+02,-0.814646781130793E+02
0.310964560000000E+02,-0.814694660000000E+02
0.311020187823381E+02,-0.814757346731441E+02
0.311020187823381E+02,-0.814757346731441E+02
0.311036890954447E+02,-0.814778225591345E+02
0.311137760000000E+02,-0.814881180000000E+02
0.311140050000000E+02,-0.814894240000000E+02
0.311108870000000E+02,-0.814924860000000E+02
0.311172263683264E+02,-0.815094361511933E+02
0.311282430000000E+02,-0.815223880000000E+02
0.311297120000000E+02,-0.815307530000000E+02
0.311323490000000E+02,-0.815370660000000E+02
0.311360630000000E+02,-0.815411690000000E+02
0.311432936511377E+02,-0.815454532761365E+02
0.311432936511377E+02,-0.815454532761365E+02
0.311481628614970E+02,-0.815542436004125E+02
0.311501580000000E+02,-0.815625380000000E+02
0.311541942293059E+02,-0.815702924871328E+02
0.311611620603613E+02,-0.815690497927290E+02
0.311749716678342E+02,-0.815753076525948E+02
0.311989080924553E+02,-0.815781800343108E+02
0.312177791000788E+02,-0.815743953612304E+02
0.312191870000000E+02,-0.815741130000000E+02
0.312216630000000E+02,-0.815620060000000E+02
0.312208830000000E+02,-0.815577390000000E+02
0.312178502230547E+02,-0.815512095559491E+02
0.312022591920878E+02,-0.815456264830959E+02
0.311984293745388E+02,-0.815413179383533E+02
0.311979506380681E+02,-0.815350944570048E+02
