LAT,LON
0.313178820000000E+02,-0.832130070000000E+02
0.313195800000000E+02,-0.832140030000000E+02
0.313233360000000E+02,-0.832148050000000E+02
0.313282600000000E+02,-0.832189960000000E+02
0.313309620000000E+02,-0.832201440000000E+02
0.313330930000000E+02,-0.832203850000000E+02
0.313371710000000E+02,-0.832168650000000E+02
0.313390980000000E+02,-0.832052840000000E+02
0.313384570000000E+02,-0.831975970000000E+02
0.313395350000000E+02,-0.831904720000000E+02
0.313486060000000E+02,-0.831886840000000E+02
0.313548130000000E+02,-0.831885250000000E+02
0.313654640000000E+02,-0.831989090000000E+02
0.313658540000000E+02,-0.831946390000000E+02
0.313676640000000E+02,-0.831888730000000E+02
0.313730470000000E+02,-0.831881790000000E+02
0.313745180000000E+02,-0.831894550000000E+02
0.313785450000000E+02,-0.832083770000000E+02
0.313822760000000E+02,-0.832082530000000E+02
0.313820020000000E+02,-0.832035540000000E+02
0.313825750000000E+02,-0.831999760000000E+02
0.313856140000000E+02,-0.831931730000000E+02
0.313840190000000E+02,-0.831886820000000E+02
0.313830580000000E+02,-0.831873470000000E+02
0.313807440000000E+02,-0.831864920000000E+02
0.313789110000000E+02,-0.831863860000000E+02
0.313748450000000E+02,-0.831818520000000E+02
0.313748100000000E+02,-0.831809980000000E+02
0.313756660000000E+02,-0.831799780000000E+02
0.313760940000000E+02,-0.831798980000000E+02
0.313764600000000E+02,-0.831806720000000E+02
0.313772160000000E+02,-0.831806190000000E+02
0.313771470000000E+02,-0.831786970000000E+02
0.313763460000000E+02,-0.831772020000000E+02
0.313722910000000E+02,-0.831721080000000E+02
0.313700460000000E+02,-0.831703730000000E+02
0.313632660000000E+02,-0.831692530000000E+02
0.313574240000000E+02,-0.831692000000000E+02
0.313542860000000E+02,-0.831699750000000E+02
0.313490870000000E+02,-0.831674400000000E+02
0.313481480000000E+02,-0.831665060000000E+02
0.313439320000000E+02,-0.831569780000000E+02
0.313427630000000E+02,-0.831559900000000E+02
0.313413650000000E+02,-0.831530290000000E+02
0.313406770000000E+02,-0.831503600000000E+02
0.313413640000000E+02,-0.831495320000000E+02
0.313412720000000E+02,-0.831479050000000E+02
0.313404240000000E+02,-0.831453160000000E+02
0.313358420000000E+02,-0.831409680000000E+02
0.313377180000000E+02,-0.831346960000000E+02
0.313402360000000E+02,-0.831296760000000E+02
0.313438300000000E+02,-0.831201030000000E+02
0.313495870000000E+02,-0.831013960000000E+02
0.313517420000000E+02,-0.830980340000000E+02
0.313519480000000E+02,-0.830969920000000E+02
0.313519480000000E+02,-0.830969920000000E+02
0.313489350000000E+02,-0.830892180000000E+02
0.313469570000000E+02,-0.830881830000000E+02
0.313460180000000E+02,-0.830867950000000E+02
0.313461560000000E+02,-0.830850060000000E+02
0.313476450000000E+02,-0.830831120000000E+02
