LAT,LON
0.220771554482617E+02,-0.159774828710106E+03
0.221003880000000E+02,-0.159748159000000E+03
0.221156660000000E+02,-0.159741223000000E+03
0.221250174724072E+02,-0.159738542175537E+03
0.221360894922209E+02,-0.159735368114781E+03
0.221427560000000E+02,-0.159733457000000E+03
0.221521710000000E+02,-0.159726043000000E+03
0.221593420759156E+02,-0.159711754024101E+03
0.221652520000000E+02,-0.159699978000000E+03
0.221667829984469E+02,-0.159691634196891E+03
0.221667829984469E+02,-0.159691634196891E+03
0.221658670000000E+02,-0.159692244000000E+03
0.221600860000000E+02,-0.159691008000000E+03
0.221567600000000E+02,-0.159684552000000E+03
0.221530490000000E+02,-0.159675388000000E+03
0.221498570000000E+02,-0.159662648000000E+03
0.221452250000000E+02,-0.159655651000000E+03
0.221425110000000E+02,-0.159654733000000E+03
0.221388560000000E+02,-0.159658391000000E+03
0.221324790000000E+02,-0.159659601000000E+03
0.221310450000000E+02,-0.159659461000000E+03
0.221296600000000E+02,-0.159658445000000E+03
0.221287450000000E+02,-0.159653742000000E+03
0.221274650000000E+02,-0.159652794000000E+03
0.221154700000000E+02,-0.159657990000000E+03
0.221091240000000E+02,-0.159664744000000E+03
0.221057590000000E+02,-0.159667069000000E+03
0.221028880000000E+02,-0.159667706000000E+03
0.220999690000000E+02,-0.159667597000000E+03
0.220951050000000E+02,-0.159664742000000E+03
0.220900280000000E+02,-0.159655168000000E+03
0.220863120000000E+02,-0.159652678000000E+03
0.220794400000000E+02,-0.159651466000000E+03
0.220678840000000E+02,-0.159645114000000E+03
0.220612660000000E+02,-0.159640656000000E+03
0.220569490000000E+02,-0.159640019000000E+03
0.220525250000000E+02,-0.159642282000000E+03
0.220461280000000E+02,-0.159643754000000E+03
0.220413200000000E+02,-0.159640926000000E+03
0.220339220000000E+02,-0.159646196000000E+03
0.220301700000000E+02,-0.159650710000000E+03
0.220304770000000E+02,-0.159654015000000E+03
0.220267190000000E+02,-0.159658364000000E+03
0.220216880000000E+02,-0.159658968000000E+03
0.220157350000000E+02,-0.159660551000000E+03
0.220134680000000E+02,-0.159662787000000E+03
0.220135000000000E+02,-0.159660486000000E+03
0.220148180000000E+02,-0.159656821000000E+03
0.220166480000000E+02,-0.159655788000000E+03
0.220211130000000E+02,-0.159654568000000E+03
0.220216510000000E+02,-0.159653772000000E+03
0.220209450000000E+02,-0.159650046000000E+03
0.220215020000000E+02,-0.159647934000000E+03
0.220252030000000E+02,-0.159643064000000E+03
0.220438170000000E+02,-0.159629916000000E+03
0.220440560000000E+02,-0.159627165000000E+03
0.220436010000000E+02,-0.159626916000000E+03
0.220427540000000E+02,-0.159626702000000E+03
0.220384970000000E+02,-0.159628083000000E+03
0.220328950000000E+02,-0.159632799000000E+03
0.220314890000000E+02,-0.159635312000000E+03
0.220298670000000E+02,-0.159636054000000E+03
0.220272110000000E+02,-0.159635367000000E+03
0.220264060000000E+02,-0.159634504000000E+03
0.220209260000000E+02,-0.159633690000000E+03
0.220132400000000E+02,-0.159636897000000E+03
0.220102580000000E+02,-0.159636914000000E+03
0.220076560000000E+02,-0.159637596000000E+03
0.219993760000000E+02,-0.159642558000000E+03
0.219928840000000E+02,-0.159650439000000E+03
0.219896090000000E+02,-0.159652902000000E+03
0.219873250000000E+02,-0.159653890000000E+03
0.219830870000000E+02,-0.159653698000000E+03
0.219787060000000E+02,-0.159651752000000E+03
0.219748620000000E+02,-0.159649374000000E+03
0.219737910000000E+02,-0.159650094000000E+03
0.219731340000000E+02,-0.159650395000000E+03
0.219731340000000E+02,-0.159650395000000E+03
0.219725250000000E+02,-0.159651041000000E+03
0.219709870000000E+02,-0.159653514000000E+03
0.219707610000000E+02,-0.159654292000000E+03
0.219690870000000E+02,-0.159657372000000E+03
0.219648000000000E+02,-0.159661651000000E+03
0.219633320000000E+02,-0.159662759000000E+03
0.219628140000000E+02,-0.159663027000000E+03
0.219616090000000E+02,-0.159663546000000E+03
0.219603490000000E+02,-0.159663953000000E+03
0.219580320000000E+02,-0.159664571000000E+03
0.219571700000000E+02,-0.159665342000000E+03
0.219567710000000E+02,-0.159665844000000E+03
0.219565000000000E+02,-0.159666347000000E+03
0.219557330000000E+02,-0.159667334000000E+03
0.219546190000000E+02,-0.159668420000000E+03
0.219540770000000E+02,-0.159668646000000E+03
0.219537844726699E+02,-0.159668662811916E+03
0.219537844726699E+02,-0.159668662811916E+03
0.219570380000000E+02,-0.159671872000000E+03
0.219600540000000E+02,-0.159681493000000E+03
0.219610463116097E+02,-0.159688483604349E+03
0.219617875347338E+02,-0.159693705348753E+03
0.219620224472482E+02,-0.159695360252746E+03
0.219620224472482E+02,-0.159695360252746E+03
0.219636250000000E+02,-0.159694336000000E+03
0.219645180000000E+02,-0.159694405000000E+03
0.219676900000000E+02,-0.159704304000000E+03
0.219696590000000E+02,-0.159706583000000E+03
0.219717320000000E+02,-0.159710912000000E+03
0.219707940000000E+02,-0.159712017000000E+03
0.219687570000000E+02,-0.159711307000000E+03
0.219679360000000E+02,-0.159709919000000E+03
0.219665600000000E+02,-0.159710165000000E+03
0.219692640000000E+02,-0.159714282000000E+03
0.219710735222168E+02,-0.159714890180469E+03
0.219716585222168E+02,-0.159714460580469E+03
0.219749510000000E+02,-0.159714091000000E+03
0.219790840000000E+02,-0.159724320000000E+03
0.219801840000000E+02,-0.159732144000000E+03
0.219761890000000E+02,-0.159734452000000E+03
0.219794700000000E+02,-0.159738642000000E+03
0.219760785061625E+02,-0.159740474559885E+03
0.219760785061625E+02,-0.159740474559885E+03
0.219777735595953E+02,-0.159746990889477E+03
0.219780642549291E+02,-0.159748108415668E+03
0.219780642549291E+02,-0.159748108415668E+03
0.219825830000000E+02,-0.159743342000000E+03
0.219886370000000E+02,-0.159753443000000E+03
0.220112010000000E+02,-0.159769358000000E+03
0.220139150000000E+02,-0.159780201000000E+03
0.220190140000000E+02,-0.159785028000000E+03
0.220237380000000E+02,-0.159785888000000E+03
0.220376930000000E+02,-0.159782536000000E+03
0.220447680000000E+02,-0.159781603000000E+03
0.220536780000000E+02,-0.159779340000000E+03
0.220579660000000E+02,-0.159779154000000E+03
0.220648830000000E+02,-0.159777176000000E+03
0.220677540000000E+02,-0.159774085000000E+03
0.220729260000000E+02,-0.159770619000000E+03
0.220771554482617E+02,-0.159774828710106E+03
END,END
