LAT,LON
0.417169440000000E+02,-0.933484630000000E+02
0.417074990000000E+02,-0.933352380000000E+02
0.416873150000000E+02,-0.932992550000000E+02
0.416873150000000E+02,-0.932992550000000E+02
0.416737090000000E+02,-0.933001040000000E+02
0.416736840000000E+02,-0.932903700000000E+02
0.416591340000000E+02,-0.932902830000000E+02
0.416591340000000E+02,-0.932902830000000E+02
0.416302620000000E+02,-0.932903240000000E+02
0.416302480000000E+02,-0.932945490000000E+02
0.416279570000000E+02,-0.932903250000000E+02
0.416155830000000E+02,-0.932902990000000E+02
0.416155850000000E+02,-0.933095670000000E+02
0.416011260000000E+02,-0.933093850000000E+02
0.416010100000000E+02,-0.933286180000000E+02
0.416010100000000E+02,-0.933286180000000E+02
0.416008940000000E+02,-0.933382190000000E+02
0.416008460000000E+02,-0.933444590000000E+02
0.416007770000000E+02,-0.933485510000000E+02
0.416005010000000E+02,-0.934063380000000E+02
0.416005010000000E+02,-0.934063380000000E+02
0.416441160000000E+02,-0.934064020000000E+02
0.416441000000000E+02,-0.933831850000000E+02
0.416473960000000E+02,-0.933792970000000E+02
0.416559400000000E+02,-0.933923540000000E+02
0.416602440000000E+02,-0.933952180000000E+02
0.416602440000000E+02,-0.934064180000000E+02
0.416794440000000E+02,-0.934064340000000E+02
0.416794440000000E+02,-0.934064340000000E+02
0.417028520000000E+02,-0.934064810000000E+02
0.417067870000000E+02,-0.934044030000000E+02
0.417101950000000E+02,-0.934016540000000E+02
0.417110180000000E+02,-0.933994550000000E+02
0.417107410000000E+02,-0.933928300000000E+02
0.417101000000000E+02,-0.933910280000000E+02
0.417101150000000E+02,-0.933760990000000E+02
0.417135940000000E+02,-0.933778970000000E+02
0.417158130000000E+02,-0.933781090000000E+02
0.417183520000000E+02,-0.933768850000000E+02
0.417197920000000E+02,-0.933745120000000E+02
0.417256730000000E+02,-0.933723800000000E+02
0.417256730000000E+02,-0.933723800000000E+02
0.417220180000000E+02,-0.933620850000000E+02
0.417199600000000E+02,-0.933578390000000E+02
0.417169440000000E+02,-0.933484630000000E+02
END,END
