LAT,LON
0.422973370000000E+02,-0.939328580000000E+02
0.422997560000000E+02,-0.939319330000000E+02
0.422997560000000E+02,-0.939319330000000E+02
0.422984500000000E+02,-0.939319550000000E+02
0.422965940000000E+02,-0.939319960000000E+02
0.422953730000000E+02,-0.939319390000000E+02
0.422943980000000E+02,-0.939322120000000E+02
0.422934150000000E+02,-0.939327350000000E+02
0.422919050000000E+02,-0.939341530000000E+02
0.422903500000000E+02,-0.939367100000000E+02
0.422894580000000E+02,-0.939387440000000E+02
0.422882450000000E+02,-0.939433030000000E+02
0.422871700000000E+02,-0.939498340000000E+02
0.422870550000000E+02,-0.939518670000000E+02
0.422872830000000E+02,-0.939558100000000E+02
0.422871000000000E+02,-0.939570420000000E+02
0.422868710000000E+02,-0.939577510000000E+02
0.422857730000000E+02,-0.939595060000000E+02
0.422852460000000E+02,-0.939607090000000E+02
0.422852000000000E+02,-0.939614170000000E+02
0.422852920000000E+02,-0.939618180000000E+02
0.422863890000000E+02,-0.939639740000000E+02
0.422868700000000E+02,-0.939643130000000E+02
0.422884700000000E+02,-0.939669640000000E+02
0.422888820000000E+02,-0.939680420000000E+02
0.422893840000000E+02,-0.939699210000000E+02
0.422902970000000E+02,-0.939768840000000E+02
0.422901370000000E+02,-0.939780550000000E+02
0.422896560000000E+02,-0.939791940000000E+02
0.422891290000000E+02,-0.939798720000000E+02
0.422884660000000E+02,-0.939802410000000E+02
0.422859270000000E+02,-0.939799620000000E+02
0.422851950000000E+02,-0.939802390000000E+02
0.422835470000000E+02,-0.939822400000000E+02
0.422829290000000E+02,-0.939843350000000E+02
0.422826310000000E+02,-0.939846740000000E+02
0.422822650000000E+02,-0.939847040000000E+02
0.422798190000000E+02,-0.939821450000000E+02
0.422794990000000E+02,-0.939819600000000E+02
0.422787440000000E+02,-0.939819280000000E+02
0.422772570000000E+02,-0.939826680000000E+02
0.422756090000000E+02,-0.939830050000000E+02
0.422748320000000E+02,-0.939830350000000E+02
0.422742830000000E+02,-0.939827890000000E+02
0.422735970000000E+02,-0.939816180000000E+02
0.422725230000000E+02,-0.939801990000000E+02
0.422722480000000E+02,-0.939801070000000E+02
0.422717450000000E+02,-0.939801990000000E+02
0.422695020000000E+02,-0.939821380000000E+02
0.422643300000000E+02,-0.939890940000000E+02
0.422624290000000E+02,-0.939931270000000E+02
0.422618570000000E+02,-0.939939580000000E+02
0.422610790000000E+02,-0.939945420000000E+02
0.422595470000000E+02,-0.939945710000000E+02
0.422563890000000E+02,-0.939959230000000E+02
0.422545360000000E+02,-0.939963530000000E+02
0.422530720000000E+02,-0.939962590000000E+02
0.422520430000000E+02,-0.939957350000000E+02
0.422510830000000E+02,-0.939954570000000E+02
0.422430630000000E+02,-0.939956980000000E+02
0.422423770000000E+02,-0.939956350000000E+02
0.422401350000000E+02,-0.939950480000000E+02
0.422394500000000E+02,-0.939944940000000E+02
0.422389690000000E+02,-0.939939080000000E+02
0.422387640000000E+02,-0.939927690000000E+02
0.422388790000000E+02,-0.939910460000000E+02
0.422386970000000E+02,-0.939890750000000E+02
0.422380800000000E+02,-0.939882440000000E+02
0.422372110000000E+02,-0.939879350000000E+02
0.422351300000000E+02,-0.939874720000000E+02
0.422347180000000E+02,-0.939872250000000E+02
0.422338720000000E+02,-0.939860860000000E+02
0.422324790000000E+02,-0.939820220000000E+02
0.422324790000000E+02,-0.939820220000000E+02
0.422335040000000E+02,-0.939856330000000E+02
0.422339800000000E+02,-0.939866720000000E+02
0.422351160000000E+02,-0.939877880000000E+02
0.422375900000000E+02,-0.939883120000000E+02
0.422380430000000E+02,-0.939885530000000E+02
0.422383360000000E+02,-0.939890230000000E+02
0.422385670000000E+02,-0.939896670000000E+02
0.422386480000000E+02,-0.939906470000000E+02
0.422385170000000E+02,-0.939922350000000E+02
0.422385890000000E+02,-0.939931610000000E+02
0.422389600000000E+02,-0.939942130000000E+02
0.422393840000000E+02,-0.939947890000000E+02
0.422400310000000E+02,-0.939952540000000E+02
0.422418630000000E+02,-0.939958630000000E+02
0.422430380000000E+02,-0.939960190000000E+02
0.422471880000000E+02,-0.939959360000000E+02
0.422508130000000E+02,-0.939956820000000E+02
0.422536370000000E+02,-0.939965200000000E+02
0.422542980000000E+02,-0.939965430000000E+02
0.422552070000000E+02,-0.939963890000000E+02
0.422578830000000E+02,-0.939955170000000E+02
0.422606810000000E+02,-0.939947950000000E+02
0.422619050000000E+02,-0.939946580000000E+02
0.422623270000000E+02,-0.939941220000000E+02
0.422635610000000E+02,-0.939908570000000E+02
0.422641710000000E+02,-0.939897450000000E+02
0.422655180000000E+02,-0.939881560000000E+02
0.422681740000000E+02,-0.939843070000000E+02
0.422697340000000E+02,-0.939822720000000E+02
0.422717170000000E+02,-0.939806610000000E+02
0.422721120000000E+02,-0.939806120000000E+02
0.422725830000000E+02,-0.939809730000000E+02
0.422736890000000E+02,-0.939828520000000E+02
0.422742500000000E+02,-0.939834500000000E+02
0.422749840000000E+02,-0.939835150000000E+02
