LAT,LON
0.453963720000000E+02,-0.114170870000000E+03
0.453942010000000E+02,-0.114168957000000E+03
0.453889220000000E+02,-0.114166073000000E+03
0.453860420000000E+02,-0.114162539000000E+03
0.453819970000000E+02,-0.114159396000000E+03
0.453728220000000E+02,-0.114157870000000E+03
0.453677940000000E+02,-0.114154956000000E+03
0.453667890000000E+02,-0.114153531000000E+03
0.453658730000000E+02,-0.114149804000000E+03
0.453643180000000E+02,-0.114147115000000E+03
0.453531230000000E+02,-0.114150916000000E+03
0.453513170000000E+02,-0.114146250000000E+03
0.453484820000000E+02,-0.114142687000000E+03
0.453475080000000E+02,-0.114142884000000E+03
0.453389930000000E+02,-0.114129639000000E+03
0.453364320000000E+02,-0.114126727000000E+03
0.453361840000000E+02,-0.114125092000000E+03
0.453371210000000E+02,-0.114123441000000E+03
0.453379900000000E+02,-0.114122081000000E+03
0.453402300000000E+02,-0.114120657000000E+03
0.453395230000000E+02,-0.114118356000000E+03
0.453383580000000E+02,-0.114117771000000E+03
0.453317090000000E+02,-0.114117571000000E+03
0.453282360000000E+02,-0.114116434000000E+03
0.453259290000000E+02,-0.114115072000000E+03
0.453249240000000E+02,-0.114115039000000E+03
0.453217020000000E+02,-0.114115813000000E+03
0.453175880000000E+02,-0.114117980000000E+03
0.453114640000000E+02,-0.114117747000000E+03
0.453089510000000E+02,-0.114117130000000E+03
0.453035380000000E+02,-0.114112139000000E+03
0.453018240000000E+02,-0.114111555000000E+03
0.453004990000000E+02,-0.114111813000000E+03
0.452989460000000E+02,-0.114110678000000E+03
0.452985590000000E+02,-0.114106986000000E+03
0.452990860000000E+02,-0.114101969000000E+03
0.453019220000000E+02,-0.114092549000000E+03
0.453023790000000E+02,-0.114089668000000E+03
0.453014200000000E+02,-0.114088890000000E+03
0.452970330000000E+02,-0.114087950000000E+03
0.452968960000000E+02,-0.114087205000000E+03
0.452971250000000E+02,-0.114085198000000E+03
0.452983360000000E+02,-0.114084227000000E+03
0.453021070000000E+02,-0.114076878000000E+03
0.453023590000000E+02,-0.114074773000000E+03
0.453016050000000E+02,-0.114069852000000E+03
0.453025640000000E+02,-0.114065158000000E+03
0.453033640000000E+02,-0.114064057000000E+03
0.453033980000000E+02,-0.114061243000000E+03
0.452968980000000E+02,-0.114069043000000E+03
0.452958240000000E+02,-0.114071309000000E+03
0.452929450000000E+02,-0.114073218000000E+03
0.452881240000000E+02,-0.114074253000000E+03
0.452854500000000E+02,-0.114075224000000E+03
0.452842620000000E+02,-0.114076259000000E+03
0.452786860000000E+02,-0.114082796000000E+03
0.452776570000000E+02,-0.114085837000000E+03
0.452768340000000E+02,-0.114086937000000E+03
0.452716930000000E+02,-0.114087680000000E+03
0.452708480000000E+02,-0.114086288000000E+03
0.452691570000000E+02,-0.114086319000000E+03
0.452686050000000E+02,-0.114086782000000E+03
0.452660720000000E+02,-0.114088616000000E+03
0.452626210000000E+02,-0.114090167000000E+03
0.452580960000000E+02,-0.114093400000000E+03
0.452554220000000E+02,-0.114096667000000E+03
0.452547590000000E+02,-0.114099546000000E+03
0.452560370000000E+02,-0.114104011000000E+03
0.452580920000000E+02,-0.114108250000000E+03
0.452612660000000E+02,-0.114113171000000E+03
0.452627040000000E+02,-0.114116698000000E+03
0.452630450000000E+02,-0.114120097000000E+03
0.452626090000000E+02,-0.114123397000000E+03
0.452660130000000E+02,-0.114133988000000E+03
0.452680490000000E+02,-0.114138452000000E+03
0.452685330000000E+02,-0.114149292000000E+03
0.452696310000000E+02,-0.114153919000000E+03
0.452716650000000E+02,-0.114155503000000E+03
0.452725790000000E+02,-0.114155567000000E+03
0.452734470000000E+02,-0.114154078000000E+03
0.452744300000000E+02,-0.114153495000000E+03
0.452793200000000E+02,-0.114154625000000E+03
0.452800750000000E+02,-0.114158961000000E+03
0.452788880000000E+02,-0.114162586000000E+03
0.452772430000000E+02,-0.114164464000000E+03
0.452737480000000E+02,-0.114170485000000E+03
0.452743910000000E+02,-0.114172577000000E+03
0.452762390000000E+02,-0.114175664000000E+03
0.452757980000000E+02,-0.114177632000000E+03
0.452731250000000E+02,-0.114182063000000E+03
0.452677390000000E+02,-0.114186964000000E+03
0.452690110000000E+02,-0.114189922000000E+03
0.452680330000000E+02,-0.114199199000000E+03
0.452646320000000E+02,-0.114207304000000E+03
0.452632880000000E+02,-0.114209396000000E+03
0.452608390000000E+02,-0.114211606000000E+03
0.452599690000000E+02,-0.114214230000000E+03
0.452593320000000E+02,-0.114234094000000E+03
0.452579630000000E+02,-0.114234846000000E+03
0.452528820000000E+02,-0.114235745000000E+03
0.452473840000000E+02,-0.114233812000000E+03
0.452413240000000E+02,-0.114230237000000E+03
0.452347040000000E+02,-0.114228192000000E+03
0.452312970000000E+02,-0.114227669000000E+03
0.452266270000000E+02,-0.114231700000000E+03
0.452204930000000E+02,-0.114231120000000E+03
0.452199490000000E+02,-0.114230608000000E+03
0.452194280000000E+02,-0.114227215000000E+03
0.452172140000000E+02,-0.114224360000000E+03
0.452150240000000E+02,-0.114224567000000E+03
0.452130590000000E+02,-0.114227621000000E+03
0.452100980000000E+02,-0.114228494000000E+03
