LAT,LON
0.439334210000000E+02,-0.116960611000000E+03
0.439289850000000E+02,-0.116957729000000E+03
0.439173880000000E+02,-0.116960699000000E+03
0.439154900000000E+02,-0.116960065000000E+03
0.439130890000000E+02,-0.116960096000000E+03
0.439099550000000E+02,-0.116962056000000E+03
0.439055630000000E+02,-0.116968507000000E+03
0.439027490000000E+02,-0.116970656000000E+03
0.439007360000000E+02,-0.116975211000000E+03
0.438983570000000E+02,-0.116975714000000E+03
0.438947890000000E+02,-0.116975269000000E+03
0.438898443183881E+02,-0.116977374321208E+03
0.438898443183881E+02,-0.116977374321208E+03
0.438955480000000E+02,-0.116976024000000E+03
0.439012930000000E+02,-0.116976429000000E+03
0.439058120000000E+02,-0.116977332000000E+03
0.439065876826298E+02,-0.116976658745702E+03
0.439065876826298E+02,-0.116976658745702E+03
0.439064980000000E+02,-0.116976226000000E+03
0.439028170000000E+02,-0.116975497000000E+03
0.439026580000000E+02,-0.116971985000000E+03
0.439054020000000E+02,-0.116970500000000E+03
0.439089710000000E+02,-0.116964776000000E+03
0.439108700000000E+02,-0.116962942000000E+03
0.439149410000000E+02,-0.116962596000000E+03
0.439161070000000E+02,-0.116963482000000E+03
0.439163239022935E+02,-0.116968208186816E+03
0.439163239022935E+02,-0.116968208186816E+03
0.439166022012899E+02,-0.116967966637001E+03
0.439185731223093E+02,-0.116966255974680E+03
0.439213625753070E+02,-0.116963665773427E+03
0.439283362049053E+02,-0.116962470297708E+03
0.439329802690849E+02,-0.116962698693654E+03
0.439357072196906E+02,-0.116962832805595E+03
0.439357072196906E+02,-0.116962832805595E+03
0.439334210000000E+02,-0.116960611000000E+03
END,END
