LAT,LON
0.425082916163531E+02,-0.906398565152279E+02
0.424993020000000E+02,-0.906469270000000E+02
0.424936030000000E+02,-0.906503270000000E+02
0.424850030000000E+02,-0.906507270000000E+02
0.424772030000000E+02,-0.906476270000000E+02
0.424737030000000E+02,-0.906447270000000E+02
0.424729040000000E+02,-0.906430270000000E+02
0.424784030000000E+02,-0.906420270000000E+02
0.424778030000000E+02,-0.906397270000000E+02
0.424728040000000E+02,-0.906346270000000E+02
0.424702040000000E+02,-0.906310270000000E+02
0.424686120000000E+02,-0.906268040000000E+02
0.424669040000000E+02,-0.906216270000000E+02
0.424631040000000E+02,-0.906160280000000E+02
0.424622040000000E+02,-0.906121280000000E+02
0.424630120000000E+02,-0.906078080000000E+02
0.424619240000000E+02,-0.905970560000000E+02
0.424609480000000E+02,-0.905972160000000E+02
0.424594120000000E+02,-0.905987840000000E+02
0.424613800000000E+02,-0.906038880000000E+02
0.424599880000000E+02,-0.906082240000000E+02
0.424575240000000E+02,-0.905997120000000E+02
0.424532370000000E+02,-0.905957280000000E+02
0.424480370000000E+02,-0.905868000000000E+02
0.424472370000000E+02,-0.905817760000000E+02
0.424479631900391E+02,-0.905801879939453E+02
0.424502770000000E+02,-0.905828960000000E+02
0.424535250000000E+02,-0.905811360000000E+02
0.424538290000000E+02,-0.905786720000000E+02
0.424534930000000E+02,-0.905771360000000E+02
0.424512210000000E+02,-0.905743680000000E+02
0.424488530000000E+02,-0.905747360000000E+02
0.424496370000000E+02,-0.905800640000000E+02
0.424490930000000E+02,-0.905803840000000E+02
0.424478770000000E+02,-0.905782720000000E+02
0.424436210000000E+02,-0.905665600000000E+02
0.424308000000000E+02,-0.905504690000000E+02
0.424304340000000E+02,-0.905515490000000E+02
0.424310980000000E+02,-0.905549750000000E+02
0.424307320000000E+02,-0.905553140000000E+02
0.424265700000000E+02,-0.905468280000000E+02
0.424266380000000E+02,-0.905446990000000E+02
0.424274840000000E+02,-0.905445140000000E+02
0.424239820000000E+02,-0.905306590000000E+02
0.424210100000000E+02,-0.905282540000000E+02
0.424210330000000E+02,-0.905267110000000E+02
0.424206440000000E+02,-0.905261560000000E+02
0.424175570000000E+02,-0.905257870000000E+02
0.424162080000000E+02,-0.905243690000000E+02
0.424162300000000E+02,-0.905227640000000E+02
0.424183330000000E+02,-0.905213740000000E+02
0.424184250000000E+02,-0.905241820000000E+02
0.424200480000000E+02,-0.905232550000000E+02
0.424220610000000E+02,-0.905235630000000E+02
0.424207100000000E+02,-0.905200770000000E+02
0.424195900000000E+02,-0.905195220000000E+02
0.424196800000000E+02,-0.905171770000000E+02
0.424162710000000E+02,-0.905109770000000E+02
0.424138900000000E+02,-0.905047780000000E+02
0.424132270000000E+02,-0.905044080000000E+02
0.424132270000000E+02,-0.905059510000000E+02
0.424137310000000E+02,-0.905064130000000E+02
0.424121300000000E+02,-0.905066310000000E+02
0.424105750000000E+02,-0.905058610000000E+02
0.424085180000000E+02,-0.905061400000000E+02
0.424079460000000E+02,-0.905056470000000E+02
0.424084710000000E+02,-0.905050300000000E+02
0.424094090000000E+02,-0.905052760000000E+02
0.424094090000000E+02,-0.905046590000000E+02
0.424069850000000E+02,-0.905051850000000E+02
0.424051790000000E+02,-0.905037370000000E+02
0.424050517826172E+02,-0.905024800781250E+02
0.424058203826172E+02,-0.905034790781250E+02
0.424063819826172E+02,-0.905032006781250E+02
0.424045849826172E+02,-0.905019250781250E+02
0.424034660000000E+02,-0.904990490000000E+02
0.424044490000000E+02,-0.904998010000000E+02
0.424052700000000E+02,-0.905016700000000E+02
0.424089730000000E+02,-0.905033940000000E+02
0.424103910000000E+02,-0.905030530000000E+02
0.424100660251953E+02,-0.905011414953125E+02
0.424088380000000E+02,-0.904995170000000E+02
0.424101180000000E+02,-0.904994560000000E+02
0.424112820000000E+02,-0.905023430000000E+02
0.424110540000000E+02,-0.905001280000000E+02
0.424097990000000E+02,-0.904988390000000E+02
0.424084270000000E+02,-0.904992080000000E+02
0.424075580000000E+02,-0.904986820000000E+02
0.424071480000000E+02,-0.904979110000000E+02
0.424079250000000E+02,-0.904966160000000E+02
0.424076970000000E+02,-0.904959060000000E+02
0.424035830000000E+02,-0.904944830000000E+02
0.424029420000000E+02,-0.904951000000000E+02
0.424015480000000E+02,-0.904947590000000E+02
0.424009770000000E+02,-0.904930930000000E+02
0.423952913978516E+02,-0.904873519222656E+02
0.423948760000000E+02,-0.904844200000000E+02
0.423956300000000E+02,-0.904863640000000E+02
0.423964990000000E+02,-0.904856860000000E+02
0.423967040000000E+02,-0.904873830000000E+02
0.423977330000000E+02,-0.904879700000000E+02
0.423990130000000E+02,-0.904879090000000E+02
0.423994240000000E+02,-0.904885570000000E+02
0.423982350000000E+02,-0.904893580000000E+02
0.423986010000000E+02,-0.904898830000000E+02
0.424000410000000E+02,-0.904905930000000E+02
0.424005450000000E+02,-0.904888660000000E+02
0.424008420000000E+02,-0.904889900000000E+02
0.424011150000000E+02,-0.904920130000000E+02
0.424017540000000E+02,-0.904934020000000E+02
0.424021670000000E+02,-0.904918910000000E+02
0.424012070000000E+02,-0.904901630000000E+02
0.424021000000000E+02,-0.904881580000000E+02
0.424017800000000E+02,-0.904870780000000E+02
0.424026030000000E+02,-0.904884980000000E+02
0.424023040000000E+02,-0.904904100000000E+02
0.424032650000000E+02,-0.904892700000000E+02
0.424029690000000E+02,-0.904865550000000E+02
0.424025580000000E+02,-0.904858140000000E+02
0.424018490000000E+02,-0.904858140000000E+02
0.424009810000000E+02,-0.904835920000000E+02
0.423974850000000E+02,-0.904785920000000E+02
0.423963190000000E+02,-0.904777900000000E+02
0.423962050000000E+02,-0.904766790000000E+02
0.423952680000000E+02,-0.904751980000000E+02
0.423939200000000E+02,-0.904744880000000E+02
0.423920450000000E+02,-0.904746410000000E+02
0.423899180000000E+02,-0.904758740000000E+02
0.423902830000000E+02,-0.904775700000000E+02
0.423885470000000E+02,-0.904764280000000E+02
0.423892550000000E+02,-0.904752560000000E+02
0.423874500000000E+02,-0.904745460000000E+02
0.423876110000000E+02,-0.904722020000000E+02
0.423882050000000E+02,-0.904740840000000E+02
0.423893700000000E+02,-0.904747630000000E+02
0.423906730000000E+02,-0.904733450000000E+02
0.423919990000000E+02,-0.904735000000000E+02
0.423911770000000E+02,-0.904715260000000E+02
0.423890740000000E+02,-0.904707840000000E+02
0.423890740000000E+02,-0.904707840000000E+02
0.423863100000000E+02,-0.904627030000000E+02
0.423779670000000E+02,-0.904495940000000E+02
0.423773500000000E+02,-0.904491930000000E+02
0.423752860000000E+02,-0.904505190000000E+02
0.423741430000000E+02,-0.904496180000000E+02
0.423732510000000E+02,-0.904470590000000E+02
0.423697540000000E+02,-0.904472440000000E+02
0.423657990000000E+02,-0.904464110000000E+02
0.423622550000000E+02,-0.904407080000000E+02
0.423661880000000E+02,-0.904453320000000E+02
0.423676050000000E+02,-0.904456410000000E+02
0.423682910000000E+02,-0.904444690000000E+02
0.423672170000000E+02,-0.904431430000000E+02
0.423659590000000E+02,-0.904430510000000E+02
0.423655930000000E+02,-0.904425580000000E+02
0.423632840000000E+02,-0.904347890000000E+02
0.423575670000000E+02,-0.904296420000000E+02
0.423578640000000E+02,-0.904284400000000E+02
0.423527190000000E+02,-0.904228620000000E+02
0.423523310000000E+02,-0.904230470000000E+02
0.423548230000000E+02,-0.904266530000000E+02
0.423541820000000E+02,-0.904283940000000E+02
0.423519890000000E+02,-0.904290880000000E+02
0.423509472958984E+02,-0.904286023021484E+02
0.423521400958984E+02,-0.904284169021484E+02
0.423524920000000E+02,-0.904278860000000E+02
0.423518280000000E+02,-0.904252970000000E+02
0.423505260000000E+02,-0.904273630000000E+02
0.423494970000000E+02,-0.904280100000000E+02
0.423481400000000E+02,-0.904268260000000E+02
0.423489030000000E+02,-0.904257550000000E+02
0.423488270000000E+02,-0.904244700000000E+02
0.423456440000000E+02,-0.904214950000000E+02
0.423451280000000E+02,-0.904150050000000E+02
0.423457910000000E+02,-0.904141110000000E+02
0.423438460000000E+02,-0.904095200000000E+02
0.423424060000000E+02,-0.904075800000000E+02
0.423361170000000E+02,-0.904031460000000E+02
0.423324820000000E+02,-0.904027780000000E+02
0.423305160000000E+02,-0.904033030000000E+02
0.423260350000000E+02,-0.904033370000000E+02
0.423260350000000E+02,-0.904033370000000E+02
0.423253260000000E+02,-0.904027210000000E+02
0.423104890000000E+02,-0.904031300000000E+02
0.422971150000000E+02,-0.904061870000000E+02
0.422898690000000E+02,-0.904060370000000E+02
0.422873530000000E+02,-0.904050220000000E+02
0.422829400000000E+02,-0.904014840000000E+02
0.422815450000000E+02,-0.904017930000000E+02
0.422789610000000E+02,-0.904010860000000E+02
0.422748450000000E+02,-0.903989030000000E+02
0.422740920000000E+02,-0.903991190000000E+02
0.422732690000000E+02,-0.904005970000000E+02
0.422713950000000E+02,-0.904015520000000E+02
0.422719880000000E+02,-0.903974270000000E+02
0.422736110000000E+02,-0.903977340000000E+02
0.422706610000000E+02,-0.903948420000000E+02
0.422632810000000E+02,-0.904137150000000E+02
0.422620700000000E+02,-0.904180550000000E+02
0.422616590000000E+02,-0.904186710000000E+02
0.422602190000000E+02,-0.904179940000000E+02
0.422519190000000E+02,-0.904104880000000E+02
0.422496510000000E+02,-0.904104210000000E+02
0.422491910000000E+02,-0.904074980000000E+02
0.422513240000000E+02,-0.904081490000000E+02
0.422540910000000E+02,-0.904112870000000E+02
0.422550270000000E+02,-0.904117180000000E+02
0.422574510000000E+02,-0.904114700000000E+02
0.422600800000000E+02,-0.904128850000000E+02
0.422613150000000E+02,-0.904142390000000E+02
0.422618870000000E+02,-0.904161160000000E+02
0.422620930000000E+02,-0.904140230000000E+02
0.422628700000000E+02,-0.904124840000000E+02
0.422611550000000E+02,-0.904129150000000E+02
0.422599430000000E+02,-0.904117460000000E+02
0.422599430000000E+02,-0.904114080000000E+02
0.422607430000000E+02,-0.904113460000000E+02
0.422605370000000E+02,-0.904109150000000E+02
0.422544090000000E+02,-0.904092250000000E+02
0.422509800000000E+02,-0.904071960000000E+02
0.422473850000000E+02,-0.904058070000000E+02
0.422370920000000E+02,-0.903959680000000E+02
0.422334320000000E+02,-0.903903710000000E+02
0.422258610000000E+02,-0.903825640000000E+02
0.422250380000000E+02,-0.903820730000000E+02
0.422230950000000E+02,-0.903822590000000E+02
0.422204640000000E+02,-0.903792780000000E+02
0.422199370000000E+02,-0.903782950000000E+02
0.422200510000000E+02,-0.903766950000000E+02
0.422159170000000E+02,-0.903710320000000E+02
0.422127650000000E+02,-0.903637100000000E+02
0.422128810000000E+02,-0.903599580000000E+02
0.422110750000000E+02,-0.903580500000000E+02
0.422108480000000E+02,-0.903550050000000E+02
0.422088600000000E+02,-0.903509760000000E+02
0.422092040000000E+02,-0.903479310000000E+02
0.422085400000000E+02,-0.903494690000000E+02
0.422085170000000E+02,-0.903511290000000E+02
0.422099245436523E+02,-0.903542660589844E+02
0.422109380000000E+02,-0.903585420000000E+02
0.422125610000000E+02,-0.903605420000000E+02
0.422121260000000E+02,-0.903613100000000E+02
0.422109140000000E+02,-0.903606020000000E+02
0.422079220000000E+02,-0.903545110000000E+02
0.422056380000000E+02,-0.903469460000000E+02
0.422050000000000E+02,-0.903393810000000E+02
0.422052740000000E+02,-0.903391960000000E+02
0.422064160000000E+02,-0.903422100000000E+02
0.422083360000000E+02,-0.903456550000000E+02
0.422085870000000E+02,-0.903458400000000E+02
0.422085870000000E+02,-0.903454400000000E+02
0.422057090000000E+02,-0.903381820000000E+02
0.422048870000000E+02,-0.903316630000000E+02
0.422068608149414E+02,-0.903336297435547E+02
0.422092050000000E+02,-0.903435030000000E+02
0.422095020000000E+02,-0.903429800000000E+02
0.422083370000000E+02,-0.903380290000000E+02
0.422086807340820E+02,-0.903355629324219E+02
0.422110120000000E+02,-0.903375990000000E+02
0.422125890000000E+02,-0.903403980000000E+02
0.422130920000000E+02,-0.903416900000000E+02
0.422128630000000E+02,-0.903453500000000E+02
0.422135020000000E+02,-0.903471340000000E+02
0.422156510000000E+02,-0.903496570000000E+02
0.422161100000000E+02,-0.903434750000000E+02
0.422167270000000E+02,-0.903431060000000E+02
0.422182350000000E+02,-0.903453830000000E+02
0.422174760000000E+02,-0.903614060000000E+02
0.422170410000000E+02,-0.903634670000000E+02
0.422158050000000E+02,-0.903651880000000E+02
0.422159880000000E+02,-0.903664180000000E+02
0.422178900000000E+02,-0.903684360000000E+02
0.422188900000000E+02,-0.903702950000000E+02
0.422182730000000E+02,-0.903681730000000E+02
0.422161020000000E+02,-0.903656500000000E+02
0.422165370000000E+02,-0.903647270000000E+02
0.422176580000000E+02,-0.903640520000000E+02
0.422207880000000E+02,-0.903683900000000E+02
0.422219060000000E+02,-0.903742350000000E+02
0.422234370000000E+02,-0.903746930000000E+02
0.422225460000000E+02,-0.903736820000000E+02
0.422231640000000E+02,-0.903728210000000E+02
0.422222040000000E+02,-0.903717440000000E+02
0.422231457364258E+02,-0.903712472623047E+02
0.422215420000000E+02,-0.903699280000000E+02
0.422214960000000E+02,-0.903694050000000E+02
0.422239190000000E+02,-0.903711610000000E+02
0.422248060000000E+02,-0.903755130000000E+02
0.422281910000000E+02,-0.903785020000000E+02
0.422292910000000E+02,-0.903827460000000E+02
0.422294710000000E+02,-0.903775780000000E+02
0.422287620000000E+02,-0.903769020000000E+02
0.422277330000000E+02,-0.903771790000000E+02
0.422272750000000E+02,-0.903764110000000E+02
0.422301330000000E+02,-0.903767160000000E+02
0.422325820000000E+02,-0.903822200000000E+02
0.422337480000000E+02,-0.903821570000000E+02
0.422352100000000E+02,-0.903809560000000E+02
0.422354160000000E+02,-0.903802170000000E+02
0.422349120000000E+02,-0.903788950000000E+02
0.422356900000000E+02,-0.903790170000000E+02
0.422364450000000E+02,-0.903803080000000E+02
0.422374740000000E+02,-0.903805230000000E+02
0.422377490000000E+02,-0.903817530000000E+02
0.422361250000000E+02,-0.903815700000000E+02
0.422357600000000E+02,-0.903823700000000E+02
0.422348220000000E+02,-0.903821250000000E+02
0.422348920000000E+02,-0.903838170000000E+02
0.422361950000000E+02,-0.903844620000000E+02
0.422361950000000E+02,-0.903832310000000E+02
0.422369040000000E+02,-0.903836610000000E+02
0.422393960000000E+02,-0.903834750000000E+02
0.422393740000000E+02,-0.903858440000000E+02
0.422409070000000E+02,-0.903871040000000E+02
0.422393060000000E+02,-0.903870740000000E+02
0.422393980000000E+02,-0.903879360000000E+02
0.422413420000000E+02,-0.903902110000000E+02
0.422425770000000E+02,-0.903903020000000E+02
0.422427370000000E+02,-0.903891640000000E+02
0.422417300000000E+02,-0.903878110000000E+02
0.422420960000000E+02,-0.903874410000000E+02
0.422435370000000E+02,-0.903887940000000E+02
0.422446570000000E+02,-0.903891930000000E+02
0.422456870000000E+02,-0.903922070000000E+02
0.422462360000000E+02,-0.903917760000000E+02
0.422463270000000E+02,-0.903909140000000E+02
0.422450690000000E+02,-0.903890080000000E+02
0.422397850000000E+02,-0.903851970000000E+02
0.422397620000000E+02,-0.903847050000000E+02
0.422407910000000E+02,-0.903843650000000E+02
0.422409500000000E+02,-0.903832580000000E+02
0.422387530000000E+02,-0.903795370000000E+02
0.422352090000000E+02,-0.903783410000000E+02
0.422347740000000E+02,-0.903777870000000E+02
0.422342950000000E+02,-0.903787110000000E+02
0.422337680000000E+02,-0.903773890000000E+02
0.422345450000000E+02,-0.903760340000000E+02
0.422364200000000E+02,-0.903762780000000E+02
0.422373370000000E+02,-0.903747150000000E+02
0.422379090000000E+02,-0.903747000000000E+02
0.422424350000000E+02,-0.903804870000000E+02
