LAT,LON
0.400259350000000E+02,-0.883687430000000E+02
0.400114390000000E+02,-0.883681510000000E+02
0.399966830000000E+02,-0.883685750000000E+02
0.399966830000000E+02,-0.883685750000000E+02
0.399965720000000E+02,-0.883875200000000E+02
0.400114230000000E+02,-0.883875760000000E+02
0.400115190000000E+02,-0.884065680000000E+02
0.399821630000000E+02,-0.884064470000000E+02
0.399821660000000E+02,-0.884029170000000E+02
0.399720920000000E+02,-0.884063480000000E+02
0.399675650000000E+02,-0.884067500000000E+02
0.399527380000000E+02,-0.884067560000000E+02
0.399526540000000E+02,-0.884160990000000E+02
0.399450760000000E+02,-0.884211470000000E+02
0.399362210000000E+02,-0.884253690000000E+02
0.399232020000000E+02,-0.884253120000000E+02
0.399234040000000E+02,-0.884062320000000E+02
0.398792660000000E+02,-0.884062520000000E+02
0.398792660000000E+02,-0.884062520000000E+02
0.398792670000000E+02,-0.884153670000000E+02
0.398791300000000E+02,-0.884623530000000E+02
0.398791300000000E+02,-0.884623530000000E+02
0.398890230000000E+02,-0.884623380000000E+02
0.398937280000000E+02,-0.884623300000000E+02
0.399446400000000E+02,-0.884625560000000E+02
0.399446400000000E+02,-0.884625560000000E+02
0.400000320000000E+02,-0.884627180000000E+02
0.400255520000000E+02,-0.884631790000000E+02
0.400255520000000E+02,-0.884631790000000E+02
0.400256800000000E+02,-0.884447620000000E+02
0.400404000000000E+02,-0.884450500000000E+02
0.400404000000000E+02,-0.884450500000000E+02
0.400404480000000E+02,-0.884265210000000E+02
0.400258080000000E+02,-0.884258010000000E+02
0.400260790000000E+02,-0.883915600000000E+02
0.400402870000000E+02,-0.883933360000000E+02
0.400403190000000E+02,-0.883693990000000E+02
0.400403190000000E+02,-0.883693990000000E+02
0.400259350000000E+02,-0.883687430000000E+02
END,END
