LAT,LON
0.397193260000000E+02,-0.867174950000000E+02
0.397181580000000E+02,-0.867195100000000E+02
0.397132590000000E+02,-0.867234480000000E+02
0.397137850000000E+02,-0.867258190000000E+02
0.397178580000000E+02,-0.867265030000000E+02
0.397178580000000E+02,-0.867265030000000E+02
0.397219780000000E+02,-0.867257050000000E+02
0.397220710000000E+02,-0.867213780000000E+02
0.397335850000000E+02,-0.867124030000000E+02
0.397406120000000E+02,-0.867089070000000E+02
0.397415960000000E+02,-0.867069810000000E+02
0.397413900000000E+02,-0.867066250000000E+02
0.397314702772461E+02,-0.867133013667969E+02
0.397274463508789E+02,-0.867141180148437E+02
0.397261010000000E+02,-0.867100590000000E+02
0.397277270000000E+02,-0.867081620000000E+02
0.397280250000000E+02,-0.867064440000000E+02
0.397272470000000E+02,-0.867017010000000E+02
0.397256440000000E+02,-0.867084290000000E+02
0.397252952931641E+02,-0.867132962294922E+02
0.397243840000000E+02,-0.867158670000000E+02
0.397210650000000E+02,-0.867179700000000E+02
0.397192120000000E+02,-0.867146500000000E+02
0.397186630000000E+02,-0.867143830000000E+02
0.397193260000000E+02,-0.867174950000000E+02
END,END
0.395918220000000E+02,-0.862505810000000E+02
0.395913260000000E+02,-0.862505810000000E+02
0.395913260000000E+02,-0.862505810000000E+02
0.395917580000000E+02,-0.862526610000000E+02
0.395931020000000E+02,-0.862547250000000E+02
0.395926540000000E+02,-0.862580210000000E+02
0.395912140000000E+02,-0.862582930000000E+02
0.395893740000000E+02,-0.862574130000000E+02
0.395871500000000E+02,-0.862585650000000E+02
0.395850380000000E+02,-0.862576370000000E+02
0.395848460000000E+02,-0.862572370000000E+02
0.395853740000000E+02,-0.862571090000000E+02
0.395831660000000E+02,-0.862569810000000E+02
0.395787820000000E+02,-0.862584050000000E+02
0.395764300000000E+02,-0.862569010000000E+02
0.395746070000000E+02,-0.862539570000000E+02
0.395731670000000E+02,-0.862533970000000E+02
0.395720950000000E+02,-0.862541650000000E+02
0.395714550000000E+02,-0.862558130000000E+02
0.395697430000000E+02,-0.862549170000000E+02
0.395650870000000E+02,-0.862559250000000E+02
0.395638550000000E+02,-0.862575570000000E+02
0.395613590000000E+02,-0.862645660000000E+02
0.395594390000000E+02,-0.862711900000000E+02
0.395587030000000E+02,-0.862788220000000E+02
0.395594550000000E+02,-0.862843580000000E+02
0.395579830000000E+02,-0.862879740000000E+02
0.395563190000000E+02,-0.862893340000000E+02
0.395543990000000E+02,-0.862886620000000E+02
0.395525590000000E+02,-0.862859420000000E+02
0.395509270000000E+02,-0.862849660000000E+02
0.395478550000000E+02,-0.862881340000000E+02
0.395467350000000E+02,-0.862900060000000E+02
0.395435190000000E+02,-0.862911900000000E+02
0.395421910000000E+02,-0.862921980000000E+02
0.395415510000000E+02,-0.862940550000000E+02
0.395415670000000E+02,-0.862969830000000E+02
0.395403670000000E+02,-0.862983590000000E+02
0.395360470000000E+02,-0.862986630000000E+02
0.395321750000000E+02,-0.862975910000000E+02
0.395304470000000E+02,-0.862985350000000E+02
0.395302230000000E+02,-0.863009830000000E+02
0.395317270000000E+02,-0.863062630000000E+02
0.395314230000000E+02,-0.863073830000000E+02
0.395294710000000E+02,-0.863086470000000E+02
0.395245110000000E+02,-0.863096550000000E+02
0.395204950000000E+02,-0.863123110000000E+02
0.395189110000000E+02,-0.863149990000000E+02
0.395185750000000E+02,-0.863175750000000E+02
0.395206710000000E+02,-0.863221030000000E+02
0.395204950000000E+02,-0.863231110000000E+02
0.395164310000000E+02,-0.863253190000000E+02
0.395144470000000E+02,-0.863248070000000E+02
0.395109270000000E+02,-0.863226950000000E+02
0.395096630000000E+02,-0.863227270000000E+02
0.395086230000000E+02,-0.863248710000000E+02
0.395100310000000E+02,-0.863269990000000E+02
0.395100950000000E+02,-0.863285360000000E+02
0.395086710000000E+02,-0.863297200000000E+02
0.395064630000000E+02,-0.863289360000000E+02
0.395048470000000E+02,-0.863290160000000E+02
0.395030870000000E+02,-0.863302000000000E+02
0.395012950000000E+02,-0.863327600000000E+02
0.395014710000000E+02,-0.863392880000000E+02
0.395032150000000E+02,-0.863424560000000E+02
0.395034550000000E+02,-0.863453840000000E+02
0.395026390000000E+02,-0.863476240000000E+02
0.395003350000000E+02,-0.863517040000000E+02
0.394997240000000E+02,-0.863520450000000E+02
0.394984100000000E+02,-0.863597540000000E+02
0.394975400000000E+02,-0.863617330000000E+02
0.394956850000000E+02,-0.863636810000000E+02
0.394930760000000E+02,-0.863639450000000E+02
0.394923660000000E+02,-0.863651860000000E+02
0.394918380000000E+02,-0.863678140000000E+02
0.394959110000000E+02,-0.863706240000000E+02
0.394963000000000E+02,-0.863715400000000E+02
0.394947880000000E+02,-0.863736650000000E+02
0.394920870000000E+02,-0.863736630000000E+02
0.394909430000000E+02,-0.863745060000000E+02
0.394905750000000E+02,-0.863753910000000E+02
0.394908050000000E+02,-0.863769420000000E+02
0.394920190000000E+02,-0.863792160000000E+02
0.394905330000000E+02,-0.863822000000000E+02
0.394908090000000E+02,-0.863839430000000E+02
0.394928230000000E+02,-0.863845610000000E+02
0.394934450000000E+02,-0.863935400000000E+02
0.394947050000000E+02,-0.863977930000000E+02
0.394989870000000E+02,-0.864052950000000E+02
0.395025760000000E+02,-0.864169630000000E+02
0.395016620000000E+02,-0.864199770000000E+02
0.394981440000000E+02,-0.864197100000000E+02
0.394998220000000E+02,-0.864209350000000E+02
0.395007920000000E+02,-0.864209810000000E+02
0.395028060000000E+02,-0.864192670000000E+02
0.395031950000000E+02,-0.864179670000000E+02
0.395030570000000E+02,-0.864145700000000E+02
0.394991930000000E+02,-0.864037880000000E+02
0.394943150000000E+02,-0.863945730000000E+02
0.394938540000000E+02,-0.863874550000000E+02
0.394938540000000E+02,-0.863874550000000E+02
