LAT,LON
0.409098440000000E+02,-0.864685070000000E+02
0.409075570000000E+02,-0.864643740000000E+02
0.409031660000000E+02,-0.864489320000000E+02
0.409017940000000E+02,-0.864401570000000E+02
0.409016570000000E+02,-0.864333110000000E+02
0.408955470000000E+02,-0.864324070000000E+02
0.408955470000000E+02,-0.864276430000000E+02
0.408810400000000E+02,-0.864275240000000E+02
0.408809710000000E+02,-0.864227910000000E+02
0.408663960000000E+02,-0.864226730000000E+02
0.408664200000000E+02,-0.864369590000000E+02
0.408517990000000E+02,-0.864368690000000E+02
0.408517980000000E+02,-0.864320780000000E+02
0.408409530000000E+02,-0.864320190000000E+02
0.408409040000000E+02,-0.864128870000000E+02
0.408409040000000E+02,-0.864128870000000E+02
0.408373120000000E+02,-0.864127980000000E+02
0.408375390000000E+02,-0.863903070000000E+02
0.408239450000000E+02,-0.863789680000000E+02
0.408228900000000E+02,-0.863913580000000E+02
0.408226240000000E+02,-0.864269600000000E+02
0.408187200000000E+02,-0.864268950000000E+02
0.408188950000000E+02,-0.864294000000000E+02
0.408206110000000E+02,-0.864329840000000E+02
0.408190780000000E+02,-0.864411460000000E+02
0.408171330000000E+02,-0.864448510000000E+02
0.408158520000000E+02,-0.864458140000000E+02
0.408135860000000E+02,-0.864460850000000E+02
0.408122240000000E+02,-0.864479440000000E+02
0.408224630000000E+02,-0.864575620000000E+02
0.408226220000000E+02,-0.864634060000000E+02
0.408154370000000E+02,-0.864632520000000E+02
0.408153010000000E+02,-0.864605710000000E+02
0.408083450000000E+02,-0.864602680000000E+02
0.408083440000000E+02,-0.864634600000000E+02
0.408098080000000E+02,-0.864638830000000E+02
0.408095790000000E+02,-0.864680380000000E+02
0.408009290000000E+02,-0.864680950000000E+02
0.408009650000000E+02,-0.865064400000000E+02
0.407931850000000E+02,-0.865063560000000E+02
0.407930260000000E+02,-0.865082530000000E+02
0.407918830000000E+02,-0.865110540000000E+02
0.407885420000000E+02,-0.865110860000000E+02
0.407889100000000E+02,-0.865178290000000E+02
0.407899200000000E+02,-0.865240600000000E+02
0.407938090000000E+02,-0.865242390000000E+02
0.407941360000000E+02,-0.865720500000000E+02
0.407949360000000E+02,-0.865808720000000E+02
0.407949360000000E+02,-0.865808720000000E+02
0.408172840000000E+02,-0.865805560000000E+02
0.408249570000000E+02,-0.865803680000000E+02
0.408256170000000E+02,-0.865803830000000E+02
0.408382170000000E+02,-0.865806720000000E+02
0.408522860000000E+02,-0.865807940000000E+02
0.408540400000000E+02,-0.865808570000000E+02
0.408625960000000E+02,-0.865808940000000E+02
0.408685930000000E+02,-0.865809220000000E+02
0.408684970000000E+02,-0.866001220000000E+02
0.408830480000000E+02,-0.866004320000000E+02
0.408830480000000E+02,-0.866004320000000E+02
0.408866390000000E+02,-0.866039020000000E+02
0.408886750000000E+02,-0.866042040000000E+02
0.408949680000000E+02,-0.866029420000000E+02
0.408975540000000E+02,-0.866005910000000E+02
0.409111460000000E+02,-0.866007500000000E+02
0.409099940000000E+02,-0.865068600000000E+02
0.409265890000000E+02,-0.865068390000000E+02
0.409285730000000E+02,-0.865041900000000E+02
0.409302420000000E+02,-0.865000040000000E+02
0.409311170000000E+02,-0.864864680000000E+02
0.409333410000000E+02,-0.864742210000000E+02
0.409335550000000E+02,-0.864683130000000E+02
0.409335550000000E+02,-0.864683130000000E+02
0.409098440000000E+02,-0.864685070000000E+02
END,END
