LAT,LON
0.393183340000000E+02,-0.961288160000000E+02
0.393053140000000E+02,-0.961289640000000E+02
0.392973550000000E+02,-0.961238820000000E+02
0.392873120000000E+02,-0.961237750000000E+02
0.392816010000000E+02,-0.961243880000000E+02
0.392841640000000E+02,-0.961200990000000E+02
0.392839830000000E+02,-0.961148310000000E+02
0.392809450000000E+02,-0.961067960000000E+02
0.392756630000000E+02,-0.961035560000000E+02
0.392749080000000E+02,-0.961018490000000E+02
0.392749080000000E+02,-0.961018490000000E+02
0.392747540000000E+02,-0.961467420000000E+02
0.392799590000000E+02,-0.961467540000000E+02
0.392800050000000E+02,-0.961476360000000E+02
0.392786570000000E+02,-0.961506970000000E+02
0.392819280000000E+02,-0.961540500000000E+02
0.392833690000000E+02,-0.961527550000000E+02
0.392833680000000E+02,-0.961505180000000E+02
0.392849680000000E+02,-0.961467520000000E+02
0.392894280000000E+02,-0.961467560000000E+02
0.392895690000000E+02,-0.961601980000000E+02
0.392876480000000E+02,-0.961609050000000E+02
0.392825700000000E+02,-0.961607890000000E+02
0.392823420000000E+02,-0.961638790000000E+02
0.392807420000000E+02,-0.961654690000000E+02
0.392750930000000E+02,-0.961655590000000E+02
0.392750940000000E+02,-0.961748570000000E+02
0.392610050000000E+02,-0.961747720000000E+02
0.392605480000000E+02,-0.961738890000000E+02
0.392605470000000E+02,-0.961711830000000E+02
0.392596780000000E+02,-0.961701830000000E+02
0.392542800000000E+02,-0.961702430000000E+02
0.392528400000000E+02,-0.961713020000000E+02
0.392438680000000E+02,-0.961748870000000E+02
0.392386760000000E+02,-0.961750060000000E+02
0.392385820000000E+02,-0.961656240000000E+02
0.392254020000000E+02,-0.961470160000000E+02
0.391922360000000E+02,-0.961472810000000E+02
0.391922360000000E+02,-0.961472810000000E+02
0.391923730000000E+02,-0.961507210000000E+02
0.391925840000000E+02,-0.961535470000000E+02
0.391922420000000E+02,-0.961521510000000E+02
0.391895300000000E+02,-0.961473090000000E+02
0.391588700000000E+02,-0.961472930000000E+02
0.391588700000000E+02,-0.961472930000000E+02
0.391589210000000E+02,-0.961660640000000E+02
0.391298290000000E+02,-0.961661910000000E+02
0.391298290000000E+02,-0.961674540000000E+02
0.391287540000000E+02,-0.961685110000000E+02
0.391161480000000E+02,-0.961685970000000E+02
0.391160260000000E+02,-0.962422610000000E+02
0.391160260000000E+02,-0.962422610000000E+02
0.391163670000000E+02,-0.962610950000000E+02
0.391294270000000E+02,-0.962612090000000E+02
0.391301580000000E+02,-0.962610030000000E+02
0.391304320000000E+02,-0.962588880000000E+02
0.391517950000000E+02,-0.962591370000000E+02
0.391518450000000E+02,-0.962404730000000E+02
0.392104660000000E+02,-0.962405730000000E+02
0.392104900000000E+02,-0.962392500000000E+02
0.392121160000000E+02,-0.962350470000000E+02
0.392121320000000E+02,-0.962349560000000E+02
0.392136660000000E+02,-0.962350370000000E+02
0.392169470000000E+02,-0.962175850000000E+02
0.392172690000000E+02,-0.962031780000000E+02
0.392480780000000E+02,-0.962030640000000E+02
0.392512590000000E+02,-0.962153390000000E+02
0.392558320000000E+02,-0.962225180000000E+02
0.392570440000000E+02,-0.962236960000000E+02
0.392572440000000E+02,-0.962400230000000E+02
0.392558250000000E+02,-0.962406110000000E+02
0.392554360000000E+02,-0.962413160000000E+02
0.392559580000000E+02,-0.962489960000000E+02
0.392585840000000E+02,-0.962508190000000E+02
0.392643040000000E+02,-0.962534620000000E+02
0.392652640000000E+02,-0.962532550000000E+02
0.392727490000000E+02,-0.962443020000000E+02
0.392747170000000E+02,-0.962433030000000E+02
0.392798630000000E+02,-0.962428360000000E+02
0.392818060000000E+02,-0.962448390000000E+02
0.392847560000000E+02,-0.962458710000000E+02
0.392874130000000E+02,-0.962386040000000E+02
0.392869790000000E+02,-0.962358080000000E+02
0.392886730000000E+02,-0.962324830000000E+02
0.392913490000000E+02,-0.962299530000000E+02
0.392970910000000E+02,-0.962307220000000E+02
0.393068340000000E+02,-0.962304630000000E+02
0.393079320000000E+02,-0.962292860000000E+02
0.393081860000000E+02,-0.962216020000000E+02
0.393221380000000E+02,-0.962211070000000E+02
0.393225530000000E+02,-0.962056190000000E+02
0.393254350000000E+02,-0.962048830000000E+02
0.393269670000000E+02,-0.962052080000000E+02
0.393267380000000E+02,-0.962067390000000E+02
0.393349930000000E+02,-0.962199340000000E+02
0.393363650000000E+02,-0.962203770000000E+02
0.393375080000000E+02,-0.962198470000000E+02
0.393392480000000E+02,-0.962150470000000E+02
0.393392480000000E+02,-0.962150470000000E+02
0.393391110000000E+02,-0.962141340000000E+02
0.393403190000000E+02,-0.962115850000000E+02
0.393477340000000E+02,-0.962116620000000E+02
0.393476660000000E+02,-0.962042390000000E+02
0.393452420000000E+02,-0.962030020000000E+02
0.393439610000000E+02,-0.962005860000000E+02
0.393440760000000E+02,-0.961996140000000E+02
0.393457910000000E+02,-0.961971400000000E+02
0.393459280000000E+02,-0.961916610000000E+02
0.393438240000000E+02,-0.961889510000000E+02
0.393436770000000E+02,-0.961868320000000E+02
0.393444640000000E+02,-0.961815870000000E+02
0.393439150000000E+02,-0.961787010000000E+02
0.393427940000000E+02,-0.961765210000000E+02
0.393390420000000E+02,-0.961735180000000E+02
0.393367100000000E+02,-0.961744610000000E+02
0.393206540000000E+02,-0.961744650000000E+02
0.393188240000000E+02,-0.961725230000000E+02
0.393183340000000E+02,-0.961288160000000E+02
END,END
