LAT,LON
0.374131920000000E+02,-0.953486890000000E+02
0.374137460000000E+02,-0.953498170000000E+02
0.374152100000000E+02,-0.953510800000000E+02
0.374236300000000E+02,-0.953539540000000E+02
0.374268340000000E+02,-0.953543290000000E+02
0.374287100000000E+02,-0.953519770000000E+02
0.374283910000000E+02,-0.953483040000000E+02
0.374276130000000E+02,-0.953476150000000E+02
0.374244110000000E+02,-0.953473260000000E+02
0.374235870000000E+02,-0.953461500000000E+02
0.374240680000000E+02,-0.953444280000000E+02
0.374240680000000E+02,-0.953444280000000E+02
0.374220770000000E+02,-0.953451730000000E+02
0.374174550000000E+02,-0.953429620000000E+02
0.374136350000000E+02,-0.953404940000000E+02
0.374079610000000E+02,-0.953342370000000E+02
0.374071380000000E+02,-0.953313390000000E+02
0.374065200000000E+02,-0.953309660000000E+02
0.374032700000000E+02,-0.953310800000000E+02
0.373984690000000E+02,-0.953338310000000E+02
0.373960620000000E+02,-0.953362410000000E+02
0.373949860000000E+02,-0.953393950000000E+02
0.374011170000000E+02,-0.953448190000000E+02
0.374065850000000E+02,-0.953470020000000E+02
0.374093080000000E+02,-0.953472040000000E+02
0.374109790000000E+02,-0.953457990000000E+02
0.374131920000000E+02,-0.953486890000000E+02
END,END
0.373841180000000E+02,-0.951237180000000E+02
0.373802060000000E+02,-0.951207320000000E+02
0.373688140000000E+02,-0.951155950000000E+02
0.373664110000000E+02,-0.951153350000000E+02
0.373649460000000E+02,-0.951164810000000E+02
0.373643960000000E+02,-0.951177420000000E+02
0.373654720000000E+02,-0.951271100000000E+02
0.373640540000000E+02,-0.951287160000000E+02
0.373628640000000E+02,-0.951286890000000E+02
0.373606440000000E+02,-0.951265970000000E+02
0.373594530000000E+02,-0.951175370000000E+02
0.373585160000000E+02,-0.951172780000000E+02
0.373571880000000E+02,-0.951179080000000E+02
0.373558820000000E+02,-0.951206020000000E+02
0.373545080000000E+02,-0.951219190000000E+02
0.373502510000000E+02,-0.951226610000000E+02
0.373478760000000E+02,-0.951120230000000E+02
0.373460230000000E+02,-0.951101870000000E+02
0.373423390000000E+02,-0.951088950000000E+02
0.373379700000000E+02,-0.951045930000000E+02
0.373363000000000E+02,-0.951022990000000E+02
0.373322500000000E+02,-0.951004050000000E+02
0.373287940000000E+02,-0.951010330000000E+02
0.373260700000000E+02,-0.951046130000000E+02
0.373244910000000E+02,-0.951055010000000E+02
0.373233010000000E+02,-0.951053850000000E+02
0.373191820000000E+02,-0.951024030000000E+02
0.373148340000000E+02,-0.951024580000000E+02
0.373134370000000E+02,-0.951035170000000E+02
0.373107340000000E+02,-0.951094180000000E+02
0.373053800000000E+02,-0.951084110000000E+02
0.372958370000000E+02,-0.951083120000000E+02
0.372958370000000E+02,-0.951083120000000E+02
0.372939830000000E+02,-0.951090920000000E+02
0.372936850000000E+02,-0.951109820000000E+02
0.372940500000000E+02,-0.951122710000000E+02
0.372935690000000E+02,-0.951125290000000E+02
0.372913730000000E+02,-0.951113530000000E+02
0.372863170000000E+02,-0.951073100000000E+02
0.372833200000000E+02,-0.951040430000000E+02
0.372803900000000E+02,-0.951040990000000E+02
0.372729060000000E+02,-0.951077030000000E+02
0.372709600000000E+02,-0.951108230000000E+02
0.372712790000000E+02,-0.951141730000000E+02
0.372705910000000E+02,-0.951157480000000E+02
0.372691720000000E+02,-0.951158900000000E+02
0.372669070000000E+02,-0.951139410000000E+02
0.372654430000000E+02,-0.951135390000000E+02
0.372641840000000E+02,-0.951142260000000E+02
0.372626040000000E+02,-0.951165150000000E+02
0.372610930000000E+02,-0.951168580000000E+02
0.372583930000000E+02,-0.951150810000000E+02
0.372547110000000E+02,-0.951112990000000E+02
0.372531790000000E+02,-0.951087790000000E+02
0.372526310000000E+02,-0.951055710000000E+02
0.372505090000000E+02,-0.951036230000000E+02
0.372487470000000E+02,-0.951030260000000E+02
0.372471220000000E+02,-0.951031680000000E+02
0.372432060000000E+02,-0.951084040000000E+02
0.372396350000000E+02,-0.951087450000000E+02
0.372381480000000E+02,-0.951081710000000E+02
0.372372790000000E+02,-0.951070830000000E+02
0.372374630000000E+02,-0.951050220000000E+02
0.372417210000000E+02,-0.951013610000000E+02
0.372423850000000E+02,-0.950998160000000E+02
0.372424550000000E+02,-0.950981270000000E+02
0.372417920000000E+02,-0.950957220000000E+02
0.372405330000000E+02,-0.950942330000000E+02
0.372384970000000E+02,-0.950931150000000E+02
0.372355450000000E+02,-0.950927420000000E+02
0.372344690000000E+02,-0.950930850000000E+02
0.372327290000000E+02,-0.950950020000000E+02
0.372309430000000E+02,-0.950981490000000E+02
0.372301170000000E+02,-0.951019270000000E+02
0.372291790000000E+02,-0.951028710000000E+02
0.372264320000000E+02,-0.951029260000000E+02
0.372255410000000E+02,-0.951024960000000E+02
0.372229790000000E+02,-0.950997480000000E+02
0.372214000000000E+02,-0.950990030000000E+02
0.372203470000000E+02,-0.950988590000000E+02
0.372189510000000E+02,-0.950996600000000E+02
0.372180570000000E+02,-0.951018620000000E+02
0.372186980000000E+02,-0.951031790000000E+02
0.372205960000000E+02,-0.951049830000000E+02
0.372209160000000E+02,-0.951061280000000E+02
0.372193130000000E+02,-0.951085020000000E+02
0.372176880000000E+02,-0.951086730000000E+02
0.372162480000000E+02,-0.951054100000000E+02
0.372150120000000E+02,-0.951043790000000E+02
0.372136850000000E+02,-0.951044920000000E+02
0.372115790000000E+02,-0.951056360000000E+02
0.372093120000000E+02,-0.951087820000000E+02
0.372086930000000E+02,-0.951113850000000E+02
0.372087370000000E+02,-0.951153340000000E+02
0.372080500000000E+02,-0.951160480000000E+02
0.372069510000000E+02,-0.951160480000000E+02
0.372042740000000E+02,-0.951141860000000E+02
0.372046190000000E+02,-0.951106670000000E+02
0.372038200000000E+02,-0.951069750000000E+02
0.372013270000000E+02,-0.951027390000000E+02
0.371997480000000E+02,-0.951009360000000E+02
0.371989930000000E+02,-0.951009070000000E+02
0.371980540000000E+02,-0.951016500000000E+02
0.371963370000000E+02,-0.951067980000000E+02
0.371939560000000E+02,-0.951074830000000E+02
0.371864040000000E+02,-0.951070500000000E+02
0.371788750000000E+02,-0.951042710000000E+02
0.371773430000000E+02,-0.951002660000000E+02
0.371786520000000E+02,-0.950878240000000E+02
0.371776680000000E+02,-0.950843910000000E+02
0.371773480000000E+02,-0.950810160000000E+02
0.371786540000000E+02,-0.950766980000000E+02
0.371784550000000E+02,-0.950741740000000E+02
0.371784550000000E+02,-0.950741740000000E+02
0.371780200000000E+02,-0.950741740000000E+02
0.371780200000000E+02,-0.950741740000000E+02
0.371781270000000E+02,-0.950761830000000E+02
0.371766620000000E+02,-0.950811590000000E+02
0.371768670000000E+02,-0.950836760000000E+02
0.371781020000000E+02,-0.950881380000000E+02
0.371772070000000E+02,-0.950973770000000E+02
0.371757860000000E+02,-0.951034680000000E+02
0.371765630000000E+02,-0.951056130000000E+02
0.371773870000000E+02,-0.951065010000000E+02
0.371863120000000E+02,-0.951077650000000E+02
0.371949170000000E+02,-0.951082850000000E+02
0.371960390000000E+02,-0.951079710000000E+02
0.371972070000000E+02,-0.951069130000000E+02
0.371985350000000E+02,-0.951022220000000E+02
0.371995880000000E+02,-0.951017940000000E+02
0.372032020000000E+02,-0.951069740000000E+02
0.372040010000000E+02,-0.951104660000000E+02
0.372032900000000E+02,-0.951144140000000E+02
0.372062410000000E+02,-0.951168770000000E+02
0.372082100000000E+02,-0.951168780000000E+02
0.372101330000000E+02,-0.951146770000000E+02
0.372102480000000E+02,-0.951135030000000E+02
0.372096530000000E+02,-0.951140180000000E+02
0.372093560000000E+02,-0.951131310000000E+02
0.372097690000000E+02,-0.951095830000000E+02
0.372110750000000E+02,-0.951072380000000E+02
0.372124480000000E+02,-0.951060080000000E+02
0.372139820000000E+02,-0.951053220000000E+02
0.372153320000000E+02,-0.951054660000000E+02
0.372170020000000E+02,-0.951091300000000E+02
0.372182370000000E+02,-0.951095890000000E+02
0.372194500000000E+02,-0.951094180000000E+02
0.372210530000000E+02,-0.951078170000000E+02
0.372216260000000E+02,-0.951061860000000E+02
0.372213750000000E+02,-0.951048690000000E+02
0.372189040000000E+02,-0.951020060000000E+02
0.372195230000000E+02,-0.951001750000000E+02
0.372204380000000E+02,-0.950998030000000E+02
0.372217650000000E+02,-0.951000620000000E+02
0.372259750000000E+02,-0.951035270000000E+02
0.372293390000000E+02,-0.951034140000000E+02
0.372308960000000E+02,-0.951019270000000E+02
0.372319960000000E+02,-0.950976630000000E+02
0.372342850000000E+02,-0.950943730000000E+02
0.372354070000000E+02,-0.950937440000000E+02
0.372373520000000E+02,-0.950936870000000E+02
0.372401900000000E+02,-0.950948340000000E+02
0.372411740000000E+02,-0.950960650000000E+02
0.372419510000000E+02,-0.950987560000000E+02
0.372406680000000E+02,-0.951017040000000E+02
0.372369140000000E+02,-0.951047360000000E+02
0.372365010000000E+02,-0.951059660000000E+02
0.372369580000000E+02,-0.951079700000000E+02
0.372394060000000E+02,-0.951094600000000E+02
0.372432280000000E+02,-0.951092340000000E+02
0.372444880000000E+02,-0.951082040000000E+02
0.372468506745117E+02,-0.951043700468750E+02
0.372479910000000E+02,-0.951036830000000E+02
0.372500620000000E+02,-0.951042270000000E+02
0.372519900000000E+02,-0.951058570000000E+02
0.372525830000000E+02,-0.951092640000000E+02
0.372537500000000E+02,-0.951112980000000E+02
0.372578670000000E+02,-0.951158250000000E+02
0.372604290000000E+02,-0.951174590000000E+02
0.372626720000000E+02,-0.951177180000000E+02
0.372655110000000E+02,-0.951141690000000E+02
0.372683940000000E+02,-0.951164050000000E+02
0.372695610000000E+02,-0.951168930000000E+02
0.372708430000000E+02,-0.951166930000000E+02
0.372720790000000E+02,-0.951144320000000E+02
0.372716920000000E+02,-0.951107660000000E+02
0.372735010000000E+02,-0.951083040000000E+02
0.372746000000000E+02,-0.951074460000000E+02
0.372813060000000E+02,-0.951047290000000E+02
0.372830910000000E+02,-0.951050170000000E+02
0.372891070000000E+02,-0.951106060000000E+02
0.372912580000000E+02,-0.951122410000000E+02
0.372939580000000E+02,-0.951135030000000E+02
0.372944390000000E+02,-0.951135030000000E+02
0.372948740000000E+02,-0.951127300000000E+02
0.372944630000000E+02,-0.951100080000000E+02
0.372949670000000E+02,-0.951092070000000E+02
0.372958360000000E+02,-0.951090640000000E+02
0.372958360000000E+02,-0.951090640000000E+02
0.373054490000000E+02,-0.951093280000000E+02
0.373112830000000E+02,-0.951104210000000E+02
0.373135280000000E+02,-0.951047780000000E+02
0.373149480000000E+02,-0.951032310000000E+02
0.373159550000000E+02,-0.951028590000000E+02
0.373187470000000E+02,-0.951031480000000E+02
0.373204630000000E+02,-0.951039220000000E+02
0.373231860000000E+02,-0.951061020000000E+02
