LAT,LON
0.373477120000000E+02,-0.842284990000000E+02
0.373507430000000E+02,-0.842314040000000E+02
0.373570590000000E+02,-0.842341530000000E+02
0.373595300000000E+02,-0.842359290000000E+02
0.373598970000000E+02,-0.842366170000000E+02
0.373601040000000E+02,-0.842430650000000E+02
0.373609290000000E+02,-0.842459310000000E+02
0.373621180000000E+02,-0.842473070000000E+02
0.373653670000000E+02,-0.842492550000000E+02
0.373683650000000E+02,-0.842567640000000E+02
0.373672910000000E+02,-0.842633280000000E+02
0.373675200000000E+02,-0.842657070000000E+02
0.373687780000000E+02,-0.842671400000000E+02
0.373712720000000E+02,-0.842687930000000E+02
0.373677780000000E+02,-0.842738760000000E+02
0.373640950000000E+02,-0.842739930000000E+02
0.373596320000000E+02,-0.842784730000000E+02
0.373574190000000E+02,-0.842831940000000E+02
0.373538430000000E+02,-0.842838470000000E+02
0.373469880000000E+02,-0.842989360000000E+02
0.373422530000000E+02,-0.843059000000000E+02
0.373424390000000E+02,-0.843067440000000E+02
0.373430530000000E+02,-0.843082100000000E+02
0.373576510000000E+02,-0.843077030000000E+02
0.373622730000000E+02,-0.843090500000000E+02
0.373644460000000E+02,-0.843103110000000E+02
0.373666430000000E+02,-0.843124030000000E+02
0.373715340000000E+02,-0.843193320000000E+02
0.373798290000000E+02,-0.843166800000000E+02
0.373830100000000E+02,-0.843136130000000E+02
0.373848860000000E+02,-0.843075920000000E+02
0.373848170000000E+02,-0.842999650000000E+02
0.373831450000000E+02,-0.842916510000000E+02
0.373812230000000E+02,-0.842903040000000E+02
0.373797580000000E+02,-0.842883820000000E+02
0.373771940000000E+02,-0.842821340000000E+02
0.373745280000000E+02,-0.842739300000000E+02
0.373753920000000E+02,-0.842694060000000E+02
0.373846930000000E+02,-0.842658450000000E+02
0.373961780000000E+02,-0.842634870000000E+02
0.374051240000000E+02,-0.842653740000000E+02
0.374110270000000E+02,-0.842642510000000E+02
0.374194020000000E+02,-0.842565920000000E+02
0.374226110000000E+02,-0.842478950000000E+02
0.374261020000000E+02,-0.842466400000000E+02
0.374268560000000E+02,-0.842476290000000E+02
0.374266840000000E+02,-0.842491060000000E+02
0.374287480000000E+02,-0.842546540000000E+02
0.374308440000000E+02,-0.842587230000000E+02
0.374379970000000E+02,-0.842559410000000E+02
0.374394610000000E+02,-0.842547910000000E+02
0.374400550000000E+02,-0.842527540000000E+02
0.374438780000000E+02,-0.842496070000000E+02
0.374476310000000E+02,-0.842488670000000E+02
0.374570820000000E+02,-0.842445120000000E+02
0.374646570000000E+02,-0.842385190000000E+02
0.374666940000000E+02,-0.842353340000000E+02
0.374644530000000E+02,-0.842325200000000E+02
0.374637450000000E+02,-0.842304530000000E+02
0.374637450000000E+02,-0.842304530000000E+02
0.374622350000000E+02,-0.842291900000000E+02
0.374588490000000E+02,-0.842280690000000E+02
0.374533150000000E+02,-0.842197730000000E+02
0.374506740000000E+02,-0.842193990000000E+02
0.374437740000000E+02,-0.842202570000000E+02
0.374390170000000E+02,-0.842141440000000E+02
0.374371420000000E+02,-0.842074870000000E+02
0.374367780000000E+02,-0.842030110000000E+02
0.374302341854492E+02,-0.841913581250000E+02
0.374305100000000E+02,-0.841899290000000E+02
0.374343990000000E+02,-0.841893840000000E+02
0.374388140000000E+02,-0.841909900000000E+02
0.374403720000000E+02,-0.841926400000000E+02
0.374391350000000E+02,-0.841907610000000E+02
0.374349710000000E+02,-0.841892690000000E+02
0.374312870000000E+02,-0.841889820000000E+02
0.374245380000000E+02,-0.841925100000000E+02
0.374106740000000E+02,-0.841936570000000E+02
0.374073800000000E+02,-0.841932560000000E+02
0.374027580000000E+02,-0.841911330000000E+02
0.374013630000000E+02,-0.841916210000000E+02
0.374006870000000E+02,-0.841932480000000E+02
0.373994870000000E+02,-0.841934560000000E+02
0.373938590000000E+02,-0.841901580000000E+02
0.373918000000000E+02,-0.841879500000000E+02
0.373882540000000E+02,-0.841856850000000E+02
0.373877040000000E+02,-0.841860010000000E+02
0.373868350000000E+02,-0.841890110000000E+02
0.373863550000000E+02,-0.841892400000000E+02
0.373834030000000E+02,-0.841896130000000E+02
0.373793770000000E+02,-0.841887820000000E+02
0.373750850000000E+02,-0.841941390000000E+02
0.373683220000000E+02,-0.842130470000000E+02
0.373669400000000E+02,-0.842136150000000E+02
0.373630930000000E+02,-0.842136550000000E+02
0.373557950000000E+02,-0.842130800000000E+02
0.373527290000000E+02,-0.842139960000000E+02
0.373518370000000E+02,-0.842146840000000E+02
0.373512870000000E+02,-0.842173780000000E+02
0.373523850000000E+02,-0.842198140000000E+02
0.373526360000000E+02,-0.842226510000000E+02
0.373510110000000E+02,-0.842254880000000E+02
0.373502960000000E+02,-0.842250410000000E+02
0.373478760000000E+02,-0.842273200000000E+02
0.373477120000000E+02,-0.842284990000000E+02
END,END
