LAT,LON
0.379937780000000E+02,-0.844428360000000E+02
0.379914670000000E+02,-0.844426590000000E+02
0.379875470000000E+02,-0.844411000000000E+02
0.379901270000000E+02,-0.844331410000000E+02
0.379901270000000E+02,-0.844331410000000E+02
0.379888780000000E+02,-0.844315360000000E+02
0.379878780000000E+02,-0.844324360000000E+02
0.379877780000000E+02,-0.844349360000000E+02
0.379861780000000E+02,-0.844384360000000E+02
0.379815780000000E+02,-0.844432360000000E+02
0.379800780000000E+02,-0.844438360000000E+02
0.379772780000000E+02,-0.844477360000000E+02
0.379775780000000E+02,-0.844496360000000E+02
0.379775780000000E+02,-0.844496360000000E+02
0.379797460000000E+02,-0.844516000000000E+02
0.379828730000000E+02,-0.844457180000000E+02
0.379859050000000E+02,-0.844425530000000E+02
0.379900460000000E+02,-0.844435000000000E+02
0.379962780000000E+02,-0.844437360000000E+02
0.379963780000000E+02,-0.844432360000000E+02
0.379963780000000E+02,-0.844432360000000E+02
0.379937780000000E+02,-0.844428360000000E+02
END,END
0.378467510000000E+02,-0.844661120000000E+02
0.378441430000000E+02,-0.844633760000000E+02
0.378422550000000E+02,-0.844603200000000E+02
0.378406230000000E+02,-0.844556320000000E+02
0.378402070000000E+02,-0.844501760000000E+02
0.378406710000000E+02,-0.844467200000000E+02
0.378417590000000E+02,-0.844435680000000E+02
0.378446870000000E+02,-0.844390070000000E+02
0.378475670000000E+02,-0.844361270000000E+02
0.378471030000000E+02,-0.844357430000000E+02
0.378471030000000E+02,-0.844357430000000E+02
0.378428150000000E+02,-0.844407350000000E+02
0.378410390000000E+02,-0.844443520000000E+02
0.378402550000000E+02,-0.844470240000000E+02
0.378400150000000E+02,-0.844493760000000E+02
0.378403670000000E+02,-0.844553920000000E+02
0.378412630000000E+02,-0.844585920000000E+02
0.378429910000000E+02,-0.844624160000000E+02
0.378463190000000E+02,-0.844664000000000E+02
0.378503510000000E+02,-0.844696160000000E+02
0.378521590000000E+02,-0.844716160000000E+02
0.378533430000000E+02,-0.844737280000000E+02
0.378534070000000E+02,-0.844756490000000E+02
0.378523350000000E+02,-0.844778090000000E+02
0.378517110000000E+02,-0.844785770000000E+02
0.378461910000000E+02,-0.844834090000000E+02
0.378442550000000E+02,-0.844845130000000E+02
0.378426390000000E+02,-0.844851210000000E+02
0.378409590000000E+02,-0.844851370000000E+02
0.378409590000000E+02,-0.844851370000000E+02
0.378409750000000E+02,-0.844853770000000E+02
0.378409750000000E+02,-0.844853770000000E+02
0.378437750000000E+02,-0.844850890000000E+02
0.378469430000000E+02,-0.844834890000000E+02
0.378511510000000E+02,-0.844796650000000E+02
0.378535510000000E+02,-0.844764170000000E+02
0.378537750000000E+02,-0.844739200000000E+02
0.378529750000000E+02,-0.844719840000000E+02
0.378506550000000E+02,-0.844692800000000E+02
0.378467510000000E+02,-0.844661120000000E+02
END,END
