LAT,LON
0.371456690000000E+02,-0.890844380000000E+02
0.371471010000000E+02,-0.890827250000000E+02
0.371456600000000E+02,-0.890815240000000E+02
0.371405330000000E+02,-0.890836950000000E+02
0.371387020000000E+02,-0.890806640000000E+02
0.371361390000000E+02,-0.890806340000000E+02
0.371298670000000E+02,-0.890839770000000E+02
0.371187750000000E+02,-0.890878940000000E+02
0.371121370000000E+02,-0.890912920000000E+02
0.371080160000000E+02,-0.890941760000000E+02
0.371054290000000E+02,-0.890972030000000E+02
0.371034840000000E+02,-0.890981450000000E+02
0.371025450000000E+02,-0.890983160000000E+02
0.371018360000000E+02,-0.890969160000000E+02
0.370858590000000E+02,-0.891015350000000E+02
0.370737310000000E+02,-0.890998150000000E+02
0.370734790000000E+02,-0.890994150000000E+02
0.370670260000000E+02,-0.890978050000000E+02
0.370592670000000E+02,-0.890986360000000E+02
0.370548810000000E+02,-0.890954930000000E+02
0.370422480000000E+02,-0.890928280000000E+02
0.370395850000000E+02,-0.890926590000000E+02
0.370369070000000E+02,-0.890941710000000E+02
0.370353500000000E+02,-0.890955690000000E+02
0.370354640000000E+02,-0.890973670000000E+02
0.370335640000000E+02,-0.891004490000000E+02
0.370306560000000E+02,-0.891027890000000E+02
0.370285730000000E+02,-0.891028160000000E+02
0.370251870000000E+02,-0.891013870000000E+02
0.370241340000000E+02,-0.891006730000000E+02
0.370228760000000E+02,-0.890977040000000E+02
0.370167200000000E+02,-0.890965880000000E+02
0.370152320000000E+02,-0.890969260000000E+02
0.370152320000000E+02,-0.890969260000000E+02
0.370131490000000E+02,-0.890983840000000E+02
0.370076310000000E+02,-0.891041740000000E+02
0.370053640000000E+02,-0.891081110000000E+02
0.369961240000000E+02,-0.891150440000000E+02
0.369936520000000E+02,-0.891158980000000E+02
0.369902220000000E+02,-0.891154680000000E+02
0.369857130000000E+02,-0.891109560000000E+02
0.369848200000000E+02,-0.891109560000000E+02
0.369848200000000E+02,-0.891109560000000E+02
0.369882040000000E+02,-0.891182040000000E+02
0.369928540000000E+02,-0.891345910000000E+02
0.369963120000000E+02,-0.891437770000000E+02
0.370023490000000E+02,-0.891540990000000E+02
0.370103840000000E+02,-0.891626850000000E+02
0.370164270000000E+02,-0.891676200000000E+02
0.370203870000000E+02,-0.891700750000000E+02
0.370265440000000E+02,-0.891725280000000E+02
0.370313960000000E+02,-0.891730410000000E+02
0.370365220000000E+02,-0.891726980000000E+02
0.370434800000000E+02,-0.891708690000000E+02
0.370498190000000E+02,-0.891685560000000E+02
0.370580570000000E+02,-0.891645850000000E+02
0.370658150000000E+02,-0.891591850000000E+02
0.370750590000000E+02,-0.891510140000000E+02
0.370807560000000E+02,-0.891449270000000E+02
0.370837070000000E+02,-0.891400690000000E+02
0.370911420000000E+02,-0.891322380000000E+02
0.370970880000000E+02,-0.891250710000000E+02
0.371009340000000E+02,-0.891192310000000E+02
0.371056970000000E+02,-0.891136910000000E+02
0.371217930000000E+02,-0.890983560000000E+02
0.371264770000000E+02,-0.890950380000000E+02
0.371338710000000E+02,-0.890916970000000E+02
0.371428430000000E+02,-0.890887270000000E+02
0.371428430000000E+02,-0.890887270000000E+02
0.371428660000000E+02,-0.890868980000000E+02
0.371452240000000E+02,-0.890859840000000E+02
0.371456690000000E+02,-0.890844380000000E+02
END,END
0.369065500000000E+02,-0.880160930000000E+02
0.369048920000000E+02,-0.880244930000000E+02
0.369048920000000E+02,-0.880244930000000E+02
0.369077990000000E+02,-0.880236360000000E+02
0.369087380000000E+02,-0.880243200000000E+02
0.369087610000000E+02,-0.880260590000000E+02
0.369116480000000E+02,-0.880322160000000E+02
0.369113970000000E+02,-0.880366070000000E+02
0.369103440000000E+02,-0.880376050000000E+02
0.369096110000000E+02,-0.880368350000000E+02
0.369090380000000E+02,-0.880326450000000E+02
0.369085570000000E+02,-0.880324170000000E+02
0.369061310000000E+02,-0.880372920000000E+02
0.369050550000000E+02,-0.880368940000000E+02
0.369045280000000E+02,-0.880351260000000E+02
0.369055120000000E+02,-0.880318760000000E+02
0.369030860000000E+02,-0.880316590000000E+02
0.369030860000000E+02,-0.880316590000000E+02
0.368772730000000E+02,-0.881211720000000E+02
0.368731530000000E+02,-0.881327750000000E+02
0.368681540000000E+02,-0.881534230000000E+02
0.368681540000000E+02,-0.881534230000000E+02
0.368717480000000E+02,-0.881534220000000E+02
0.368764130000000E+02,-0.881513940000000E+02
0.368846530000000E+02,-0.881444640000000E+02
0.368797050000000E+02,-0.881367440000000E+02
0.368798640000000E+02,-0.881356040000000E+02
0.368821090000000E+02,-0.881370270000000E+02
0.368846510000000E+02,-0.881403600000000E+02
0.368864150000000E+02,-0.881413850000000E+02
0.368873760000000E+02,-0.881409570000000E+02
0.368884270000000E+02,-0.881363680000000E+02
0.368889520000000E+02,-0.881312360000000E+02
0.368885150000000E+02,-0.881275310000000E+02
0.368902530000000E+02,-0.881226370000000E+02
0.368914440000000E+02,-0.881222390000000E+02
0.368919710000000E+02,-0.881253740000000E+02
0.368919050000000E+02,-0.881304070000000E+02
0.368909020000000E+02,-0.881415540000000E+02
0.368865320000000E+02,-0.881484530000000E+02
0.368891880000000E+02,-0.881510460000000E+02
0.368846560000000E+02,-0.881526720000000E+02
0.368827550000000E+02,-0.881526160000000E+02
0.368816820000000E+02,-0.881572620000000E+02
0.368831700000000E+02,-0.881590280000000E+02
0.368852540000000E+02,-0.881602530000000E+02
0.368972510000000E+02,-0.881616170000000E+02
0.368993800000000E+02,-0.881607610000000E+02
0.369002030000000E+02,-0.881568840000000E+02
0.368985080000000E+02,-0.881524380000000E+02
0.369109110000000E+02,-0.881392880000000E+02
0.369115970000000E+02,-0.881377490000000E+02
0.369121220000000E+02,-0.881332440000000E+02
0.369137020000000E+02,-0.881343260000000E+02
0.369134290000000E+02,-0.881382610000000E+02
0.369060170000000E+02,-0.881519210000000E+02
0.369052400000000E+02,-0.881555990000000E+02
0.369054690000000E+02,-0.881581080000000E+02
0.369033740000000E+02,-0.881632810000000E+02
0.369048070000000E+02,-0.881669740000000E+02
0.369070050000000E+02,-0.881687980000000E+02
0.369130500000000E+02,-0.881701930000000E+02
0.369184530000000E+02,-0.881707910000000E+02
0.369194140000000E+02,-0.881703630000000E+02
0.369218180000000E+02,-0.881676540000000E+02
0.369224580000000E+02,-0.881648880000000E+02
0.369218170000000E+02,-0.881632630000000E+02
0.369221600000000E+02,-0.881620650000000E+02
0.369252750000000E+02,-0.881691070000000E+02
0.369250700000000E+02,-0.881730990000000E+02
0.369255500000000E+02,-0.881737830000000E+02
0.369294650000000E+02,-0.881736970000000E+02
0.369312050000000E+02,-0.881731270000000E+02
0.369331510000000E+02,-0.881709020000000E+02
0.369328760000000E+02,-0.881689910000000E+02
0.369309980000000E+02,-0.881644860000000E+02
0.369294640000000E+02,-0.881629180000000E+02
0.369282730000000E+02,-0.881601810000000E+02
0.369260960000000E+02,-0.881530810000000E+02
0.369289570000000E+02,-0.881507120000000E+02
0.369283850000000E+02,-0.881521100000000E+02
0.369295310000000E+02,-0.881567870000000E+02
0.369312490000000E+02,-0.881597520000000E+02
