LAT,LON
0.311594480000000E+02,-0.930134550000000E+02
0.311585690000000E+02,-0.930115560000000E+02
0.311584930000000E+02,-0.929788540000000E+02
0.311590680000000E+02,-0.929788540000000E+02
0.311590120000000E+02,-0.929741500000000E+02
0.311590120000000E+02,-0.929741500000000E+02
0.311576690000000E+02,-0.929747260000000E+02
0.311484330000000E+02,-0.929748820000000E+02
0.311480220000000E+02,-0.929691780000000E+02
0.311443570000000E+02,-0.929631820000000E+02
0.311433490000000E+02,-0.929578790000000E+02
0.311377930000000E+02,-0.929484870000000E+02
0.311361310000000E+02,-0.929466060000000E+02
0.311334490000000E+02,-0.929463660000000E+02
0.311323030000000E+02,-0.929454070000000E+02
0.311306760000000E+02,-0.929420770000000E+02
0.311312930000000E+02,-0.929411880000000E+02
0.310672480000000E+02,-0.928677410000000E+02
0.310594560000000E+02,-0.928751510000000E+02
0.310499250000000E+02,-0.928832670000000E+02
0.310446550000000E+02,-0.928872900000000E+02
0.310404180000000E+02,-0.928896750000000E+02
0.310394070000000E+02,-0.928892900000000E+02
0.310355780000000E+02,-0.928839670000000E+02
0.310357600000000E+02,-0.928828310000000E+02
0.310486180000000E+02,-0.928828690000000E+02
0.310481250000000E+02,-0.928681230000000E+02
0.310448150000000E+02,-0.928638650000000E+02
0.310475000000000E+02,-0.928550660000000E+02
0.310474600000000E+02,-0.928537520000000E+02
0.310345460000000E+02,-0.928538120000000E+02
0.310342450000000E+02,-0.928451370000000E+02
0.310262740000000E+02,-0.928451350000000E+02
0.310259760000000E+02,-0.928277500000000E+02
0.310259760000000E+02,-0.928277500000000E+02
0.310111710000000E+02,-0.928276640000000E+02
0.310111550000000E+02,-0.928239100000000E+02
0.309717890000000E+02,-0.928242490000000E+02
0.309754550000000E+02,-0.928272970000000E+02
0.309806810000000E+02,-0.928278620000000E+02
0.309845830000000E+02,-0.928275110000000E+02
0.309857120000000E+02,-0.928267480000000E+02
0.309888780000000E+02,-0.928275420000000E+02
0.309904890000000E+02,-0.928289490000000E+02
0.309928570000000E+02,-0.928292960000000E+02
0.309970530000000E+02,-0.928281060000000E+02
0.309990060000000E+02,-0.928289760000000E+02
0.310025770000000E+02,-0.928322410000000E+02
0.310052550000000E+02,-0.928411380000000E+02
0.310056890000000E+02,-0.928459500000000E+02
0.310034660000000E+02,-0.928490120000000E+02
0.310029970000000E+02,-0.928507970000000E+02
0.310032670000000E+02,-0.928542450000000E+02
0.310043890000000E+02,-0.928575500000000E+02
0.310079170000000E+02,-0.928587320000000E+02
0.310090920000000E+02,-0.928599220000000E+02
0.310096750000000E+02,-0.928627750000000E+02
0.310097510000000E+02,-0.928692920000000E+02
0.310090350000000E+02,-0.928749440000000E+02
0.310073780000000E+02,-0.928762340000000E+02
0.310038690000000E+02,-0.928826380000000E+02
0.310039500000000E+02,-0.928849430000000E+02
0.310112380000000E+02,-0.928844070000000E+02
0.310120220000000E+02,-0.928969670000000E+02
0.310153220000000E+02,-0.928969390000000E+02
0.310154590000000E+02,-0.928949430000000E+02
0.310195380000000E+02,-0.928924130000000E+02
0.310252450000000E+02,-0.928924370000000E+02
0.310266660000000E+02,-0.928932080000000E+02
0.310274000000000E+02,-0.928955500000000E+02
0.310200210000000E+02,-0.928989060000000E+02
0.310159940000000E+02,-0.928984710000000E+02
0.310145560000000E+02,-0.929062840000000E+02
0.310159540000000E+02,-0.929386950000000E+02
0.310178950000000E+02,-0.929422820000000E+02
0.310238000000000E+02,-0.929503790000000E+02
0.310404410000000E+02,-0.929785510000000E+02
0.310459480000000E+02,-0.929915350000000E+02
0.310480890000000E+02,-0.929943890000000E+02
0.310481620000000E+02,-0.929963470000000E+02
0.310475660000000E+02,-0.929978380000000E+02
0.310441090000000E+02,-0.930006560000000E+02
0.310390410000000E+02,-0.930035010000000E+02
0.310383510000000E+02,-0.930098490000000E+02
0.310350070000000E+02,-0.930156800000000E+02
0.310276730000000E+02,-0.930134740000000E+02
0.310252200000000E+02,-0.930123050000000E+02
0.310230420000000E+02,-0.930119860000000E+02
0.310126140000000E+02,-0.930129760000000E+02
0.309990970000000E+02,-0.930111200000000E+02
0.309983180000000E+02,-0.930115730000000E+02
0.309978370000000E+02,-0.930133560000000E+02
0.309984800000000E+02,-0.930163890000000E+02
0.309982970000000E+02,-0.930176670000000E+02
0.309955940000000E+02,-0.930233610000000E+02
0.309923860000000E+02,-0.930253310000000E+02
0.309911260000000E+02,-0.930255980000000E+02
0.309895670000000E+02,-0.930255180000000E+02
