LAT,LON
0.324951440000000E+02,-0.921178340000000E+02
0.324828440000000E+02,-0.921138340000000E+02
0.324817450000000E+02,-0.921163340000000E+02
0.324836450000000E+02,-0.921197340000000E+02
0.324864440000000E+02,-0.921224340000000E+02
0.324887440000000E+02,-0.921270340000000E+02
0.324892440000000E+02,-0.921286340000000E+02
0.324891440000000E+02,-0.921303340000000E+02
0.324841450000000E+02,-0.921333350000000E+02
0.324807450000000E+02,-0.921344350000000E+02
0.324768170000000E+02,-0.921336550000000E+02
0.324752490000000E+02,-0.921313670000000E+02
0.324750090000000E+02,-0.921285500000000E+02
0.324762450000000E+02,-0.921191340000000E+02
0.324758450000000E+02,-0.921170340000000E+02
0.324701450000000E+02,-0.921170340000000E+02
0.324651450000000E+02,-0.921181340000000E+02
0.324557450000000E+02,-0.921190340000000E+02
0.324518450000000E+02,-0.921175340000000E+02
0.324463460000000E+02,-0.921113340000000E+02
0.324439460000000E+02,-0.921107340000000E+02
0.324401460000000E+02,-0.921135340000000E+02
0.324373140000000E+02,-0.921249350000000E+02
0.324318580000000E+02,-0.921401670000000E+02
0.324312820000000E+02,-0.921443910000000E+02
0.324320180000000E+02,-0.921477830000000E+02
0.324365620000000E+02,-0.921516550000000E+02
0.324397300000000E+02,-0.921523590000000E+02
0.324449300000000E+02,-0.921511430000000E+02
0.324463700000000E+02,-0.921513990000000E+02
0.324475860000000E+02,-0.921545030000000E+02
0.324475060000000E+02,-0.921556390000000E+02
0.324454740000000E+02,-0.921583750000000E+02
0.324438740000000E+02,-0.921594150000000E+02
0.324323380000000E+02,-0.921566790000000E+02
0.324269790000000E+02,-0.921519430000000E+02
0.324248990000000E+02,-0.921509350000000E+02
0.324180350000000E+02,-0.921515110000000E+02
0.324155390000000E+02,-0.921503750000000E+02
0.324125150000000E+02,-0.921480710000000E+02
0.324106270000000E+02,-0.921456390000000E+02
0.324084350000000E+02,-0.921397510000000E+02
0.324081150000000E+02,-0.921377190000000E+02
0.324084990000000E+02,-0.921357510000000E+02
0.324147230000000E+02,-0.921212390000000E+02
0.324169310000000E+02,-0.921174150000000E+02
0.324175860000000E+02,-0.921151260000000E+02
0.324171380000000E+02,-0.921097660000000E+02
0.324150100000000E+02,-0.921068380000000E+02
0.324133150000000E+02,-0.921063420000000E+02
0.324120510000000E+02,-0.921069820000000E+02
0.324056510000000E+02,-0.921198470000000E+02
0.323982590000000E+02,-0.921262470000000E+02
0.323940830000000E+02,-0.921320390000000E+02
0.323916030000000E+02,-0.921340070000000E+02
0.323891880000000E+02,-0.921340390000000E+02
0.323858440000000E+02,-0.921307910000000E+02
0.323847080000000E+02,-0.921284390000000E+02
0.323850440000000E+02,-0.921257990000000E+02
0.323840200000000E+02,-0.921196070000000E+02
0.323836040000000E+02,-0.921185030000000E+02
0.323823240000000E+02,-0.921177830000000E+02
0.323791880000000E+02,-0.921183750000000E+02
0.323758440000000E+02,-0.921210950000000E+02
0.323701610000000E+02,-0.921240520000000E+02
0.323668850000000E+02,-0.921240500000000E+02
0.323604190000000E+02,-0.921217490000000E+02
0.323604190000000E+02,-0.921217490000000E+02
0.323518110000000E+02,-0.921194520000000E+02
0.323494970000000E+02,-0.921182630000000E+02
0.323445720000000E+02,-0.921150210000000E+02
0.323388000000000E+02,-0.921103760000000E+02
0.323379300000000E+02,-0.921092690000000E+02
0.323366020000000E+02,-0.921050310000000E+02
0.323362840000000E+02,-0.920950720000000E+02
0.323344520000000E+02,-0.920921030000000E+02
0.323312450000000E+02,-0.920895110000000E+02
0.323267540000000E+02,-0.920888080000000E+02
0.323237750000000E+02,-0.920897520000000E+02
0.323218730000000E+02,-0.920914780000000E+02
0.323198560000000E+02,-0.920953100000000E+02
0.323176330000000E+02,-0.920972790000000E+02
0.323127760000000E+02,-0.920979790000000E+02
0.323102780000000E+02,-0.920996510000000E+02
0.323088570000000E+02,-0.921017540000000E+02
0.323084440000000E+02,-0.921034270000000E+02
0.323099790000000E+02,-0.921015660000000E+02
0.323096350000000E+02,-0.921040480000000E+02
0.323069070000000E+02,-0.921067720000000E+02
