LAT,LON
0.423487310000000E+02,-0.719114060000000E+02
0.423475470000000E+02,-0.719113740000000E+02
0.423397710000000E+02,-0.719162700000000E+02
0.423387950000000E+02,-0.719243980000000E+02
0.423445230000000E+02,-0.719247660000000E+02
0.423453390000000E+02,-0.719255980000000E+02
0.423453390000000E+02,-0.719255980000000E+02
0.423473710000000E+02,-0.719290700000000E+02
0.423494350000000E+02,-0.719295020000000E+02
0.423506190000000E+02,-0.719292300000000E+02
0.423512590000000E+02,-0.719279020000000E+02
0.423519630000000E+02,-0.719254380000000E+02
0.423475790000000E+02,-0.719226700000000E+02
0.423453710000000E+02,-0.719185740000000E+02
0.423454350000000E+02,-0.719176940000000E+02
0.423480270000000E+02,-0.719175660000000E+02
0.423480270000000E+02,-0.719175660000000E+02
0.423523630000000E+02,-0.719183660000000E+02
0.423520270000000E+02,-0.719048940000000E+02
0.423503950000000E+02,-0.719049900000000E+02
0.423494350000000E+02,-0.719062860000000E+02
0.423501550000000E+02,-0.719088460000000E+02
0.423496910000000E+02,-0.719109740000000E+02
0.423487310000000E+02,-0.719114060000000E+02
END,END
0.423045920000000E+02,-0.718160160000000E+02
0.423023920000000E+02,-0.718134160000000E+02
0.423024920000000E+02,-0.718090150000000E+02
0.423040920000000E+02,-0.718072150000000E+02
0.422994920000000E+02,-0.718066150000000E+02
0.422944920000000E+02,-0.718084150000000E+02
0.422937920000000E+02,-0.718089150000000E+02
0.422938920000000E+02,-0.718110150000000E+02
0.422938920000000E+02,-0.718110150000000E+02
0.422900920000000E+02,-0.718119150000000E+02
0.422918920000000E+02,-0.718155160000000E+02
0.422953920000000E+02,-0.718168160000000E+02
0.423016920000000E+02,-0.718157160000000E+02
0.423045920000000E+02,-0.718160160000000E+02
END,END
