LAT,LON
0.423965970000000E+02,-0.710112940000000E+02
0.423959970000000E+02,-0.710094940000000E+02
0.423959970000000E+02,-0.710070940000000E+02
0.423982970000000E+02,-0.710031940000000E+02
0.423987970000000E+02,-0.710010940000000E+02
0.423981970000000E+02,-0.709989940000000E+02
0.423945970000000E+02,-0.709966940000000E+02
0.423924970000000E+02,-0.709943940000000E+02
0.423924970000000E+02,-0.709878930000000E+02
0.423891970000000E+02,-0.709868930000000E+02
0.423882740000000E+02,-0.709874270000000E+02
0.423862970000000E+02,-0.709914940000000E+02
0.423856970000000E+02,-0.709950940000000E+02
0.423835970000000E+02,-0.709952940000000E+02
0.423824970000000E+02,-0.709941940000000E+02
0.423824970000000E+02,-0.709941940000000E+02
0.423812980000000E+02,-0.709969950000000E+02
0.423814550000000E+02,-0.709981620000000E+02
0.423834980000000E+02,-0.710024950000000E+02
0.423845980000000E+02,-0.710087950000000E+02
0.423784870000000E+02,-0.710145130000000E+02
0.423744190000000E+02,-0.710133680000000E+02
0.423729050000000E+02,-0.710104480000000E+02
0.423731490000000E+02,-0.710098890000000E+02
0.423749090000000E+02,-0.710093850000000E+02
0.423779490000000E+02,-0.710076080000000E+02
0.423790590000000E+02,-0.710062640000000E+02
0.423791970000000E+02,-0.710044900000000E+02
0.423771970000000E+02,-0.709979940000000E+02
0.423688480000000E+02,-0.710014440000000E+02
0.423655430000000E+02,-0.710036380000000E+02
0.423636190000000E+02,-0.710018810000000E+02
0.423605710000000E+02,-0.709973170000000E+02
0.423618980000000E+02,-0.709874940000000E+02
0.423596980000000E+02,-0.709865940000000E+02
0.423562970000000E+02,-0.709916930000000E+02
0.423551970000000E+02,-0.709963930000000E+02
0.423562970000000E+02,-0.710025930000000E+02
0.423560970000000E+02,-0.710065940000000E+02
0.423537970000000E+02,-0.710077940000000E+02
0.423532970000000E+02,-0.710051930000000E+02
0.423540970000000E+02,-0.710041930000000E+02
0.423475193757465E+02,-0.710061564699264E+02
0.423475193757465E+02,-0.710061564699264E+02
0.423474531638082E+02,-0.710062557878338E+02
0.423474531638082E+02,-0.710062557878338E+02
0.423507970000000E+02,-0.710099940000000E+02
0.423578970000000E+02,-0.710152940000000E+02
0.423592970000000E+02,-0.710170940000000E+02
0.423629970000000E+02,-0.710260940000000E+02
0.423625970000000E+02,-0.710375940000000E+02
0.423645970000000E+02,-0.710421950000000E+02
0.423673970000000E+02,-0.710434950000000E+02
0.423719970000000E+02,-0.710441950000000E+02
0.423725970000000E+02,-0.710430950000000E+02
0.423746970000000E+02,-0.710412950000000E+02
0.423774970000000E+02,-0.710409950000000E+02
0.423784970000000E+02,-0.710417950000000E+02
0.423800970000000E+02,-0.710419950000000E+02
0.423841970000000E+02,-0.710389950000000E+02
0.423843970000000E+02,-0.710347950000000E+02
0.423839980000000E+02,-0.710335960000000E+02
0.423827970000000E+02,-0.710328950000000E+02
0.423827970000000E+02,-0.710287940000000E+02
0.423863970000000E+02,-0.710197940000000E+02
0.423965970000000E+02,-0.710112940000000E+02
END,END
