LAT,LON
0.397222688200139E+02,-0.779790877338314E+02
0.397222474221884E+02,-0.779342610911653E+02
0.397222190000000E+02,-0.778747190000000E+02
0.397219984599560E+02,-0.778475203419589E+02
0.397219984599560E+02,-0.778475203419589E+02
0.397197100000000E+02,-0.778471190000000E+02
0.397136750000000E+02,-0.778442040000000E+02
0.397112720000000E+02,-0.778418690000000E+02
0.397088460000000E+02,-0.778385280000000E+02
0.397062970000000E+02,-0.778418390000000E+02
0.397035130000000E+02,-0.778426630000000E+02
0.397013760000000E+02,-0.778441280000000E+02
0.396941440000000E+02,-0.778218180000000E+02
0.396927320000000E+02,-0.778249630000000E+02
0.396928160000000E+02,-0.778265800000000E+02
0.396894450000000E+02,-0.778279600000000E+02
0.396889360000000E+02,-0.778273520000000E+02
0.396877720000000E+02,-0.778274870000000E+02
0.396875540000000E+02,-0.778298490000000E+02
0.396870050000000E+02,-0.778306730000000E+02
0.396870050000000E+02,-0.778306730000000E+02
0.396863540000000E+02,-0.778315240000000E+02
0.396808540000000E+02,-0.778349110000000E+02
0.396791990000000E+02,-0.778349570000000E+02
0.396771540000000E+02,-0.778336910000000E+02
0.396754450000000E+02,-0.778305020000000E+02
0.396748120000000E+02,-0.778261520000000E+02
0.396732020000000E+02,-0.778220320000000E+02
0.396682350000000E+02,-0.778155320000000E+02
0.396666180000000E+02,-0.778110150000000E+02
0.396638560000000E+02,-0.778068650000000E+02
0.396619490000000E+02,-0.778053080000000E+02
0.396604690000000E+02,-0.778053080000000E+02
0.396597440000000E+02,-0.778058730000000E+02
0.396589350000000E+02,-0.778076740000000E+02
0.396584160000000E+02,-0.778107560000000E+02
0.396595380000000E+02,-0.778198810000000E+02
0.396607890000000E+02,-0.778259230000000E+02
0.396608040000000E+02,-0.778320890000000E+02
0.396619030000000E+02,-0.778388790000000E+02
0.396621160000000E+02,-0.778437620000000E+02
0.396611860000000E+02,-0.778469200000000E+02
0.396572720000000E+02,-0.778483240000000E+02
0.396572720000000E+02,-0.778483240000000E+02
0.396566920000000E+02,-0.778505210000000E+02
0.396502450000000E+02,-0.778531760000000E+02
0.396485590000000E+02,-0.778553890000000E+02
0.396451940000000E+02,-0.778577540000000E+02
0.396336740000000E+02,-0.778636740000000E+02
0.396315070000000E+02,-0.778652000000000E+02
0.396349130000000E+02,-0.778798740000000E+02
0.396250150000000E+02,-0.778797000000000E+02
0.396209490000000E+02,-0.778731190000000E+02
0.396177300000000E+02,-0.778695030000000E+02
0.396186070000000E+02,-0.778708310000000E+02
0.396198130000000E+02,-0.778753170000000E+02
0.396157030000000E+02,-0.778762530000000E+02
0.396157030000000E+02,-0.778762530000000E+02
0.396168500000000E+02,-0.778856260000000E+02
0.396155700000000E+02,-0.778881700000000E+02
0.396145190000000E+02,-0.778886730000000E+02
0.396127350000000E+02,-0.778882010000000E+02
0.396079530000000E+02,-0.778834740000000E+02
0.396048650000000E+02,-0.778819980000000E+02
0.396014350000000E+02,-0.778821480000000E+02
0.395999250000000E+02,-0.778827990000000E+02
0.395991030000000E+02,-0.778842780000000E+02
0.395988980000000E+02,-0.778876180000000E+02
0.396016000000000E+02,-0.778978160000000E+02
0.396054460000000E+02,-0.779198680000000E+02
0.396079390000000E+02,-0.779233870000000E+02
0.396110040000000E+02,-0.779255740000000E+02
0.396140230000000E+02,-0.779261360000000E+02
0.396186880000000E+02,-0.779312210000000E+02
0.396201050000000E+02,-0.779341190000000E+02
0.396203790000000E+02,-0.779361890000000E+02
0.396202640000000E+02,-0.779418070000000E+02
0.396197610000000E+02,-0.779433450000000E+02
0.396171080000000E+02,-0.779465380000000E+02
0.396158510000000E+02,-0.779469810000000E+02
0.396131300000000E+02,-0.779447630000000E+02
0.396119410000000E+02,-0.779407120000000E+02
0.396096320000000E+02,-0.779389380000000E+02
0.396062700000000E+02,-0.779377250000000E+02
0.396029390283733E+02,-0.779381718390488E+02
0.395976934834740E+02,-0.779424021151308E+02
0.395965090056463E+02,-0.779457017342785E+02
0.395970720998925E+02,-0.779500662758324E+02
0.396037070000000E+02,-0.779491950000000E+02
0.396067260000000E+02,-0.779504080000000E+02
0.396083490000000E+02,-0.779522710000000E+02
0.396096520000000E+02,-0.779568830000000E+02
0.396101530000000E+02,-0.779627090000000E+02
0.396096040000000E+02,-0.779650740000000E+02
0.396072930000000E+02,-0.779701280000000E+02
0.396035810000000E+02,-0.779731130000000E+02
0.396035810000000E+02,-0.779731130000000E+02
0.396051330000000E+02,-0.779782090000000E+02
0.396048280000000E+02,-0.779812920000000E+02
0.396056540000000E+02,-0.779937130000000E+02
0.396098890000000E+02,-0.779928350000000E+02
0.396183030000000E+02,-0.779941140000000E+02
0.396225600000000E+02,-0.779874050000000E+02
0.396206210000000E+02,-0.779779420000000E+02
0.396225200000000E+02,-0.779748090000000E+02
0.396272510000000E+02,-0.779767250000000E+02
0.396284362462891E+02,-0.779752470437500E+02
0.396286282462891E+02,-0.779716656437500E+02
0.396296580000000E+02,-0.779680930000000E+02
0.396322140000000E+02,-0.779645750000000E+02
0.396329480000000E+02,-0.779644830000000E+02
0.396300700000000E+02,-0.779683300000000E+02
0.396294060000000E+02,-0.779700440000000E+02
0.396299442228516E+02,-0.779735515511719E+02
0.396325140000000E+02,-0.779765820000000E+02
0.396342060000000E+02,-0.779777070000000E+02
0.396399680000000E+02,-0.779802240000000E+02
0.396452270000000E+02,-0.779814400000000E+02
0.396484280000000E+02,-0.779833060000000E+02
0.396488610000000E+02,-0.779868560000000E+02
0.396463420000000E+02,-0.779944570000000E+02
0.396464090000000E+02,-0.780016150000000E+02
0.396500900000000E+02,-0.779987790000000E+02
0.396513940000000E+02,-0.779983070000000E+02
0.396604730000000E+02,-0.779973680000000E+02
0.396622120000000E+02,-0.779953580000000E+02
0.396596210000000E+02,-0.779856100000000E+02
0.396591740000000E+02,-0.779852630000000E+02
0.396595640000000E+02,-0.779843490000000E+02
0.396739050000000E+02,-0.779774050000000E+02
0.396796450000000E+02,-0.779766990000000E+02
0.396803990000000E+02,-0.779769360000000E+02
0.396806510000000E+02,-0.779775580000000E+02
0.396858440000000E+02,-0.779770040000000E+02
0.396891360000000E+02,-0.779747510000000E+02
0.396904390000000E+02,-0.779745150000000E+02
0.396944180000000E+02,-0.779762050000000E+02
0.396978700000000E+02,-0.779784860000000E+02
0.397041130000000E+02,-0.779778980000000E+02
0.397061490000000E+02,-0.779765670000000E+02
0.397112030000000E+02,-0.779761260000000E+02
0.397167370000000E+02,-0.779765160000000E+02
0.397222688200139E+02,-0.779790877338314E+02
END,END
