LAT,LON
0.441015430000000E+02,-0.695241430000000E+02
0.441014180000000E+02,-0.695227680000000E+02
0.441017610000000E+02,-0.695215930000000E+02
0.441013080000000E+02,-0.695213400000000E+02
0.441010500000000E+02,-0.695176960000000E+02
0.441072830000000E+02,-0.695160580000000E+02
0.441096220000000E+02,-0.695139190000000E+02
0.441154030000000E+02,-0.695108470000000E+02
0.441160160000000E+02,-0.695100670000000E+02
0.441157850000000E+02,-0.695074760000000E+02
0.441193240000000E+02,-0.695056950000000E+02
0.441204840000000E+02,-0.695064120000000E+02
0.441237400000000E+02,-0.695050210000000E+02
0.441293510000000E+02,-0.695038690000000E+02
0.441308430000000E+02,-0.695030310000000E+02
0.441320540000000E+02,-0.695026810000000E+02
0.441317360000000E+02,-0.695017930000000E+02
0.441321470000000E+02,-0.694998110000000E+02
0.441301210000000E+02,-0.694941240000000E+02
0.441293610000000E+02,-0.694900980000000E+02
0.441302360000000E+02,-0.694868800000000E+02
0.441322440000000E+02,-0.694848930000000E+02
0.441366520000000E+02,-0.694839270000000E+02
0.441426140000000E+02,-0.694840700000000E+02
0.441445060000000E+02,-0.694845300000000E+02
0.441493020000000E+02,-0.694826580000000E+02
0.441500440000000E+02,-0.694819330000000E+02
0.441554030000000E+02,-0.694814260000000E+02
0.441580200000000E+02,-0.694823240000000E+02
0.441615140000000E+02,-0.694846780000000E+02
0.441650170000000E+02,-0.694851530000000E+02
0.441644390000000E+02,-0.694811530000000E+02
0.441644390000000E+02,-0.694811530000000E+02
0.441627720000000E+02,-0.694819700000000E+02
0.441566210000000E+02,-0.694805360000000E+02
0.441432210000000E+02,-0.694801770000000E+02
0.441418940000000E+02,-0.694806220000000E+02
0.441375270000000E+02,-0.694799200000000E+02
0.441350340000000E+02,-0.694787750000000E+02
0.441339380000000E+02,-0.694771550000000E+02
0.441342140000000E+02,-0.694746470000000E+02
0.441360430000000E+02,-0.694725200000000E+02
0.441380330000000E+02,-0.694718230000000E+02
0.441400450000000E+02,-0.694718240000000E+02
0.441407540000000E+02,-0.694711260000000E+02
0.441410290000000E+02,-0.694699830000000E+02
0.441402980000000E+02,-0.694675690000000E+02
0.441305110000000E+02,-0.694668020000000E+02
0.441291620000000E+02,-0.694680400000000E+02
0.441261430000000E+02,-0.694683240000000E+02
0.441223240000000E+02,-0.694623230000000E+02
0.441166980000000E+02,-0.694629240000000E+02
0.441153270000000E+02,-0.694590820000000E+02
0.441156470000000E+02,-0.694583840000000E+02
0.441149840000000E+02,-0.694574000000000E+02
0.441143210000000E+02,-0.694575580000000E+02
0.441116680000000E+02,-0.694588910000000E+02
0.441085570000000E+02,-0.694613330000000E+02
0.441082590000000E+02,-0.694637130000000E+02
0.441065200000000E+02,-0.694692030000000E+02
0.441051240000000E+02,-0.694713920000000E+02
0.441066790000000E+02,-0.694728840000000E+02
0.441118700000000E+02,-0.694718720000000E+02
0.441187080000000E+02,-0.694718130000000E+02
0.441242410000000E+02,-0.694752450000000E+02
0.441254010000000E+02,-0.694767040000000E+02
0.441219280000000E+02,-0.694839410000000E+02
0.441209900000000E+02,-0.694843530000000E+02
0.441183830000000E+02,-0.694837790000000E+02
0.441181330000000E+02,-0.694811450000000E+02
0.441175380000000E+02,-0.694808270000000E+02
0.441148610000000E+02,-0.694854910000000E+02
0.441153180000000E+02,-0.694869830000000E+02
0.441201558277344E+02,-0.694865229734375E+02
0.441250770000000E+02,-0.694885470000000E+02
0.441288540000000E+02,-0.694934380000000E+02
0.441306350000000E+02,-0.695002060000000E+02
0.441288980000000E+02,-0.695011280000000E+02
0.441244500000000E+02,-0.695009570000000E+02
0.441241160000000E+02,-0.694979430000000E+02
0.441218980000000E+02,-0.694989240000000E+02
0.441150410000000E+02,-0.695057780000000E+02
0.441141730000000E+02,-0.695074920000000E+02
0.441140820000000E+02,-0.695090790000000E+02
0.441077490000000E+02,-0.695134960000000E+02
0.441037240000000E+02,-0.695133730000000E+02
0.441009110000000E+02,-0.695116930000000E+02
0.440983500000000E+02,-0.695116320000000E+02
0.440955860000000E+02,-0.695196940000000E+02
0.440940540000000E+02,-0.695215030000000E+02
0.440922710000000E+02,-0.695217580000000E+02
0.440908520000000E+02,-0.695201410000000E+02
0.440891370000000E+02,-0.695199520000000E+02
0.440820030000000E+02,-0.695213530000000E+02
0.440715090000000E+02,-0.695276090000000E+02
0.440637110000000E+02,-0.695283110000000E+02
0.440626820000000E+02,-0.695289780000000E+02
0.440626820000000E+02,-0.695289780000000E+02
0.440614710000000E+02,-0.695331960000000E+02
0.440605340000000E+02,-0.695346870000000E+02
0.440607860000000E+02,-0.695380170000000E+02
0.440616100000000E+02,-0.695385240000000E+02
0.440686290000000E+02,-0.695326540000000E+02
0.440832150000000E+02,-0.695225890000000E+02
0.440855020000000E+02,-0.695227780000000E+02
0.440861650000000E+02,-0.695238560000000E+02
0.440861660000000E+02,-0.695256960000000E+02
0.440901000000000E+02,-0.695285180000000E+02
0.440947650000000E+02,-0.695268970000000E+02
0.440997260000000E+02,-0.695241330000000E+02
0.441015430000000E+02,-0.695241430000000E+02
END,END
0.440991550000000E+02,-0.695946430000000E+02
0.440975990000000E+02,-0.695954350000000E+02
0.440939390000000E+02,-0.695990180000000E+02
0.440909650000000E+02,-0.696035850000000E+02
0.440875800000000E+02,-0.696055500000000E+02
