LAT,LON
0.447447990000000E+02,-0.701735500000000E+02
0.447346530000000E+02,-0.701710410000000E+02
0.447390930000000E+02,-0.701303490000000E+02
0.447500580000000E+02,-0.701339580000000E+02
0.447578980000000E+02,-0.701357510000000E+02
0.447583300000000E+02,-0.701323270000000E+02
0.447573460000000E+02,-0.701304990000000E+02
0.447554700000000E+02,-0.701288650000000E+02
0.447529640000000E+02,-0.701245070000000E+02
0.447526110000000E+02,-0.701199530000000E+02
0.447484960000000E+02,-0.701131170000000E+02
0.447603750000000E+02,-0.701157030000000E+02
0.447649660000000E+02,-0.700766830000000E+02
0.447873200000000E+02,-0.700820510000000E+02
0.447882470000000E+02,-0.700789260000000E+02
0.447887040000000E+02,-0.700748490000000E+02
0.447856640000000E+02,-0.700618770000000E+02
0.447857790000000E+02,-0.700578000000000E+02
0.447898710000000E+02,-0.700527910000000E+02
0.447903960000000E+02,-0.700465940000000E+02
0.447898240000000E+02,-0.700448930000000E+02
0.447858910000000E+02,-0.700398530000000E+02
0.447842670000000E+02,-0.700383130000000E+02
0.447812950000000E+02,-0.700366450000000E+02
0.447773140000000E+02,-0.700310820000000E+02
0.447780660000000E+02,-0.700190230000000E+02
0.447877610000000E+02,-0.700212640000000E+02
0.447926770000000E+02,-0.700236680000000E+02
0.447937750000000E+02,-0.700250160000000E+02
0.447953540000000E+02,-0.700295750000000E+02
0.447961320000000E+02,-0.700306020000000E+02
0.448074510000000E+02,-0.700375330000000E+02
0.448128580000000E+02,-0.700444160000000E+02
0.448132820000000E+02,-0.700413850000000E+02
0.448130310000000E+02,-0.700394580000000E+02
0.448109480000000E+02,-0.700324570000000E+02
0.448091210000000E+02,-0.700299640000000E+02
0.448091210000000E+02,-0.700299640000000E+02
0.448088130000000E+02,-0.700299270000000E+02
0.448094150000000E+02,-0.700201050000000E+02
0.447867540000000E+02,-0.700163680000000E+02
0.447882430000000E+02,-0.700038070000000E+02
0.447738350000000E+02,-0.700004850000000E+02
0.447731370000000E+02,-0.700047890000000E+02
0.447584190000000E+02,-0.700019980000000E+02
0.447562820000000E+02,-0.700139950000000E+02
0.447385470000000E+02,-0.700091450000000E+02
0.447053520000000E+02,-0.700019300000000E+02
0.447053520000000E+02,-0.700019300000000E+02
0.447014340000000E+02,-0.700396140000000E+02
0.447022770000000E+02,-0.700409430000000E+02
0.447031010000000E+02,-0.700413590000000E+02
0.447113080000000E+02,-0.700431200000000E+02
0.447162060000000E+02,-0.700485050000000E+02
0.447129550000000E+02,-0.700499810000000E+02
0.447044500000000E+02,-0.700556570000000E+02
0.447081540000000E+02,-0.700646020000000E+02
0.447016830000000E+02,-0.700672300000000E+02
0.446991460000000E+02,-0.700656270000000E+02
0.446957930000000E+02,-0.700685100000000E+02
0.446973160000000E+02,-0.700702110000000E+02
0.446997170000000E+02,-0.700715900000000E+02
0.447015460000000E+02,-0.700714300000000E+02
0.447025750000000E+02,-0.700719110000000E+02
0.447048380000000E+02,-0.700738350000000E+02
0.447066210000000E+02,-0.700774900000000E+02
0.447103930000000E+02,-0.700793510000000E+02
0.447127480000000E+02,-0.700791280000000E+02
0.447046670000000E+02,-0.700871110000000E+02
0.446212730000000E+02,-0.700660660000000E+02
0.446214090000000E+02,-0.700732410000000E+02
0.446208600000000E+02,-0.700751300000000E+02
0.446203370000000E+02,-0.700748730000000E+02
