LAT,LON
0.426143780000000E+02,-0.837348890000000E+02
0.426102060000000E+02,-0.837383800000000E+02
0.426102060000000E+02,-0.837383800000000E+02
0.426139600000000E+02,-0.837379490000000E+02
0.426218450000000E+02,-0.837412800000000E+02
0.426243450000000E+02,-0.837395490000000E+02
0.426265370000000E+02,-0.837369950000000E+02
0.426276900000000E+02,-0.837324300000000E+02
0.426238850000000E+02,-0.837324640000000E+02
0.426181790000000E+02,-0.837347880000000E+02
0.426143780000000E+02,-0.837348890000000E+02
END,END
