LAT,LON
0.464665889207612E+02,-0.849056285659960E+02
0.464655993187160E+02,-0.848954176934938E+02
0.464654060000000E+02,-0.848934230000000E+02
0.464655463379999E+02,-0.848915498194091E+02
0.464667810000000E+02,-0.848750700000000E+02
0.464699300000000E+02,-0.848614480000000E+02
0.464602450000000E+02,-0.848497670000000E+02
0.464521766359492E+02,-0.848456854553403E+02
0.464489092753789E+02,-0.848440325951071E+02
0.464486610000000E+02,-0.848439070000000E+02
0.464485527467873E+02,-0.848435670047246E+02
0.464440710000000E+02,-0.848294910000000E+02
0.464462190000000E+02,-0.848001010000000E+02
0.464532164407814E+02,-0.847704500153089E+02
0.464535230000000E+02,-0.847691510000000E+02
0.464538698245154E+02,-0.847680732633438E+02
0.464682660000000E+02,-0.847233380000000E+02
0.464839230000000E+02,-0.846896720000000E+02
0.464876940000000E+02,-0.846784230000000E+02
0.464851362299522E+02,-0.846668918923065E+02
0.464822500000000E+02,-0.846538800000000E+02
0.464848680000000E+02,-0.846310200000000E+02
0.464718700000000E+02,-0.846164890000000E+02
0.464650134701968E+02,-0.846126152850864E+02
0.464567470000000E+02,-0.846079450000000E+02
0.464394100000000E+02,-0.845841670000000E+02
0.464312812391636E+02,-0.845766523965173E+02
0.464300814632845E+02,-0.845755432680559E+02
0.464280220545730E+02,-0.845736394551393E+02
0.464278950000000E+02,-0.845735220000000E+02
0.464185728373531E+02,-0.845516154647968E+02
0.464185220000000E+02,-0.845514960000000E+02
0.464188429690490E+02,-0.845507540347274E+02
0.464256649499717E+02,-0.845349840626671E+02
0.464337862977077E+02,-0.845162104207674E+02
0.464340012785294E+02,-0.845157134622461E+02
0.464340012785294E+02,-0.845157134622461E+02
0.464307160000000E+02,-0.845098420000000E+02
0.464188570000000E+02,-0.845096880000000E+02
0.464188280000000E+02,-0.845084600000000E+02
0.464221250000000E+02,-0.844906900000000E+02
0.464224890000000E+02,-0.844794900000000E+02
0.464235680000000E+02,-0.844769500000000E+02
0.464332030000000E+02,-0.844643590000000E+02
0.464334690000000E+02,-0.844414710000000E+02
0.464276900000000E+02,-0.844449140000000E+02
0.464256310000000E+02,-0.844476180000000E+02
0.464189850000000E+02,-0.844475560000000E+02
0.464191380000000E+02,-0.844338480000000E+02
0.464203100000000E+02,-0.844322260000000E+02
0.464223440000000E+02,-0.844321260000000E+02
0.464232350000000E+02,-0.844311350000000E+02
0.464228460000000E+02,-0.844296810000000E+02
0.464191750000000E+02,-0.844265180000000E+02
0.464113950000000E+02,-0.844265470000000E+02
0.464035910000000E+02,-0.844272340000000E+02
0.463742280000000E+02,-0.844275030000000E+02
0.463742280000000E+02,-0.844275030000000E+02
0.463745230000000E+02,-0.844474090000000E+02
0.463609350000000E+02,-0.844475010000000E+02
0.463615020000000E+02,-0.844506750000000E+02
0.463672800000000E+02,-0.844669490000000E+02
0.463746420000000E+02,-0.844701830000000E+02
0.463746790000000E+02,-0.844820720000000E+02
0.463753340000000E+02,-0.844889770000000E+02
0.463607390000000E+02,-0.844886950000000E+02
0.463610420000000E+02,-0.845304330000000E+02
0.463585520000000E+02,-0.845337350000000E+02
0.463607470000000E+02,-0.845389820000000E+02
0.463607250000000E+02,-0.845432060000000E+02
0.463622800000000E+02,-0.845473310000000E+02
0.463636510000000E+02,-0.845475610000000E+02
0.463649980000000E+02,-0.845427420000000E+02
0.463657520000000E+02,-0.845415870000000E+02
0.463684710000000E+02,-0.845416180000000E+02
0.463744350000000E+02,-0.845448840000000E+02
0.463733790000000E+02,-0.845514920000000E+02
0.463543510000000E+02,-0.845514230000000E+02
0.463498500000000E+02,-0.845532090000000E+02
0.463436120000000E+02,-0.845526820000000E+02
0.463401610000000E+02,-0.845544980000000E+02
0.463368940000000E+02,-0.845603370000000E+02
0.463329640000000E+02,-0.845621850000000E+02
0.463318880000000E+02,-0.845655310000000E+02
0.463318880000000E+02,-0.845655310000000E+02
0.463318730000000E+02,-0.845823760000000E+02
0.463341730000000E+02,-0.845895660000000E+02
0.463339430000000E+02,-0.845929970000000E+02
0.463318630000000E+02,-0.845954690000000E+02
0.463319820000000E+02,-0.846723990000000E+02
0.463292380000000E+02,-0.846710940000000E+02
0.463276840000000E+02,-0.846721830000000E+02
0.463269980000000E+02,-0.846727440000000E+02
0.463260620000000E+02,-0.846767030000000E+02
0.463286910000000E+02,-0.846823750000000E+02
0.463313870000000E+02,-0.846866640000000E+02
0.463323930000000E+02,-0.846873570000000E+02
0.463343120000000E+02,-0.846871920000000E+02
0.463349060000000E+02,-0.846877520000000E+02
0.463387220000000E+02,-0.846932620000000E+02
0.463393500000000E+02,-0.846955650000000E+02
0.463359110000000E+02,-0.847013440000000E+02
0.463312260000000E+02,-0.847063910000000E+02
0.463276600000000E+02,-0.847149000000000E+02
0.463296000000000E+02,-0.847223230000000E+02
0.463316780000000E+02,-0.847275700000000E+02
0.463324510000000E+02,-0.847397100000000E+02
0.463311410000000E+02,-0.847505740000000E+02
0.463287900000000E+02,-0.847557560000000E+02
0.463278790000000E+02,-0.847615290000000E+02
0.463294580000000E+02,-0.847665760000000E+02
0.463296420000000E+02,-0.847689060000000E+02
0.463179160000000E+02,-0.847635840000000E+02
0.463055480000000E+02,-0.847526490000000E+02
0.463010680000000E+02,-0.847513010000000E+02
0.462971410000000E+02,-0.847464360000000E+02
0.462958410000000E+02,-0.847413910000000E+02
0.462941970000000E+02,-0.847386200000000E+02
0.462933740000000E+02,-0.847387850000000E+02
0.462910420000000E+02,-0.847414520000000E+02
0.462858540000000E+02,-0.847429640000000E+02
0.462832950000000E+02,-0.847425990000000E+02
0.462850720000000E+02,-0.847520770000000E+02
0.462829520000000E+02,-0.847622650000000E+02
0.462821810000000E+02,-0.847755490000000E+02
0.462833930000000E+02,-0.847812170000000E+02
0.462875090000000E+02,-0.847928840000000E+02
0.462892700000000E+02,-0.847995740000000E+02
0.462880350000000E+02,-0.848019820000000E+02
0.462877620000000E+02,-0.848060360000000E+02
0.462881960000000E+02,-0.848107170000000E+02
0.462896130000000E+02,-0.848174090000000E+02
0.462930630000000E+02,-0.848244970000000E+02
0.463030960000000E+02,-0.848400900000000E+02
0.463141090000000E+02,-0.848360770000000E+02
0.463208740000000E+02,-0.848314950000000E+02
0.463189740000000E+02,-0.848448520000000E+02
0.463192230000000E+02,-0.848528680000000E+02
0.463171640000000E+02,-0.848586380000000E+02
0.463168880000000E+02,-0.848638160000000E+02
0.463194920000000E+02,-0.848647420000000E+02
0.463198800000000E+02,-0.848659960000000E+02
0.463169280000000E+02,-0.848745670000000E+02
0.463168400000000E+02,-0.848873060000000E+02
0.463168400000000E+02,-0.848873060000000E+02
0.463219990000000E+02,-0.848764810000000E+02
0.463365850000000E+02,-0.848676940000000E+02
0.463390080000000E+02,-0.848672010000000E+02
0.463432580000000E+02,-0.848675020000000E+02
0.463440130000000E+02,-0.848671070000000E+02
0.463458410000000E+02,-0.848654590000000E+02
