LAT,LON
0.459151850000000E+02,-0.934207980000000E+02
0.459142010000000E+02,-0.934198480000000E+02
0.459193660000000E+02,-0.934087750000000E+02
0.459214460000000E+02,-0.934076600000000E+02
0.459220170000000E+02,-0.934067760000000E+02
0.459243470000000E+02,-0.934009100000000E+02
0.459267680000000E+02,-0.933927520000000E+02
0.459269480000000E+02,-0.933871820000000E+02
0.459260560000000E+02,-0.933867900000000E+02
0.459255070000000E+02,-0.933858410000000E+02
0.459248410000000E+02,-0.933785680000000E+02
0.459259020000000E+02,-0.933752280000000E+02
0.459255720000000E+02,-0.933717250000000E+02
0.459237440000000E+02,-0.933702810000000E+02
0.459229660000000E+02,-0.933713290000000E+02
0.459227140000000E+02,-0.933728680000000E+02
0.459236980000000E+02,-0.933780780000000E+02
0.459237450000000E+02,-0.933817140000000E+02
0.459213520000000E+02,-0.934007480000000E+02
0.459200040000000E+02,-0.934035340000000E+02
0.459178100000000E+02,-0.934055330000000E+02
0.459093230000000E+02,-0.934105760000000E+02
0.459093230000000E+02,-0.934105760000000E+02
0.459083930000000E+02,-0.934122520000000E+02
0.459103140000000E+02,-0.934141510000000E+02
0.459108170000000E+02,-0.934173600000000E+02
0.459089660000000E+02,-0.934212250000000E+02
0.459067490000000E+02,-0.934240750000000E+02
0.459023600000000E+02,-0.934264340000000E+02
0.459008510000000E+02,-0.934277440000000E+02
0.459005200000000E+02,-0.934332060000000E+02
0.459027490000000E+02,-0.934336960000000E+02
0.459119160000000E+02,-0.934284950000000E+02
0.459131280000000E+02,-0.934260720000000E+02
0.459140650000000E+02,-0.934225020000000E+02
0.459151850000000E+02,-0.934207980000000E+02
END,END
0.459001050000000E+02,-0.931782750000000E+02
0.459010090000000E+02,-0.931756340000000E+02
0.459010090000000E+02,-0.931756340000000E+02
0.459006430000000E+02,-0.931734740000000E+02
0.459031800000000E+02,-0.931708530000000E+02
0.459042080000000E+02,-0.931684620000000E+02
0.459038650000000E+02,-0.931663660000000E+02
0.459020360000000E+02,-0.931643690000000E+02
0.459018760000000E+02,-0.931679380000000E+02
0.459008710000000E+02,-0.931691190000000E+02
0.458955230000000E+02,-0.931728530000000E+02
0.458943570000000E+02,-0.931748830000000E+02
0.458913860000000E+02,-0.931836260000000E+02
0.458913170000000E+02,-0.931850990000000E+02
0.458918430000000E+02,-0.931855900000000E+02
0.458944260000000E+02,-0.931857210000000E+02
0.459001050000000E+02,-0.931782750000000E+02
END,END
0.457300240000000E+02,-0.928410510000000E+02
0.457291630000000E+02,-0.928430790000000E+02
0.457287510000000E+02,-0.928488510000000E+02
0.457275760000000E+02,-0.928503880000000E+02
0.457243760000000E+02,-0.928505370000000E+02
0.457238310000000E+02,-0.928509330000000E+02
0.457231520000000E+02,-0.928534050000000E+02
0.457222410000000E+02,-0.928625980000000E+02
0.457206230000000E+02,-0.928656880000000E+02
0.457175680000000E+02,-0.928691930000000E+02
0.457151420000000E+02,-0.928696890000000E+02
0.457119930000000E+02,-0.928688620000000E+02
0.457072217193430E+02,-0.928699994695600E+02
0.456997740000000E+02,-0.928717750000000E+02
0.456972720000000E+02,-0.928700250000000E+02
0.456967570000000E+02,-0.928701450000000E+02
0.456890140000000E+02,-0.928754880000000E+02
0.456824570332413E+02,-0.928761582677131E+02
0.456752890000000E+02,-0.928768910000000E+02
0.456656060000000E+02,-0.928789320000000E+02
0.456594710000000E+02,-0.928825040000000E+02
0.456548700000000E+02,-0.928839870000000E+02
0.456460170000000E+02,-0.928857110000000E+02
0.456441480000000E+02,-0.928870670000000E+02
0.456390060000000E+02,-0.928879290000000E+02
0.456367770000000E+02,-0.928869630000000E+02
0.456359449082840E+02,-0.928869294598478E+02
0.456345385939374E+02,-0.928868727737924E+02
0.456334030000000E+02,-0.928868270000000E+02
0.456331521354409E+02,-0.928868912384973E+02
0.456283770000000E+02,-0.928881140000000E+02
0.456249590000000E+02,-0.928880350000000E+02
0.456197600000000E+02,-0.928866690000000E+02
0.456137380000000E+02,-0.928829700000000E+02
0.456102160000000E+02,-0.928825290000000E+02
0.456050010000000E+02,-0.928849000000000E+02
0.455986790000000E+02,-0.928864420000000E+02
0.455948810000000E+02,-0.928864210000000E+02
0.455898310000000E+02,-0.928832770000000E+02
0.455788180000000E+02,-0.928849540000000E+02
0.455754830000000E+02,-0.928837490000000E+02
0.455734090000000E+02,-0.928811360000000E+02
0.455687416804158E+02,-0.928730843131264E+02
0.455675810000000E+02,-0.928710820000000E+02
0.455665150000000E+02,-0.928464470000000E+02
0.455661350000000E+02,-0.928437830000000E+02
0.455630960000000E+02,-0.928341560000000E+02
0.455609340000000E+02,-0.928233090000000E+02
0.455611220000000E+02,-0.928120830000000E+02
0.455628540000000E+02,-0.928015030000000E+02
0.455669150000000E+02,-0.927901430000000E+02
0.455678880000000E+02,-0.927857410000000E+02
0.455684780000000E+02,-0.927759880000000E+02
0.455682350000000E+02,-0.927734120000000E+02
0.455669390000000E+02,-0.927702230000000E+02
0.455635920000000E+02,-0.927645740000000E+02
0.455574990000000E+02,-0.927569060000000E+02
0.455530160000000E+02,-0.927455910000000E+02
0.455442980717282E+02,-0.927313035283388E+02
0.455411120000000E+02,-0.927260820000000E+02
