LAT,LON
0.435608620000000E+02,-0.934831550000000E+02
0.435517820000000E+02,-0.934831170000000E+02
0.435500900000000E+02,-0.934827070000000E+02
0.435500300000000E+02,-0.934304780000000E+02
0.435450160000000E+02,-0.934301620000000E+02
0.435450160000000E+02,-0.934301620000000E+02
0.435427590000000E+02,-0.934285610000000E+02
0.435356900000000E+02,-0.934284990000000E+02
0.435356890000000E+02,-0.934185030000000E+02
0.435285990000000E+02,-0.934184730000000E+02
0.435285250000000E+02,-0.933984820000000E+02
0.435214130000000E+02,-0.933984230000000E+02
0.435212050000000E+02,-0.933939290000000E+02
0.435208160000000E+02,-0.933936780000000E+02
0.435140240000000E+02,-0.933937460000000E+02
0.435140250000000E+02,-0.933985850000000E+02
0.434994846502167E+02,-0.933986900025252E+02
0.434994846502167E+02,-0.933986900025252E+02
0.434994849214174E+02,-0.933989574925536E+02
0.434994850000000E+02,-0.933990350000000E+02
0.434994780000000E+02,-0.934285090000000E+02
0.434994730000000E+02,-0.934685630000000E+02
0.434994643250016E+02,-0.934690669817587E+02
0.434994000000000E+02,-0.934728040000000E+02
0.434994612086190E+02,-0.934796750407005E+02
0.434994820000000E+02,-0.934820090000000E+02
0.434994598984444E+02,-0.934841348296228E+02
0.434994170000000E+02,-0.934882610000000E+02
0.434994560000000E+02,-0.934974050000000E+02
0.434994560000000E+02,-0.934974050000000E+02
0.434994710000000E+02,-0.935284820000000E+02
0.434994720000000E+02,-0.935321780000000E+02
0.434994800589026E+02,-0.935365286561536E+02
0.434995210000000E+02,-0.935586310000000E+02
0.434995200000000E+02,-0.935767280000000E+02
0.434995480000000E+02,-0.936171310000000E+02
0.434995587304599E+02,-0.936486379297488E+02
0.434995587304599E+02,-0.936486379297488E+02
0.435215720000000E+02,-0.936484790000000E+02
0.435237310000000E+02,-0.936484740000000E+02
0.435432310000000E+02,-0.936484510000000E+02
0.435432310000000E+02,-0.936484510000000E+02
0.435434290000000E+02,-0.936186470000000E+02
0.435578830000000E+02,-0.936184100000000E+02
0.435578830000000E+02,-0.936184100000000E+02
0.435579860000000E+02,-0.935885650000000E+02
0.435433940000000E+02,-0.935887790000000E+02
0.435431450000000E+02,-0.935499500000000E+02
0.435431910000000E+02,-0.935485660000000E+02
0.435577130000000E+02,-0.935485010000000E+02
0.435573630000000E+02,-0.935182790000000E+02
0.435573630000000E+02,-0.935182790000000E+02
0.435574070000000E+02,-0.935149770000000E+02
0.435597140000000E+02,-0.935084020000000E+02
0.435609250000000E+02,-0.935028350000000E+02
0.435612210000000E+02,-0.934986610000000E+02
0.435608620000000E+02,-0.934831550000000E+02
END,END
