LAT,LON
0.474987370000000E+02,-0.967106380000000E+02
0.474994180000000E+02,-0.966253490000000E+02
0.474992080000000E+02,-0.965371900000000E+02
0.474845200000000E+02,-0.965373650000000E+02
0.474844430000000E+02,-0.966233740000000E+02
0.474699130000000E+02,-0.966235940000000E+02
0.474699130000000E+02,-0.966235940000000E+02
0.474697690000000E+02,-0.966870750000000E+02
0.474552620000000E+02,-0.966876160000000E+02
0.474261100000000E+02,-0.966875500000000E+02
0.474261980000000E+02,-0.966663740000000E+02
0.473974560000000E+02,-0.966659490000000E+02
0.473974270000000E+02,-0.966447170000000E+02
0.473974270000000E+02,-0.966447170000000E+02
0.473829430000000E+02,-0.966448640000000E+02
0.473829970000000E+02,-0.966873500000000E+02
0.473974360000000E+02,-0.966875510000000E+02
0.473973670000000E+02,-0.967085140000000E+02
0.473901240000000E+02,-0.967085110000000E+02
0.473900500000000E+02,-0.967297060000000E+02
0.473972240000000E+02,-0.967297450000000E+02
0.473987990000000E+02,-0.967321690000000E+02
0.473996440000000E+02,-0.967348290000000E+02
0.473996870000000E+02,-0.967404480000000E+02
0.474118640000000E+02,-0.967405950000000E+02
0.474120700000000E+02,-0.967617990000000E+02
0.474120700000000E+02,-0.967617990000000E+02
0.474262580000000E+02,-0.967618180000000E+02
0.474262170000000E+02,-0.967299360000000E+02
0.474553250000000E+02,-0.967298900000000E+02
0.474552610000000E+02,-0.967087360000000E+02
0.474625720000000E+02,-0.967081990000000E+02
0.474780390000000E+02,-0.967089120000000E+02
0.474971610000000E+02,-0.967089850000000E+02
0.474987370000000E+02,-0.967106380000000E+02
END,END
0.474700940000000E+02,-0.964947110000000E+02
0.474556560000000E+02,-0.964948650000000E+02
0.474555970000000E+02,-0.965374150000000E+02
0.474410450000000E+02,-0.965375240000000E+02
0.474409040000000E+02,-0.966453200000000E+02
0.474557550000000E+02,-0.966454080000000E+02
0.474555200000000E+02,-0.966235110000000E+02
0.474699130000000E+02,-0.966235940000000E+02
0.474699130000000E+02,-0.966235940000000E+02
0.474699660000000E+02,-0.966023340000000E+02
0.474555280000000E+02,-0.966020210000000E+02
0.474555320000000E+02,-0.965805640000000E+02
0.474698340000000E+02,-0.965804670000000E+02
0.474700940000000E+02,-0.964947110000000E+02
END,END
0.473685360000000E+02,-0.966231730000000E+02
0.473974210000000E+02,-0.966234130000000E+02
0.473974210000000E+02,-0.966234130000000E+02
0.474263220000000E+02,-0.966235800000000E+02
0.474267220000000E+02,-0.965918000000000E+02
0.474264730000000E+02,-0.965588080000000E+02
0.474120800000000E+02,-0.965589440000000E+02
0.474120790000000E+02,-0.965807870000000E+02
0.473973900000000E+02,-0.965806810000000E+02
0.473974300000000E+02,-0.966019800000000E+02
0.473829000000000E+02,-0.966019020000000E+02
0.473830880000000E+02,-0.965804760000000E+02
0.473687090000000E+02,-0.965803650000000E+02
0.473685360000000E+02,-0.966231730000000E+02
END,END
0.473612940000000E+02,-0.966231990000000E+02
0.473612390000000E+02,-0.966660610000000E+02
0.473684590000000E+02,-0.966662250000000E+02
0.473685360000000E+02,-0.966231730000000E+02
0.473685360000000E+02,-0.966231730000000E+02
0.473612940000000E+02,-0.966231990000000E+02
END,END
0.473539370000000E+02,-0.966231580000000E+02
0.473612940000000E+02,-0.966231990000000E+02
0.473612940000000E+02,-0.966231990000000E+02
0.473611700000000E+02,-0.965805650000000E+02
0.473540190000000E+02,-0.965805630000000E+02
0.473539370000000E+02,-0.966231580000000E+02
END,END
0.472968360000000E+02,-0.955514260000000E+02
0.472955690000000E+02,-0.955510500000000E+02
0.472837350000000E+02,-0.955511860000000E+02
0.472777040000000E+02,-0.955504830000000E+02
0.472714220000000E+02,-0.955513230000000E+02
0.472665560000000E+02,-0.955514250000000E+02
0.472605240000000E+02,-0.955483390000000E+02
0.472576910000000E+02,-0.955495810000000E+02
0.472576910000000E+02,-0.955495810000000E+02
0.472574800000000E+02,-0.955515330000000E+02
0.472574800000000E+02,-0.955515330000000E+02
0.472968360000000E+02,-0.955514260000000E+02
END,END
0.470562290000000E+02,-0.956085070000000E+02
0.470511320000000E+02,-0.956144190000000E+02
0.470510620000000E+02,-0.956168250000000E+02
0.470460370000000E+02,-0.956158840000000E+02
0.470427930000000E+02,-0.956143100000000E+02
0.470385680000000E+02,-0.956114650000000E+02
0.470383400000000E+02,-0.956099950000000E+02
0.470390960000000E+02,-0.956050160000000E+02
0.470379310000000E+02,-0.956050160000000E+02
0.470345030000000E+02,-0.956069170000000E+02
0.470304380000000E+02,-0.956046080000000E+02
0.470269440000000E+02,-0.955998280000000E+02
0.470281100000000E+02,-0.955971560000000E+02
0.470308750000000E+02,-0.955952200000000E+02
0.470308750000000E+02,-0.955952200000000E+02
0.470294590000000E+02,-0.955921120000000E+02
0.470294590000000E+02,-0.955921120000000E+02
0.470261470000000E+02,-0.955919100000000E+02
0.470244570000000E+02,-0.955900040000000E+02
0.470239010000000E+02,-0.955879570000000E+02
0.470239010000000E+02,-0.955879570000000E+02
0.470217840000000E+02,-0.955880320000000E+02
0.470212130000000E+02,-0.955886000000000E+02
0.470202520000000E+02,-0.955927750000000E+02
0.470204120000000E+02,-0.955947120000000E+02
0.470112270000000E+02,-0.955952760000000E+02
0.470072740000000E+02,-0.955982790000000E+02
0.470065190000000E+02,-0.956030540000000E+02
0.470025420000000E+02,-0.956076600000000E+02
0.469991480000000E+02,-0.956145090000000E+02
0.469961760000000E+02,-0.956177450000000E+02
