LAT,LON
0.370691630055775E+02,-0.892567268120457E+02
0.370720140000000E+02,-0.892549300000000E+02
0.370577830000000E+02,-0.892456480000000E+02
0.370428530000000E+02,-0.892382530000000E+02
0.370372770000000E+02,-0.892340530000000E+02
0.370310770000000E+02,-0.892254820000000E+02
0.370200470000000E+02,-0.892050380000000E+02
0.370161640000000E+02,-0.892007930000000E+02
0.370117230000000E+02,-0.891984880000000E+02
0.370000510000000E+02,-0.891950290000000E+02
0.369897680000000E+02,-0.891950390000000E+02
0.369799950000000E+02,-0.891920970000000E+02
0.369735180000000E+02,-0.891854910000000E+02
0.369708850000000E+02,-0.891772350000000E+02
0.369702980000000E+02,-0.891700080000000E+02
0.369727680000000E+02,-0.891617670000000E+02
0.369776360000000E+02,-0.891498820000000E+02
0.369791330000000E+02,-0.891441100000000E+02
0.369794160000000E+02,-0.891408140000000E+02
0.369822000000000E+02,-0.891326850000000E+02
0.369822000000000E+02,-0.891326850000000E+02
0.369832650000000E+02,-0.891288680000000E+02
0.369834990000000E+02,-0.891250690000000E+02
0.369818790000000E+02,-0.891183000000000E+02
0.369803350000000E+02,-0.891150300000000E+02
0.369765630000000E+02,-0.891094980000000E+02
0.369697000000000E+02,-0.891028790000000E+02
0.369645430000000E+02,-0.890995940000000E+02
0.369613890000000E+02,-0.890990070000000E+02
0.369578500000000E+02,-0.890988430000000E+02
0.369439730000000E+02,-0.891007660000000E+02
0.369439730000000E+02,-0.891007660000000E+02
0.369391540000000E+02,-0.891021370000000E+02
0.369200660000000E+02,-0.891093770000000E+02
0.368873560000000E+02,-0.891175670000000E+02
0.368827920000000E+02,-0.891198130000000E+02
0.368720730000000E+02,-0.891267020000000E+02
0.368574370000000E+02,-0.891319440000000E+02
0.368473490000000E+02,-0.891379690000000E+02
0.368472151513517E+02,-0.891444316922000E+02
0.368472151513517E+02,-0.891444316922000E+02
0.368608540000000E+02,-0.891377850000000E+02
0.368624800000000E+02,-0.891380690000000E+02
0.368738070000000E+02,-0.891342450000000E+02
0.368907480000000E+02,-0.891245820000000E+02
0.368944560000000E+02,-0.891239440000000E+02
0.369011160000000E+02,-0.891245860000000E+02
0.369126980000000E+02,-0.891218220000000E+02
0.369285390000000E+02,-0.891151920000000E+02
0.369397340000000E+02,-0.891075880000000E+02
0.369447940000000E+02,-0.891047680000000E+02
0.369495550000000E+02,-0.891035450000000E+02
0.369558950000000E+02,-0.891032060000000E+02
0.369619360000000E+02,-0.891043220000000E+02
0.369662610000000E+02,-0.891060070000000E+02
0.369728490000000E+02,-0.891131150000000E+02
0.369761420000000E+02,-0.891182230000000E+02
0.369776500000000E+02,-0.891232450000000E+02
0.369773980000000E+02,-0.891245770000000E+02
0.369763250000000E+02,-0.891260720000000E+02
0.369754380000000E+02,-0.891382530000000E+02
0.369765830000000E+02,-0.891399930000000E+02
0.369759670000000E+02,-0.891470100000000E+02
0.369731090000000E+02,-0.891575370000000E+02
0.369709360000000E+02,-0.891611310000000E+02
0.369686940000000E+02,-0.891706870000000E+02
0.369690150000000E+02,-0.891748800000000E+02
0.369713500000000E+02,-0.891848910000000E+02
0.369743920000000E+02,-0.891907960000000E+02
0.369789230000000E+02,-0.891954180000000E+02
0.369815550000000E+02,-0.891967880000000E+02
0.369861320000000E+02,-0.891978160000000E+02
0.369976440000000E+02,-0.891977610000000E+02
0.370079140000000E+02,-0.891998690000000E+02
0.370102940000000E+02,-0.892008680000000E+02
0.370186700000000E+02,-0.892073490000000E+02
0.370197680000000E+02,-0.892086910000000E+02
0.370231540000000E+02,-0.892152570000000E+02
0.370296020000000E+02,-0.892307590000000E+02
0.370346800000000E+02,-0.892363860000000E+02
0.370460050000000E+02,-0.892445600000000E+02
0.370548600000000E+02,-0.892478790000000E+02
0.370691630055775E+02,-0.892567268120457E+02
END,END
0.370713490000000E+02,-0.893832780000000E+02
0.370719995542292E+02,-0.893784125597855E+02
0.370719995542292E+02,-0.893784125597855E+02
0.370710880269830E+02,-0.893787019783405E+02
0.370704990000000E+02,-0.893788890000000E+02
0.370696501053664E+02,-0.893793082211990E+02
0.370577480000000E+02,-0.893851860000000E+02
0.370551300000000E+02,-0.893854340000000E+02
0.370482510000000E+02,-0.893846810000000E+02
0.370464410000000E+02,-0.893839370000000E+02
0.370446468873677E+02,-0.893827379617412E+02
0.370441224447337E+02,-0.893823874671450E+02
0.370430100000000E+02,-0.893816440000000E+02
0.370421906938585E+02,-0.893808338373631E+02
0.370399156681509E+02,-0.893785842010761E+02
0.370396050000000E+02,-0.893782770000000E+02
0.370392418025723E+02,-0.893776666099956E+02
0.370301560000000E+02,-0.893623970000000E+02
0.370255210000000E+02,-0.893459960000000E+02
0.370199360000000E+02,-0.893311640000000E+02
0.370160900000000E+02,-0.893229820000000E+02
0.370127670000000E+02,-0.893171680000000E+02
0.370089700355432E+02,-0.893125480954384E+02
0.370089700355432E+02,-0.893125480954384E+02
0.370089910000000E+02,-0.893159370000000E+02
0.370137750000000E+02,-0.893221620000000E+02
0.370140950000000E+02,-0.893234750000000E+02
0.370129740000000E+02,-0.893248160000000E+02
0.370118520000000E+02,-0.893252440000000E+02
0.370090280000000E+02,-0.893217210000000E+02
0.370090400000000E+02,-0.893237070000000E+02
0.370123100000000E+02,-0.893263570000000E+02
0.370140490000000E+02,-0.893246170000000E+02
0.370175040000000E+02,-0.893301540000000E+02
0.370179380000000E+02,-0.893346060000000E+02
0.370219630000000E+02,-0.893466510000000E+02
0.370255080000000E+02,-0.893539590000000E+02
0.370274510000000E+02,-0.893602400000000E+02
0.370295310000000E+02,-0.893649790000000E+02
0.370376090000000E+02,-0.893778900000000E+02
0.370423490000000E+02,-0.893843950000000E+02
0.370449140000000E+02,-0.893870200000000E+02
0.370466070000000E+02,-0.893878750000000E+02
0.370536330000000E+02,-0.893894140000000E+02
0.370566770000000E+02,-0.893892980000000E+02
0.370653940000000E+02,-0.893852660000000E+02
0.370713490000000E+02,-0.893832780000000E+02
END,END
0.366504160000000E+02,-0.891747410000000E+02
0.366446940000000E+02,-0.891833210000000E+02
0.366411150000000E+02,-0.891877490000000E+02
0.366359970000000E+02,-0.891925420000000E+02
0.366289360000000E+02,-0.891976540000000E+02
0.366256490000000E+02,-0.891991360000000E+02
0.366181770000000E+02,-0.892009020000000E+02
0.366015760000000E+02,-0.892026070000000E+02
0.365801190000000E+02,-0.892135630000000E+02
0.365761590000000E+02,-0.892174470000000E+02
0.365693750000000E+02,-0.892273190000000E+02
0.365668240000000E+02,-0.892365420000000E+02
0.365649480000000E+02,-0.892583180000000E+02
0.365651490000000E+02,-0.892599940000000E+02
0.365689080000000E+02,-0.892680570000000E+02
0.365713870000000E+02,-0.892717100000000E+02
0.365776990000000E+02,-0.892789350000000E+02
0.365937290000000E+02,-0.892946370000000E+02
0.366041380000000E+02,-0.893015020000000E+02
0.366201200000000E+02,-0.893134050000000E+02
0.366250590000000E+02,-0.893181540000000E+02
0.366321860000000E+02,-0.893267310000000E+02
0.366322500000000E+02,-0.893340460000000E+02
0.366309910000000E+02,-0.893437530000000E+02
0.366284390000000E+02,-0.893565100000000E+02
0.366250590000000E+02,-0.893655480000000E+02
0.366208400000000E+02,-0.893710020000000E+02
0.366157190000000E+02,-0.893754530000000E+02
0.366138680000000E+02,-0.893763670000000E+02
0.366080960000000E+02,-0.893780120000000E+02
0.365911300000000E+02,-0.893806430000000E+02
0.365836030000000E+02,-0.893827620000000E+02
0.365596490000000E+02,-0.893959090000000E+02
0.365564290000000E+02,-0.893966270000000E+02
0.365519750000000E+02,-0.893968110000000E+02
0.365423290000000E+02,-0.893986850000000E+02
0.365281650000000E+02,-0.894056540000000E+02
0.364990330000000E+02,-0.894172930000000E+02
0.364990330000000E+02,-0.894172930000000E+02
0.364938960000000E+02,-0.894197700000000E+02
0.364893810000000E+02,-0.894229420000000E+02
0.364818750000000E+02,-0.894293110000000E+02
0.364744320000000E+02,-0.894367630000000E+02
0.364644200000000E+02,-0.894484680000000E+02
0.364612850000000E+02,-0.894530810000000E+02
0.364581400000000E+02,-0.894604360000000E+02
