LAT,LON
0.371405760000000E+02,-0.936545380000000E+02
0.371420110000000E+02,-0.936274730000000E+02
0.371436400000000E+02,-0.936278990000000E+02
0.371444650000000E+02,-0.936297290000000E+02
0.371460460000000E+02,-0.936315010000000E+02
0.371478090000000E+02,-0.936311280000000E+02
0.371529350000000E+02,-0.936256230000000E+02
0.371529350000000E+02,-0.936256230000000E+02
0.371492500000000E+02,-0.936192720000000E+02
0.371470980000000E+02,-0.936197280000000E+02
0.371448320000000E+02,-0.936186400000000E+02
0.371424810000000E+02,-0.936158630000000E+02
0.371428770000000E+02,-0.936079580000000E+02
0.371420400000000E+02,-0.936079760000000E+02
0.371402850000000E+02,-0.936080150000000E+02
0.371347990000000E+02,-0.936081350000000E+02
0.371347990000000E+02,-0.936081350000000E+02
0.371126950000000E+02,-0.936086010000000E+02
0.371007940000000E+02,-0.936088450000000E+02
0.370836030000000E+02,-0.936090500000000E+02
0.370837590000000E+02,-0.936181380000000E+02
0.370613440000000E+02,-0.936185500000000E+02
0.370610940000000E+02,-0.936265300000000E+02
0.370604050000000E+02,-0.936275350000000E+02
0.370465530000000E+02,-0.936277460000000E+02
0.370392490000000E+02,-0.936278090000000E+02
0.370396430000000E+02,-0.936097080000000E+02
0.369958110000000E+02,-0.936101260000000E+02
0.369955890000000E+02,-0.935922410000000E+02
0.369955660000000E+02,-0.935916980000000E+02
0.369806370000000E+02,-0.935918920000000E+02
0.369801830000000E+02,-0.935558460000000E+02
0.369656440000000E+02,-0.935562750000000E+02
0.369653900000000E+02,-0.935381570000000E+02
0.369798150000000E+02,-0.935378390000000E+02
0.369796050000000E+02,-0.935239970000000E+02
0.369790080000000E+02,-0.935198020000000E+02
0.369758480000000E+02,-0.935186340000000E+02
0.369759190000000E+02,-0.935239990000000E+02
0.369650660000000E+02,-0.935243750000000E+02
0.369642560000000E+02,-0.935142120000000E+02
0.369656560000000E+02,-0.935110790000000E+02
0.369675790000000E+02,-0.935105640000000E+02
0.369685180000000E+02,-0.935098210000000E+02
0.369534700000000E+02,-0.934986010000000E+02
0.369501720000000E+02,-0.934997730000000E+02
0.369500820000000E+02,-0.935026150000000E+02
0.369471060000000E+02,-0.935026750000000E+02
0.369465100000000E+02,-0.935021330000000E+02
0.369464180000000E+02,-0.934989660000000E+02
0.369460740000000E+02,-0.934988520000000E+02
0.369368490000000E+02,-0.934967910000000E+02
0.369351310000000E+02,-0.934969320000000E+02
0.369325200000000E+02,-0.934984990000000E+02
0.369325200000000E+02,-0.934984990000000E+02
0.369325670000000E+02,-0.935028290000000E+02
0.369325670000000E+02,-0.935028290000000E+02
0.369311970000000E+02,-0.935111000000000E+02
0.369343150000000E+02,-0.935215950000000E+02
0.369361270000000E+02,-0.935298940000000E+02
0.369363580000000E+02,-0.935389640000000E+02
0.369544920000000E+02,-0.935384450000000E+02
0.369547460000000E+02,-0.935522250000000E+02
0.369511510000000E+02,-0.935533670000000E+02
0.369509910000000E+02,-0.935549930000000E+02
0.369513110000000E+02,-0.935746200000000E+02
0.369587070000000E+02,-0.935743360000000E+02
0.369588880000000E+02,-0.935879450000000E+02
0.369588880000000E+02,-0.935879450000000E+02
0.369589560000000E+02,-0.935887730000000E+02
0.369612690000000E+02,-0.935887730000000E+02
0.369660310000000E+02,-0.935877770000000E+02
0.369660970000000E+02,-0.936001040000000E+02
0.369622490000000E+02,-0.936030400000000E+02
0.369617910000000E+02,-0.936041240000000E+02
0.369627050000000E+02,-0.936076060000000E+02
0.369641930000000E+02,-0.936089760000000E+02
0.369657960000000E+02,-0.936092620000000E+02
0.369665050000000E+02,-0.936104610000000E+02
0.369678190000000E+02,-0.936741460000000E+02
0.369683460000000E+02,-0.936780840000000E+02
0.369763550000000E+02,-0.936842670000000E+02
0.369781690000000E+02,-0.936825920000000E+02
