LAT,LON
0.339638930000000E+02,-0.891381800000000E+02
0.338945020000000E+02,-0.891375650000000E+02
0.338775580000000E+02,-0.891381790000000E+02
0.338620060000000E+02,-0.891379620000000E+02
0.338629960000000E+02,-0.891361880000000E+02
0.338629500000000E+02,-0.891350070000000E+02
0.338609310000000E+02,-0.891264730000000E+02
0.338573800000000E+02,-0.891214100000000E+02
0.338564890000000E+02,-0.891165510000000E+02
0.338558720000000E+02,-0.891154250000000E+02
0.338517970000000E+02,-0.891116900000000E+02
0.338442870000000E+02,-0.891104780000000E+02
0.338368220000000E+02,-0.891133820000000E+02
0.338356310000000E+02,-0.891142320000000E+02
0.338337060000000E+02,-0.891168920000000E+02
0.338337060000000E+02,-0.891168920000000E+02
0.338331320000000E+02,-0.891209520000000E+02
0.338307040000000E+02,-0.891228440000000E+02
0.338292610000000E+02,-0.891231170000000E+02
0.338297690000000E+02,-0.891285230000000E+02
0.338294960000000E+02,-0.891338460000000E+02
0.338278940000000E+02,-0.891354660000000E+02
0.338262220000000E+02,-0.891358780000000E+02
0.338245510000000E+02,-0.891369490000000E+02
0.338243230000000E+02,-0.891377720000000E+02
0.338121440000000E+02,-0.891378760000000E+02
0.338120840000000E+02,-0.891448910000000E+02
0.338070370000000E+02,-0.891468330000000E+02
0.338024130000000E+02,-0.891507020000000E+02
0.337980330000000E+02,-0.891564230000000E+02
0.337985910000000E+02,-0.891589600000000E+02
0.337993470000000E+02,-0.891600020000000E+02
0.338035150000000E+02,-0.891621400000000E+02
0.338015470000000E+02,-0.891742630000000E+02
0.338012530000000E+02,-0.891749570000000E+02
0.337974940000000E+02,-0.891741810000000E+02
0.337945870000000E+02,-0.891762390000000E+02
0.337899160000000E+02,-0.891838910000000E+02
0.337898480000000E+02,-0.891869350000000E+02
0.337890650000000E+02,-0.891905610000000E+02
0.337637810000000E+02,-0.891911160000000E+02
0.337637810000000E+02,-0.891911160000000E+02
0.337672920000000E+02,-0.892016020000000E+02
0.337755730000000E+02,-0.892334640000000E+02
0.337798280000000E+02,-0.892470510000000E+02
0.338019920000000E+02,-0.892509700000000E+02
0.338019950000000E+02,-0.892356470000000E+02
0.338025000000000E+02,-0.892314230000000E+02
0.338093240000000E+02,-0.892297540000000E+02
0.338136290000000E+02,-0.892294000000000E+02
0.338176600000000E+02,-0.892281950000000E+02
0.338246220000000E+02,-0.892245770000000E+02
0.338256530000000E+02,-0.892233420000000E+02
0.338272110000000E+02,-0.892173350000000E+02
0.338276940000000E+02,-0.892095980000000E+02
0.338305570000000E+02,-0.892018620000000E+02
0.338311980000000E+02,-0.892009020000000E+02
0.338360530000000E+02,-0.891985160000000E+02
0.338390290000000E+02,-0.891976110000000E+02
0.338402430000000E+02,-0.891965140000000E+02
0.338406100000000E+02,-0.891950860000000E+02
0.338405630000000E+02,-0.891873480000000E+02
0.338480980000000E+02,-0.891903950000000E+02
0.338509360000000E+02,-0.891958570000000E+02
0.338519890000000E+02,-0.892009890000000E+02
0.338478430000000E+02,-0.892079030000000E+02
0.338457310000000E+02,-0.892269750000000E+02
0.338396540000000E+02,-0.892489230000000E+02
0.338394980000000E+02,-0.892531690000000E+02
0.338424510000000E+02,-0.892513010000000E+02
0.338599210000000E+02,-0.892515370000000E+02
0.338635140000000E+02,-0.892451540000000E+02
0.338656430000000E+02,-0.892457050000000E+02
0.338687110000000E+02,-0.892453780000000E+02
0.338741390000000E+02,-0.892430760000000E+02
0.338825700000000E+02,-0.892431040000000E+02
0.338848130000000E+02,-0.892435720000000E+02
0.338907650000000E+02,-0.892459920000000E+02
0.338952050000000E+02,-0.892497870000000E+02
0.338941340000000E+02,-0.892516180000000E+02
0.338925770000000E+02,-0.892528820000000E+02
0.338906090000000E+02,-0.892539270000000E+02
