LAT,LON
0.333028250000000E+02,-0.903315890000000E+02
0.333024700000000E+02,-0.903315830000000E+02
0.333024700000000E+02,-0.903315830000000E+02
0.333024260000000E+02,-0.903330330000000E+02
0.333026550000000E+02,-0.903340690000000E+02
0.333034790000000E+02,-0.903351590000000E+02
0.333050130000000E+02,-0.903353780000000E+02
0.333065240000000E+02,-0.903349690000000E+02
0.333071650000000E+02,-0.903353780000000E+02
0.333076000000000E+02,-0.903360870000000E+02
0.333090640000000E+02,-0.903404230000000E+02
0.333092930000000E+02,-0.903418950000000E+02
0.333091780000000E+02,-0.903427950000000E+02
0.333084230000000E+02,-0.903440760000000E+02
0.333071630000000E+02,-0.903449480000000E+02
0.333054460000000E+02,-0.903451930000000E+02
0.333043700000000E+02,-0.903455470000000E+02
0.333037520000000E+02,-0.903460370000000E+02
0.333029040000000E+02,-0.903471000000000E+02
0.333015530000000E+02,-0.903497170000000E+02
0.332985070000000E+02,-0.903524690000000E+02
0.332978660000000E+02,-0.903534780000000E+02
0.332966290000000E+02,-0.903569390000000E+02
0.332950490000000E+02,-0.903575380000000E+02
0.332929420000000E+02,-0.903576730000000E+02
0.332911790000000E+02,-0.903593360000000E+02
0.332890260000000E+02,-0.903607800000000E+02
0.332862800000000E+02,-0.903618420000000E+02
0.332848830000000E+02,-0.903617590000000E+02
0.332820680000000E+02,-0.903594410000000E+02
0.332810150000000E+02,-0.903592500000000E+02
0.332802820000000E+02,-0.903594670000000E+02
0.332767100000000E+02,-0.903622180000000E+02
0.332713950000000E+02,-0.903685650000000E+02
0.332702050000000E+02,-0.903694090000000E+02
0.332665180000000E+02,-0.903705790000000E+02
0.332651900000000E+02,-0.903704960000000E+02
0.332643890000000E+02,-0.903698960000000E+02
0.332622840000000E+02,-0.903669240000000E+02
0.332610250000000E+02,-0.903665420000000E+02
0.332599260000000E+02,-0.903670590000000E+02
0.332582070000000E+02,-0.903700830000000E+02
0.332569250000000E+02,-0.903710630000000E+02
0.332556200000000E+02,-0.903714160000000E+02
0.332505800000000E+02,-0.903713590000000E+02
0.332492140000000E+02,-0.903722230000000E+02
0.332464780000000E+02,-0.903751580000000E+02
0.332464780000000E+02,-0.903751580000000E+02
0.332474170000000E+02,-0.903750860000000E+02
0.332477930000000E+02,-0.903742670000000E+02
0.332509280000000E+02,-0.903717180000000E+02
0.332555890000000E+02,-0.903718170000000E+02
0.332579290000000E+02,-0.903709180000000E+02
0.332597330000000E+02,-0.903679420000000E+02
0.332608620000000E+02,-0.903670030000000E+02
0.332621930000000E+02,-0.903673690000000E+02
0.332651280000000E+02,-0.903707900000000E+02
0.332706890000000E+02,-0.903701940000000E+02
0.332735080000000E+02,-0.903731180000000E+02
0.332803000000000E+02,-0.903767250000000E+02
0.332813740000000E+02,-0.903766560000000E+02
0.332816760000000E+02,-0.903761600000000E+02
0.332819280000000E+02,-0.903741610000000E+02
0.332814020000000E+02,-0.903690060000000E+02
0.332802790000000E+02,-0.903664170000000E+02
0.332796440000000E+02,-0.903659310000000E+02
0.332781140000000E+02,-0.903659170000000E+02
0.332781140000000E+02,-0.903659170000000E+02
0.332793870000000E+02,-0.903660900000000E+02
0.332803250000000E+02,-0.903669350000000E+02
0.332814000000000E+02,-0.903703430000000E+02
0.332814160000000E+02,-0.903760690000000E+02
0.332804550000000E+02,-0.903765600000000E+02
0.332795850000000E+02,-0.903760970000000E+02
0.332735230000000E+02,-0.903727090000000E+02
0.332710510000000E+02,-0.903701180000000E+02
0.332756470000000E+02,-0.903645880000000E+02
0.332756470000000E+02,-0.903645880000000E+02
0.332757130000000E+02,-0.903640080000000E+02
0.332764050000000E+02,-0.903631600000000E+02
0.332787120000000E+02,-0.903611660000000E+02
0.332805850000000E+02,-0.903599550000000E+02
0.332814430000000E+02,-0.903596750000000E+02
0.332843140000000E+02,-0.903619440000000E+02
0.332856520000000E+02,-0.903623490000000E+02
0.332865170000000E+02,-0.903622420000000E+02
0.332875850000000E+02,-0.903619540000000E+02
0.332906490000000E+02,-0.903602350000000E+02
0.332931100000000E+02,-0.903580980000000E+02
0.332956160000000E+02,-0.903578120000000E+02
0.332965070000000E+02,-0.903574840000000E+02
0.332970830000000E+02,-0.903569910000000E+02
0.332977180000000E+02,-0.903548380000000E+02
0.332987890000000E+02,-0.903527370000000E+02
0.333017460000000E+02,-0.903500860000000E+02
0.333039170000000E+02,-0.903463250000000E+02
0.333057320000000E+02,-0.903455250000000E+02
0.333072840000000E+02,-0.903453950000000E+02
0.333090620000000E+02,-0.903437880000000E+02
0.333095410000000E+02,-0.903420370000000E+02
0.333094130000000E+02,-0.903405300000000E+02
0.333079270000000E+02,-0.903362480000000E+02
0.333074320000000E+02,-0.903353130000000E+02
0.333068050000000E+02,-0.903347610000000E+02
0.333043480000000E+02,-0.903350380000000E+02
0.333034450000000E+02,-0.903346470000000E+02
0.333028360000000E+02,-0.903337780000000E+02
0.333028250000000E+02,-0.903315890000000E+02
END,END
0.332354650000000E+02,-0.904135030000000E+02
0.332353200000000E+02,-0.904132360000000E+02
0.332377750000000E+02,-0.904124560000000E+02
0.332420760000000E+02,-0.904120390000000E+02
0.332428500000000E+02,-0.904123070000000E+02
0.332437040000000E+02,-0.904124510000000E+02
0.332441790000000E+02,-0.904122490000000E+02
0.332445970000000E+02,-0.904116820000000E+02
0.332451110000000E+02,-0.904108270000000E+02
0.332452550000000E+02,-0.904101060000000E+02
0.332452950000000E+02,-0.904095680000000E+02
0.332454350000000E+02,-0.903923090000000E+02
0.332452870000000E+02,-0.903863550000000E+02
0.332444010000000E+02,-0.903819580000000E+02
0.332422540000000E+02,-0.903795020000000E+02
0.332418970000000E+02,-0.903784270000000E+02
0.332430030000000E+02,-0.903750860000000E+02
0.332422090000000E+02,-0.903735000000000E+02
0.332399790000000E+02,-0.903750130000000E+02
0.332389810000000E+02,-0.903749100000000E+02
0.332384550000000E+02,-0.903738290000000E+02
0.332392600000000E+02,-0.903671060000000E+02
0.332397470000000E+02,-0.903661070000000E+02
0.332404220000000E+02,-0.903660470000000E+02
0.332404010000000E+02,-0.903673140000000E+02
0.332404010000000E+02,-0.903673140000000E+02
0.332409510000000E+02,-0.903669330000000E+02
0.332410650000000E+02,-0.903667150000000E+02
0.332410880000000E+02,-0.903662790000000E+02
0.332408140000000E+02,-0.903659250000000E+02
0.332403100000000E+02,-0.903657070000000E+02
0.332398290000000E+02,-0.903657070000000E+02
0.332396230000000E+02,-0.903658150000000E+02
0.332392570000000E+02,-0.903663330000000E+02
0.332390280000000E+02,-0.903671770000000E+02
0.332382010000000E+02,-0.903722170000000E+02
0.332381550000000E+02,-0.903737420000000E+02
0.332382010000000E+02,-0.903740690000000E+02
0.332386540000000E+02,-0.903754180000000E+02
0.332421130000000E+02,-0.903800960000000E+02
0.332425940000000E+02,-0.903804230000000E+02
0.332429150000000E+02,-0.903805310000000E+02
0.332436480000000E+02,-0.903813210000000E+02
0.332439920000000E+02,-0.903818110000000E+02
0.332447720000000E+02,-0.903845350000000E+02
0.332450470000000E+02,-0.903861700000000E+02
0.332449580000000E+02,-0.903910470000000E+02
0.332449610000000E+02,-0.903994660000000E+02
0.332450560000000E+02,-0.904090020000000E+02
0.332449190000000E+02,-0.904100650000000E+02
0.332445070000000E+02,-0.904109920000000E+02
0.332439350000000E+02,-0.904116730000000E+02
0.332437290000000E+02,-0.904117820000000E+02
0.332433620000000E+02,-0.904118640000000E+02
0.332426760000000E+02,-0.904118640000000E+02
0.332349600000000E+02,-0.904127660000000E+02
0.332337010000000E+02,-0.904127390000000E+02
0.332329450000000E+02,-0.904125760000000E+02
0.332324190000000E+02,-0.904123310000000E+02
0.332318690000000E+02,-0.904119500000000E+02
0.332307470000000E+02,-0.904106970000000E+02
0.332298990000000E+02,-0.904093900000000E+02
0.332295560000000E+02,-0.904087090000000E+02
0.332293950000000E+02,-0.904081370000000E+02
0.332293720000000E+02,-0.904076740000000E+02
0.332296700000000E+02,-0.904070200000000E+02
0.332311580000000E+02,-0.904056570000000E+02
0.332314320000000E+02,-0.904053030000000E+02
0.332317520000000E+02,-0.904045680000000E+02
0.332318890000000E+02,-0.904034780000000E+02
0.332317980000000E+02,-0.904029880000000E+02
0.332316140000000E+02,-0.904025240000000E+02
0.332311560000000E+02,-0.904021710000000E+02
0.332306530000000E+02,-0.904018440000000E+02
0.332293470000000E+02,-0.904013000000000E+02
0.332280190000000E+02,-0.904011370000000E+02
0.332224340000000E+02,-0.904007860000000E+02
0.332171220000000E+02,-0.904006790000000E+02
0.332164810000000E+02,-0.904008160000000E+02
0.332138260000000E+02,-0.904018520000000E+02
0.332096140000000E+02,-0.904038690000000E+02
0.332090870000000E+02,-0.904041960000000E+02
0.332080110000000E+02,-0.904050680000000E+02
0.332072330000000E+02,-0.904058590000000E+02
0.332062030000000E+02,-0.904074110000000E+02
0.332024730000000E+02,-0.904134860000000E+02
0.332024730000000E+02,-0.904134860000000E+02
0.332008250000000E+02,-0.904170820000000E+02
0.331992920000000E+02,-0.904183620000000E+02
0.331978490000000E+02,-0.904187440000000E+02
0.331955590000000E+02,-0.904171920000000E+02
0.331926740000000E+02,-0.904133270000000E+02
0.331913460000000E+02,-0.904130000000000E+02
0.331898810000000E+02,-0.904140900000000E+02
0.331873170000000E+02,-0.904190730000000E+02
0.331871810000000E+02,-0.904224220000000E+02
0.331896770000000E+02,-0.904256350000000E+02
0.331903410000000E+02,-0.904281940000000E+02
