LAT,LON
0.468685900000000E+02,-0.113935378000000E+03
0.468626980000000E+02,-0.113930722000000E+03
0.468619420000000E+02,-0.113927395000000E+03
0.468610650000000E+02,-0.113926159000000E+03
0.468589670000000E+02,-0.113924695000000E+03
0.468525130000000E+02,-0.113922268000000E+03
0.468463250000000E+02,-0.113920605000000E+03
0.468439980000000E+02,-0.113922268000000E+03
0.468389170000000E+02,-0.113921566000000E+03
0.468373300000000E+02,-0.113919308000000E+03
0.468356130000000E+02,-0.113918591000000E+03
0.468322490000000E+02,-0.113923260000000E+03
0.468334700000000E+02,-0.113931500000000E+03
0.468315320000000E+02,-0.113931469000000E+03
0.468299910000000E+02,-0.113932843000000E+03
0.468306770000000E+02,-0.113939191000000E+03
0.468299070000000E+02,-0.113941587000000E+03
0.468271450000000E+02,-0.113941724000000E+03
0.468272670000000E+02,-0.113937176000000E+03
0.468233760000000E+02,-0.113941236000000E+03
0.468222390000000E+02,-0.113944791000000E+03
0.468261000000000E+02,-0.113955610000000E+03
0.468285710000000E+02,-0.113960265000000E+03
0.468288460000000E+02,-0.113962370000000E+03
0.468283120000000E+02,-0.113963332000000E+03
0.468277930000000E+02,-0.113968184000000E+03
0.468286090000000E+02,-0.113975051000000E+03
0.468313860000000E+02,-0.113984634000000E+03
0.468329120000000E+02,-0.113988205000000E+03
0.468375230000000E+02,-0.113991242000000E+03
0.468399230000000E+02,-0.113991542000000E+03
0.468408230000000E+02,-0.113993242000000E+03
0.468413520000000E+02,-0.113997112000000E+03
0.468343230000000E+02,-0.114015743000000E+03
0.468342670000000E+02,-0.114044060000000E+03
0.468342670000000E+02,-0.114044060000000E+03
0.468364230000000E+02,-0.114039543000000E+03
0.468522230000000E+02,-0.114039543000000E+03
0.468522120000000E+02,-0.114044552000000E+03
0.468541230000000E+02,-0.114044843000000E+03
0.468541230000000E+02,-0.114039443000000E+03
0.468682450000000E+02,-0.114039774000000E+03
0.468728230000000E+02,-0.114039343000000E+03
0.468759230000000E+02,-0.114037443000000E+03
0.468783230000000E+02,-0.114037043000000E+03
0.468802760000000E+02,-0.114037406000000E+03
0.468816310000000E+02,-0.114039003000000E+03
0.468816310000000E+02,-0.114039003000000E+03
0.468822240000000E+02,-0.114036500000000E+03
0.468820940000000E+02,-0.114035564000000E+03
0.468809280000000E+02,-0.114030778000000E+03
0.468803580000000E+02,-0.114028930000000E+03
0.468784560000000E+02,-0.114024308000000E+03
0.468763390000000E+02,-0.114021618000000E+03
0.468759230000000E+02,-0.114020207000000E+03
0.468756010000000E+02,-0.114018599000000E+03
0.468750230000000E+02,-0.114013543000000E+03
0.468745230000000E+02,-0.114007943000000E+03
0.468749100000000E+02,-0.114005541000000E+03
0.468744610000000E+02,-0.114004332000000E+03
0.468715230000000E+02,-0.114000842000000E+03
0.468683240000000E+02,-0.113999540000000E+03
0.468674520000000E+02,-0.113997036000000E+03
0.468667230000000E+02,-0.113994240000000E+03
0.468669230000000E+02,-0.113985542000000E+03
0.468633240000000E+02,-0.113976341000000E+03
0.468621940000000E+02,-0.113973311000000E+03
0.468617440000000E+02,-0.113971678000000E+03
0.468616600000000E+02,-0.113970976000000E+03
0.468618740000000E+02,-0.113967818000000E+03
0.468617820000000E+02,-0.113963988000000E+03
0.468614540000000E+02,-0.113960738000000E+03
0.468616530000000E+02,-0.113959075000000E+03
0.468618740000000E+02,-0.113958234000000E+03
0.468625450000000E+02,-0.113957334000000E+03
0.468634680000000E+02,-0.113955488000000E+03
0.468638960000000E+02,-0.113953864000000E+03
0.468639110000000E+02,-0.113952635000000E+03
0.468635760000000E+02,-0.113951722000000E+03
0.468632080000000E+02,-0.113949546000000E+03
0.468634070000000E+02,-0.113944913000000E+03
0.468637350000000E+02,-0.113944071000000E+03
0.468656720000000E+02,-0.113942550000000E+03
0.468668790000000E+02,-0.113939859000000E+03
0.468685900000000E+02,-0.113935378000000E+03
END,END
