LAT,LON
0.354101520000000E+02,-0.811952440000000E+02
0.354094710000000E+02,-0.811778080000000E+02
0.354094710000000E+02,-0.811778080000000E+02
0.354076630000000E+02,-0.811222640000000E+02
0.354076630000000E+02,-0.811222640000000E+02
0.353998480000000E+02,-0.811180460000000E+02
0.353998480000000E+02,-0.811180460000000E+02
0.353978170000000E+02,-0.811178570000000E+02
0.353960920000000E+02,-0.811182670000000E+02
0.353880540000000E+02,-0.811183450000000E+02
0.353827160000000E+02,-0.811204670000000E+02
0.353781350000000E+02,-0.811206870000000E+02
0.353734020000000E+02,-0.811198170000000E+02
0.353644220000000E+02,-0.811247990000000E+02
0.353651110000000E+02,-0.811305980000000E+02
0.353644710000000E+02,-0.811324440000000E+02
0.353619770000000E+02,-0.811376750000000E+02
0.353588620000000E+02,-0.811389350000000E+02
0.353580830000000E+02,-0.811376210000000E+02
0.353495160000000E+02,-0.811349140000000E+02
0.353464240000000E+02,-0.811357260000000E+02
0.353419120000000E+02,-0.811345270000000E+02
0.353402850000000E+02,-0.811320690000000E+02
0.353394370000000E+02,-0.811315940000000E+02
0.353383600000000E+02,-0.811313710000000E+02
0.353346960000000E+02,-0.811327710000000E+02
0.353285120000000E+02,-0.811304560000000E+02
0.353247110000000E+02,-0.811317720000000E+02
0.353247110000000E+02,-0.811317720000000E+02
0.353231770000000E+02,-0.811319680000000E+02
0.353215640000000E+02,-0.811305330000000E+02
0.353215640000000E+02,-0.811305330000000E+02
0.353200610000000E+02,-0.811314400000000E+02
0.353179310000000E+02,-0.811344020000000E+02
0.353179570000000E+02,-0.811350330000000E+02
0.353153220000000E+02,-0.811372090000000E+02
0.353113210000000E+02,-0.811338630000000E+02
0.353105050000000E+02,-0.811290470000000E+02
0.353107450000000E+02,-0.811237990000000E+02
0.353081370000000E+02,-0.811207110000000E+02
0.353081370000000E+02,-0.811207110000000E+02
0.353069370000000E+02,-0.811214790000000E+02
0.353066490000000E+02,-0.811222950000000E+02
0.353071770000000E+02,-0.811362470000000E+02
0.353079130000000E+02,-0.811431750000000E+02
0.353021850000000E+02,-0.811495590000000E+02
0.353009850000000E+02,-0.811559920000000E+02
0.352977370000000E+02,-0.811651000000000E+02
0.352927370000000E+02,-0.811719000000000E+02
0.352880370000000E+02,-0.811767000000000E+02
0.352875370000000E+02,-0.811786000000000E+02
0.352956370000000E+02,-0.811878000000000E+02
0.352956370000000E+02,-0.811878000000000E+02
0.352950480000000E+02,-0.811955920000000E+02
0.352967760000000E+02,-0.812014640000000E+02
0.352982480000000E+02,-0.812042170000000E+02
0.352981360000000E+02,-0.812051450000000E+02
0.352958170000000E+02,-0.812087530000000E+02
0.352957670000000E+02,-0.812116150000000E+02
0.352966490000000E+02,-0.812129470000000E+02
0.352997690000000E+02,-0.812150250000000E+02
0.353009840000000E+02,-0.812171810000000E+02
0.353024800000000E+02,-0.812217870000000E+02
0.352974480000000E+02,-0.812302970000000E+02
0.352914160000000E+02,-0.812385210000000E+02
0.352921200000000E+02,-0.812400250000000E+02
0.352921200000000E+02,-0.812400250000000E+02
0.352948880000000E+02,-0.812377530000000E+02
0.353005840000000E+02,-0.812368250000000E+02
0.353021200000000E+02,-0.812361210000000E+02
0.353046800000000E+02,-0.812327930000000E+02
0.353064120000000E+02,-0.812286590000000E+02
0.353148240000000E+02,-0.812323380000000E+02
0.353265710000000E+02,-0.812289400000000E+02
0.353375350000000E+02,-0.812335750000000E+02
0.353369650000000E+02,-0.812354580000000E+02
0.353398490000000E+02,-0.812403240000000E+02
0.353429400000000E+02,-0.812418350000000E+02
0.353450570000000E+02,-0.812399320000000E+02
0.353488710000000E+02,-0.812438520000000E+02
0.353488710000000E+02,-0.812438520000000E+02
0.353516210000000E+02,-0.812417020000000E+02
0.353556060000000E+02,-0.812423190000000E+02
0.353623410000000E+02,-0.812391370000000E+02
0.353713810000000E+02,-0.812371330000000E+02
0.353787580000000E+02,-0.812329670000000E+02
0.353808680000000E+02,-0.812270940000000E+02
0.353813030000000E+02,-0.812244940000000E+02
0.353822880000000E+02,-0.812245500000000E+02
0.353841660000000E+02,-0.812268160000000E+02
0.353870720000000E+02,-0.812334470000000E+02
0.353878440000000E+02,-0.812341810000000E+02
0.353908520000000E+02,-0.812307360000000E+02
0.353954570000000E+02,-0.812283890000000E+02
0.353980450000000E+02,-0.812283070000000E+02
0.353983430000000E+02,-0.812274120000000E+02
0.353978160000000E+02,-0.812262080000000E+02
0.353939700000000E+02,-0.812215910000000E+02
0.353930330000000E+02,-0.812136470000000E+02
0.353930330000000E+02,-0.812122770000000E+02
0.353949350000000E+02,-0.812083340000000E+02
0.353972520000000E+02,-0.812067940000000E+02
0.353971340000000E+02,-0.812038440000000E+02
0.353956000000000E+02,-0.812028240000000E+02
0.353922110000000E+02,-0.811987120000000E+02
0.353956690000000E+02,-0.811996080000000E+02
0.353966310000000E+02,-0.812004470000000E+02
0.353966310000000E+02,-0.812004470000000E+02
0.354101520000000E+02,-0.811952440000000E+02
END,END
