LAT,LON
0.353455260000000E+02,-0.809114250000000E+02
0.353431140000000E+02,-0.809136200000000E+02
0.353430460000000E+02,-0.809177290000000E+02
0.353454060000000E+02,-0.809237380000000E+02
0.353458650000000E+02,-0.809301950000000E+02
0.353465750000000E+02,-0.809329900000000E+02
0.353491400000000E+02,-0.809387500000000E+02
0.353501940000000E+02,-0.809396720000000E+02
0.353503760000000E+02,-0.809511050000000E+02
0.353486120000000E+02,-0.809572830000000E+02
0.353449700000000E+02,-0.809533130000000E+02
0.353430010000000E+02,-0.809522220000000E+02
0.353361990000000E+02,-0.809507680000000E+02
0.353356030000000E+02,-0.809513260000000E+02
0.353362440000000E+02,-0.809519130000000E+02
0.353362440000000E+02,-0.809519130000000E+02
0.353365650000000E+02,-0.809530870000000E+02
0.353389010000000E+02,-0.809529200000000E+02
0.353439630000000E+02,-0.809539550000000E+02
0.353452220000000E+02,-0.809554370000000E+02
0.353451760000000E+02,-0.809559960000000E+02
0.353421990000000E+02,-0.809556040000000E+02
0.353413970000000E+02,-0.809563310000000E+02
0.353432290000000E+02,-0.809570300000000E+02
0.353454740000000E+02,-0.809566110000000E+02
0.353469400000000E+02,-0.809569190000000E+02
0.353467790000000E+02,-0.809596580000000E+02
0.353445570000000E+02,-0.809626770000000E+02
0.353444190000000E+02,-0.809639340000000E+02
0.353465260000000E+02,-0.809655000000000E+02
0.353495940000000E+02,-0.809699180000000E+02
0.353492730000000E+02,-0.809712320000000E+02
0.353472570000000E+02,-0.809708960000000E+02
0.353406600000000E+02,-0.809752530000000E+02
0.353374990000000E+02,-0.809744690000000E+02
0.353396290000000E+02,-0.809762310000000E+02
0.353417863570313E+02,-0.809763553380859E+02
0.353428570000000E+02,-0.809785800000000E+02
0.353416190000000E+02,-0.809821850000000E+02
0.353384810000000E+02,-0.809845320000000E+02
0.353370380000000E+02,-0.809838040000000E+02
0.353362720000000E+02,-0.809845740000000E+02
0.353362720000000E+02,-0.809845740000000E+02
0.353379200000000E+02,-0.809854140000000E+02
0.353407080000000E+02,-0.809844460000000E+02
0.353424750000000E+02,-0.809819800000000E+02
0.353448770000000E+02,-0.809748770000000E+02
0.353467180000000E+02,-0.809737620000000E+02
0.353501130000000E+02,-0.809730000000000E+02
0.353510720000000E+02,-0.809715850000000E+02
0.353514910000000E+02,-0.809701160000000E+02
0.353511650000000E+02,-0.809680200000000E+02
0.353497140000000E+02,-0.809656830000000E+02
0.353472830000000E+02,-0.809634800000000E+02
0.353470490000000E+02,-0.809624140000000E+02
0.353475430000000E+02,-0.809610310000000E+02
0.353492040000000E+02,-0.809589900000000E+02
0.353504790000000E+02,-0.809555500000000E+02
0.353509800000000E+02,-0.809514640000000E+02
0.353505280000000E+02,-0.809436140000000E+02
0.353522980000000E+02,-0.809405890000000E+02
0.353522980000000E+02,-0.809405890000000E+02
0.353492960000000E+02,-0.809348880000000E+02
0.353482940000000E+02,-0.809308640000000E+02
0.353483770000000E+02,-0.809283060000000E+02
0.353446040000000E+02,-0.809192530000000E+02
0.353435210000000E+02,-0.809151920000000E+02
0.353438040000000E+02,-0.809143590000000E+02
0.353470160000000E+02,-0.809126420000000E+02
0.353478920000000E+02,-0.809107360000000E+02
0.353478920000000E+02,-0.809107360000000E+02
0.353455260000000E+02,-0.809114250000000E+02
END,END
0.353331680000000E+02,-0.809817620000000E+02
0.353323900000000E+02,-0.809807830000000E+02
0.353327560000000E+02,-0.809806710000000E+02
0.353342220000000E+02,-0.809817620000000E+02
0.353345190000000E+02,-0.809817620000000E+02
0.353345190000000E+02,-0.809814830000000E+02
0.353330770000000E+02,-0.809803080000000E+02
0.353294120000000E+02,-0.809804180000000E+02
0.353274650000000E+02,-0.809808920000000E+02
0.353254030000000E+02,-0.809820930000000E+02
0.353227000000000E+02,-0.809851370000000E+02
0.353208660000000E+02,-0.809887970000000E+02
0.353198120000000E+02,-0.809897460000000E+02
0.353151380000000E+02,-0.809922860000000E+02
0.353138100000000E+02,-0.809928160000000E+02
0.353126380000000E+02,-0.809927940000000E+02
0.353089700000000E+02,-0.809949640000000E+02
0.353077860000000E+02,-0.809959080000000E+02
0.353070500000000E+02,-0.809968840000000E+02
0.353054500000000E+02,-0.809999720000000E+02
0.353045860000000E+02,-0.810007400000000E+02
0.353003140000000E+02,-0.810014760000000E+02
0.352972580000000E+02,-0.810035240000000E+02
0.352912580000000E+02,-0.810058120000000E+02
0.352854510000000E+02,-0.810067560000000E+02
0.352794190000000E+02,-0.810086600000000E+02
0.352782670000000E+02,-0.810098120000000E+02
0.352746670000000E+02,-0.810113320000000E+02
0.352738350000000E+02,-0.810114440000000E+02
0.352670190000000E+02,-0.810106920000000E+02
0.352663790000000E+02,-0.810114120000000E+02
0.352658990000000E+02,-0.810126760000000E+02
0.352652910000000E+02,-0.810130280000000E+02
0.352590990000000E+02,-0.810132520000000E+02
0.352573870000000E+02,-0.810126600000000E+02
0.352530990000000E+02,-0.810096040000000E+02
0.352520590000000E+02,-0.810077960000000E+02
0.352509230000000E+02,-0.810072680000000E+02
0.352489390000000E+02,-0.810069320000000E+02
0.352473400000000E+02,-0.810046920000000E+02
0.352475000000000E+02,-0.810040840000000E+02
0.352464120000000E+02,-0.810041800000000E+02
0.352454040000000E+02,-0.810063400000000E+02
0.352457400000000E+02,-0.810071400000000E+02
0.352467952866211E+02,-0.810067581628906E+02
0.352473034866211E+02,-0.810068157628906E+02
0.352469230000000E+02,-0.810075400000000E+02
0.352411480000000E+02,-0.810083400000000E+02
0.352398040000000E+02,-0.810082600000000E+02
0.352393560000000E+02,-0.810079400000000E+02
0.352383480000000E+02,-0.810077480000000E+02
0.352343480000000E+02,-0.810084520000000E+02
0.352319960000000E+02,-0.810107400000000E+02
0.352262200000000E+02,-0.810113640000000E+02
0.352254200000000E+02,-0.810121000000000E+02
0.352242680000000E+02,-0.810121480000000E+02
0.352223800000000E+02,-0.810106120000000E+02
0.352194100000000E+02,-0.810101140000000E+02
0.352115170000000E+02,-0.810039560000000E+02
0.352117730000000E+02,-0.810028680000000E+02
0.352122690000000E+02,-0.810025000000000E+02
0.352133250000000E+02,-0.810022280000000E+02
0.352137410000000E+02,-0.810030280000000E+02
0.352141560000000E+02,-0.810031560000000E+02
0.352149080000000E+02,-0.810027720000000E+02
0.352166360000000E+02,-0.810004360000000E+02
0.352164760000000E+02,-0.809982440000000E+02
0.352167160000000E+02,-0.809976040000000E+02
0.352181400000000E+02,-0.809962280000000E+02
0.352202200000000E+02,-0.809967720000000E+02
0.352211320000000E+02,-0.809966440000000E+02
0.352219000000000E+02,-0.809961960000000E+02
0.352246200000000E+02,-0.809936040000000E+02
0.352252630292969E+02,-0.809908916312500E+02
0.352261560000000E+02,-0.809893000000000E+02
0.352287320000000E+02,-0.809863080000000E+02
0.352298520000000E+02,-0.809857800000000E+02
0.352307960000000E+02,-0.809846440000000E+02
0.352309240000000E+02,-0.809827080000000E+02
0.352292280000000E+02,-0.809829960000000E+02
0.352269880000000E+02,-0.809846920000000E+02
0.352245400000000E+02,-0.809886280000000E+02
0.352240247365234E+02,-0.809909363800781E+02
0.352235640000000E+02,-0.809917320000000E+02
0.352227480000000E+02,-0.809924680000000E+02
0.352210840000000E+02,-0.809927720000000E+02
0.352207000000000E+02,-0.809931240000000E+02
0.352207160000000E+02,-0.809944360000000E+02
0.352207160000000E+02,-0.809944360000000E+02
0.352190840000000E+02,-0.809952200000000E+02
0.352171970000000E+02,-0.809950920000000E+02
0.352159490000000E+02,-0.809976360000000E+02
0.352141250000000E+02,-0.809996360000000E+02
0.352122850000000E+02,-0.809992520000000E+02
0.352121410000000E+02,-0.809980200000000E+02
0.352112930000000E+02,-0.809998280000000E+02
0.352101730000000E+02,-0.809999080000000E+02
0.352074530000000E+02,-0.809930120000000E+02
0.352075330000000E+02,-0.809915880000000E+02
0.352066850000000E+02,-0.809917960000000E+02
0.352069250000000E+02,-0.809948360000000E+02
0.352086241211914E+02,-0.809987318107422E+02
0.352089890000000E+02,-0.810013960000000E+02
0.352086690000000E+02,-0.810024520000000E+02
0.352062210000000E+02,-0.810035080000000E+02
0.352027970000000E+02,-0.810028200000000E+02
0.352014370000000E+02,-0.810017160000000E+02
0.351987330000000E+02,-0.810016040000000E+02
0.351981090000000E+02,-0.810003400000000E+02
0.351960130000000E+02,-0.809999240000000E+02
0.351971330000000E+02,-0.810037320000000E+02
0.351923970000000E+02,-0.810030930000000E+02
0.351907650000000E+02,-0.810018450000000E+02
0.351892130000000E+02,-0.810022930000000E+02
0.351853060000000E+02,-0.810009500000000E+02
0.351842800000000E+02,-0.809997970000000E+02
0.351829250000000E+02,-0.809993170000000E+02
0.351832450000000E+02,-0.809978450000000E+02
0.351795660000000E+02,-0.809997810000000E+02
0.351790240000000E+02,-0.810006200000000E+02
0.351781830000000E+02,-0.810001940000000E+02
0.351776620000000E+02,-0.809990930000000E+02
0.351755020000000E+02,-0.809981650000000E+02
