LAT,LON
0.470793380000000E+02,-0.974508800000000E+02
0.470792000000000E+02,-0.974304060000000E+02
0.470503590000000E+02,-0.974304790000000E+02
0.470501420000000E+02,-0.973882500000000E+02
0.470501420000000E+02,-0.973882500000000E+02
0.470357440000000E+02,-0.973885980000000E+02
0.470212790000000E+02,-0.973883450000000E+02
0.470211870000000E+02,-0.973671340000000E+02
0.469875890000000E+02,-0.973669670000000E+02
0.469852900000000E+02,-0.973633210000000E+02
0.469852900000000E+02,-0.973633210000000E+02
0.469837810000000E+02,-0.973654920000000E+02
0.469780210000000E+02,-0.973666880000000E+02
0.469781210000000E+02,-0.974094180000000E+02
0.469781210000000E+02,-0.974094180000000E+02
0.469781490000000E+02,-0.974297520000000E+02
0.469629960000000E+02,-0.974297900000000E+02
0.469628370000000E+02,-0.974508190000000E+02
0.469782400000000E+02,-0.974507890000000E+02
0.469782770000000E+02,-0.975157210000000E+02
0.469928110000000E+02,-0.975158080000000E+02
0.469929590000000E+02,-0.975580930000000E+02
0.470215860000000E+02,-0.975577930000000E+02
0.470216540000000E+02,-0.975787470000000E+02
0.470361670000000E+02,-0.975786160000000E+02
0.470360080000000E+02,-0.975587260000000E+02
0.470371740000000E+02,-0.975598290000000E+02
0.470467940000000E+02,-0.975741720000000E+02
0.470506330000000E+02,-0.975776500000000E+02
0.470506330000000E+02,-0.975776500000000E+02
0.470505170000000E+02,-0.975365230000000E+02
0.470653490000000E+02,-0.975363810000000E+02
0.470650660000000E+02,-0.974937860000000E+02
0.470794860000000E+02,-0.974937000000000E+02
0.470793380000000E+02,-0.974508800000000E+02
END,END
