LAT,LON
0.475476360000000E+02,-0.101313401000000E+03
0.475486930000000E+02,-0.101313980000000E+03
0.475489220000000E+02,-0.101315363000000E+03
0.475470250000000E+02,-0.101324036000000E+03
0.475459740000000E+02,-0.101324339000000E+03
0.475454030000000E+02,-0.101323631000000E+03
0.475446030000000E+02,-0.101319447000000E+03
0.475434840000000E+02,-0.101319716000000E+03
0.475439860000000E+02,-0.101326329000000E+03
0.475446940000000E+02,-0.101326735000000E+03
0.475452200000000E+02,-0.101330784000000E+03
0.475445340000000E+02,-0.101336013000000E+03
0.475439390000000E+02,-0.101336485000000E+03
0.475430940000000E+02,-0.101336316000000E+03
0.475430720000000E+02,-0.101332908000000E+03
0.475396910000000E+02,-0.101327138000000E+03
0.475389830000000E+02,-0.101326699000000E+03
0.475399410000000E+02,-0.101330849000000E+03
0.475416550000000E+02,-0.101335303000000E+03
0.475434590000000E+02,-0.101338408000000E+03
0.475456750000000E+02,-0.101339894000000E+03
0.475471590000000E+02,-0.101341649000000E+03
0.475479130000000E+02,-0.101343404000000E+03
0.475479800000000E+02,-0.101349343000000E+03
0.475477280000000E+02,-0.101350625000000E+03
0.475465400000000E+02,-0.101350557000000E+03
0.475489570000000E+02,-0.101361459000000E+03
0.475492740000000E+02,-0.101367769000000E+03
0.475486340000000E+02,-0.101369489000000E+03
0.475442460000000E+02,-0.101371913000000E+03
0.475439520000000E+02,-0.101366110000000E+03
0.475451880000000E+02,-0.101360578000000E+03
0.475419880000000E+02,-0.101363274000000E+03
0.475416440000000E+02,-0.101366512000000E+03
0.475291480000000E+02,-0.101365352000000E+03
0.475229110000000E+02,-0.101365717000000E+03
0.475221580000000E+02,-0.101363895000000E+03
0.475233920000000E+02,-0.101362514000000E+03
0.475239870000000E+02,-0.101360018000000E+03
0.475227550000000E+02,-0.101355296000000E+03
0.475165180000000E+02,-0.101356134000000E+03
0.475167670000000E+02,-0.101361394000000E+03
0.475180000000000E+02,-0.101363453000000E+03
0.475184110000000E+02,-0.101365173000000E+03
0.475163530000000E+02,-0.101368442000000E+03
0.475153930000000E+02,-0.101369217000000E+03
0.475149590000000E+02,-0.101369047000000E+03
0.475156690000000E+02,-0.101365474000000E+03
0.475140480000000E+02,-0.101362100000000E+03
0.475123120000000E+02,-0.101361154000000E+03
0.475102330000000E+02,-0.101362872000000E+03
0.475104840000000E+02,-0.101363513000000E+03
0.475125270000000E+02,-0.101364303000000E+03
0.475125270000000E+02,-0.101364303000000E+03
0.475130650000000E+02,-0.101364527000000E+03
0.475134070000000E+02,-0.101365505000000E+03
0.475059790000000E+02,-0.101375437000000E+03
0.474999990000000E+02,-0.101385656000000E+03
0.474987560000000E+02,-0.101386432000000E+03
0.474978650000000E+02,-0.101386332000000E+03
0.474942080000000E+02,-0.101383369000000E+03
0.474911240000000E+02,-0.101382832000000E+03
0.474894790000000E+02,-0.101383508000000E+03
0.474884520000000E+02,-0.101384756000000E+03
0.474884520000000E+02,-0.101385767000000E+03
0.474987770000000E+02,-0.101411461000000E+03
0.474987770000000E+02,-0.101411461000000E+03
0.475049910000000E+02,-0.101427249000000E+03
0.475054480000000E+02,-0.101432981000000E+03
0.475078010000000E+02,-0.101437937000000E+03
0.475083730000000E+02,-0.101439049000000E+03
0.475130560000000E+02,-0.101442321000000E+03
0.475125990000000E+02,-0.101437094000000E+03
0.475130330000000E+02,-0.101436790000000E+03
0.475161170000000E+02,-0.101440500000000E+03
0.475179220000000E+02,-0.101446368000000E+03
0.475174190000000E+02,-0.101448021000000E+03
0.475194750000000E+02,-0.101448527000000E+03
0.475245700000000E+02,-0.101446032000000E+03
0.475229480000000E+02,-0.101443064000000E+03
0.475214170000000E+02,-0.101443401000000E+03
0.475194750000000E+02,-0.101441039000000E+03
0.475188360000000E+02,-0.101435846000000E+03
0.475205490000000E+02,-0.101436150000000E+03
0.475231310000000E+02,-0.101439353000000E+03
0.475253010000000E+02,-0.101439590000000E+03
0.475288880000000E+02,-0.101439084000000E+03
0.475291620000000E+02,-0.101437667000000E+03
0.475320630000000E+02,-0.101441310000000E+03
0.475349410000000E+02,-0.101446641000000E+03
0.475351470000000E+02,-0.101448294000000E+03
0.475322680000000E+02,-0.101452949000000E+03
0.475336150000000E+02,-0.101456052000000E+03
0.475333860000000E+02,-0.101457671000000E+03
0.475278580000000E+02,-0.101459491000000E+03
0.475213700000000E+02,-0.101457397000000E+03
0.475165490000000E+02,-0.101460497000000E+03
0.475166170000000E+02,-0.101461003000000E+03
0.475172570000000E+02,-0.101461105000000E+03
0.475196330000000E+02,-0.101460364000000E+03
0.475229460000000E+02,-0.101460096000000E+03
0.475239740000000E+02,-0.101460939000000E+03
0.475243140000000E+02,-0.101462231000000E+03
0.475231500000000E+02,-0.101464750000000E+03
0.475231510000000E+02,-0.101466605000000E+03
0.475254130000000E+02,-0.101465999000000E+03
0.475276060000000E+02,-0.101462728000000E+03
0.475296390000000E+02,-0.101461852000000E+03
0.475300960000000E+02,-0.101464720000000E+03
0.475321300000000E+02,-0.101464282000000E+03
0.475330200000000E+02,-0.101465126000000E+03
0.475330190000000E+02,-0.101468330000000E+03
0.475303010000000E+02,-0.101469644000000E+03
0.475281760000000E+02,-0.101469474000000E+03
0.475228290000000E+02,-0.101473350000000E+03
0.475202700000000E+02,-0.101474360000000E+03
0.475194690000000E+02,-0.101477462000000E+03
0.475174810000000E+02,-0.101478978000000E+03
0.475151040000000E+02,-0.101481910000000E+03
0.475144410000000E+02,-0.101483865000000E+03
0.475159480000000E+02,-0.101485013000000E+03
0.475152630000000E+02,-0.101484169000000E+03
0.475152870000000E+02,-0.101482686000000E+03
0.475208850000000E+02,-0.101479655000000E+03
0.475215480000000E+02,-0.101477396000000E+03
0.475228970000000E+02,-0.101475880000000E+03
0.475239710000000E+02,-0.101475779000000E+03
0.475249290000000E+02,-0.101478546000000E+03
0.475267570000000E+02,-0.101478244000000E+03
0.475276940000000E+02,-0.101475108000000E+03
0.475296370000000E+02,-0.101473759000000E+03
0.475316470000000E+02,-0.101473524000000E+03
0.475337250000000E+02,-0.101476293000000E+03
0.475323540000000E+02,-0.101478687000000E+03
0.475336770000000E+02,-0.101482668000000E+03
0.475328770000000E+02,-0.101484421000000E+03
0.475299970000000E+02,-0.101487286000000E+03
0.475281220000000E+02,-0.101492174000000E+03
0.475283940000000E+02,-0.101495480000000E+03
0.475273880000000E+02,-0.101497638000000E+03
0.475285530000000E+02,-0.101496492000000E+03
0.475292170000000E+02,-0.101494975000000E+03
0.475290360000000E+02,-0.101491703000000E+03
0.475317100000000E+02,-0.101487760000000E+03
0.475329900000000E+02,-0.101487626000000E+03
0.475346330000000E+02,-0.101490461000000E+03
0.475353420000000E+02,-0.101489214000000E+03
0.475344980000000E+02,-0.101486109000000E+03
0.475353670000000E+02,-0.101484592000000E+03
0.475360750000000E+02,-0.101484694000000E+03
0.475365320000000E+02,-0.101485403000000E+03
0.475395250000000E+02,-0.101483449000000E+03
0.475380640000000E+02,-0.101480209000000E+03
0.475382950000000E+02,-0.101475182000000E+03
0.475391860000000E+02,-0.101473462000000E+03
0.475401250000000E+02,-0.101467188000000E+03
0.475389820000000E+02,-0.101466715000000E+03
0.475390740000000E+02,-0.101465973000000E+03
0.475395540000000E+02,-0.101465534000000E+03
0.475411300000000E+02,-0.101465603000000E+03
0.475432320000000E+02,-0.101467257000000E+03
0.475439400000000E+02,-0.101467224000000E+03
0.475461100000000E+02,-0.101466921000000E+03
0.475472990000000E+02,-0.101465235000000E+03
0.475488980000000E+02,-0.101464831000000E+03
0.475509760000000E+02,-0.101467498000000E+03
0.475511810000000E+02,-0.101470839000000E+03
0.475499920000000E+02,-0.101471918000000E+03
