LAT,LON
0.425791830000000E+02,-0.978643460000000E+02
0.425762340000000E+02,-0.978585830000000E+02
0.425739250000000E+02,-0.978558270000000E+02
0.425726900000000E+02,-0.978564140000000E+02
0.425713400000000E+02,-0.978563820000000E+02
0.425646640000000E+02,-0.978534690000000E+02
0.425636570000000E+02,-0.978526330000000E+02
0.425635890000000E+02,-0.978510550000000E+02
0.425646870000000E+02,-0.978503440000000E+02
0.425648710000000E+02,-0.978491380000000E+02
0.425637280000000E+02,-0.978461360000000E+02
0.425618530000000E+02,-0.978431960000000E+02
0.425610760000000E+02,-0.978431330000000E+02
0.425608010000000E+02,-0.978445260000000E+02
0.425591760000000E+02,-0.978461950000000E+02
0.425556760000000E+02,-0.978478020000000E+02
0.425534580000000E+02,-0.978468420000000E+02
0.425529550000000E+02,-0.978461920000000E+02
0.425531390000000E+02,-0.978415520000000E+02
0.425539400000000E+02,-0.978414600000000E+02
0.425549230000000E+02,-0.978422640000000E+02
0.425563410000000E+02,-0.978418630000000E+02
0.425584920000000E+02,-0.978398840000000E+02
0.425592700000000E+02,-0.978380080000000E+02
0.425592700000000E+02,-0.978380080000000E+02
0.425590650000000E+02,-0.978345010000000E+02
0.425573270000000E+02,-0.978324270000000E+02
0.425562750000000E+02,-0.978326440000000E+02
0.425539180000000E+02,-0.978357370000000E+02
0.425514020000000E+02,-0.978349930000000E+02
0.425505560000000E+02,-0.978342510000000E+02
0.425503520000000E+02,-0.978233930000000E+02
0.425513120000000E+02,-0.978227120000000E+02
0.425535620000000E+02,-0.978225030000000E+02
0.425545380000000E+02,-0.978156910000000E+02
0.425518620000000E+02,-0.978091310000000E+02
0.425511520000000E+02,-0.978085130000000E+02
0.425500550000000E+02,-0.978084820000000E+02
0.425500310000000E+02,-0.977987070000000E+02
0.425483840000000E+02,-0.977986770000000E+02
0.425457310000000E+02,-0.978010900000000E+02
0.425391670000000E+02,-0.978010910000000E+02
0.425395300000000E+02,-0.977204710000000E+02
0.425250060000000E+02,-0.977203090000000E+02
0.425251010000000E+02,-0.977009530000000E+02
0.425105550000000E+02,-0.977008570000000E+02
0.425105550000000E+02,-0.977008570000000E+02
0.424962550000000E+02,-0.977008830000000E+02
0.424961150000000E+02,-0.977204150000000E+02
0.424817050000000E+02,-0.977203770000000E+02
0.424817540000000E+02,-0.976912060000000E+02
0.424743920000000E+02,-0.976912880000000E+02
0.424743930000000E+02,-0.976862370000000E+02
0.424780180000000E+02,-0.976862260000000E+02
0.424779460000000E+02,-0.976813350000000E+02
0.424671160000000E+02,-0.976811990000000E+02
0.424670670000000E+02,-0.977204010000000E+02
0.424526350000000E+02,-0.977202710000000E+02
0.424526350000000E+02,-0.977202710000000E+02
0.424525570000000E+02,-0.977595030000000E+02
0.424380800000000E+02,-0.977595160000000E+02
0.424378400000000E+02,-0.978343960000000E+02
0.423795820000000E+02,-0.978345930000000E+02
0.423795090000000E+02,-0.978525780000000E+02
0.423827790000000E+02,-0.978543390000000E+02
0.423940780000000E+02,-0.978541300000000E+02
0.423940520000000E+02,-0.978619680000000E+02
0.423939780000000E+02,-0.978737860000000E+02
0.423794080000000E+02,-0.978735870000000E+02
0.423791910000000E+02,-0.979128260000000E+02
0.423740500000000E+02,-0.979127760000000E+02
0.423687430000000E+02,-0.979173620000000E+02
0.423672110000000E+02,-0.979201380000000E+02
0.423665250000000E+02,-0.979243020000000E+02
0.423681040000000E+02,-0.979274540000000E+02
0.423790790000000E+02,-0.979275100000000E+02
0.423790560000000E+02,-0.979512340000000E+02
0.423790560000000E+02,-0.979512340000000E+02
0.424225840000000E+02,-0.979515520000000E+02
0.424221260000000E+02,-0.980490480000000E+02
0.424076930000000E+02,-0.980490820000000E+02
0.424076710000000E+02,-0.980676930000000E+02
0.424076710000000E+02,-0.980676930000000E+02
0.424138480000000E+02,-0.980676540000000E+02
0.424165000000000E+02,-0.980700400000000E+02
0.424182150000000E+02,-0.980728810000000E+02
0.424184890000000E+02,-0.980758140000000E+02
0.424224220000000E+02,-0.980788090000000E+02
0.424343620000000E+02,-0.980807570000000E+02
0.424372860000000E+02,-0.980799230000000E+02
0.424373710000000E+02,-0.981124970000000E+02
0.424373370000000E+02,-0.981194840000000E+02
0.424373110000000E+02,-0.981248310000000E+02
0.424373110000000E+02,-0.981248310000000E+02
0.424459910000000E+02,-0.981294480000000E+02
0.424481640000000E+02,-0.981294460000000E+02
0.424531490000000E+02,-0.981268770000000E+02
0.424564670000000E+02,-0.981245640000000E+02
0.424576570000000E+02,-0.981223110000000E+02
0.424577950000000E+02,-0.981206430000000E+02
0.424597870000000E+02,-0.981171540000000E+02
0.424656670000000E+02,-0.981154290000000E+02
0.424773300000000E+02,-0.981197020000000E+02
0.424796850000000E+02,-0.981231960000000E+02
0.424810110000000E+02,-0.981229810000000E+02
0.424850160000000E+02,-0.981195850000000E+02
0.424880120000000E+02,-0.981207310000000E+02
0.424893610000000E+02,-0.981223100000000E+02
0.424912370000000E+02,-0.981203940000000E+02
0.424947390000000E+02,-0.981149270000000E+02
0.424955710000000E+02,-0.981085030000000E+02
0.424955710000000E+02,-0.981085030000000E+02
0.424945590000000E+02,-0.981084670000000E+02
0.424850690000000E+02,-0.981020020000000E+02
0.424811600000000E+02,-0.980929760000000E+02
0.424808660000000E+02,-0.980723950000000E+02
0.424953450000000E+02,-0.980723040000000E+02
0.424956840000000E+02,-0.980334220000000E+02
0.425110560000000E+02,-0.980333450000000E+02
0.425106850000000E+02,-0.980326130000000E+02
0.425101180000000E+02,-0.980325560000000E+02
0.425102870000000E+02,-0.979944200000000E+02
0.424958800000000E+02,-0.979944360000000E+02
0.424957330000000E+02,-0.979359580000000E+02
0.425100270000000E+02,-0.979357130000000E+02
0.425102310000000E+02,-0.979550960000000E+02
0.425247790000000E+02,-0.979550690000000E+02
0.425247800000000E+02,-0.979357740000000E+02
0.425392580000000E+02,-0.979357430000000E+02
0.425391420000000E+02,-0.979159790000000E+02
0.425443800000000E+02,-0.979158850000000E+02
0.425442190000000E+02,-0.979146780000000E+02
0.425394140000000E+02,-0.979064530000000E+02
0.425369460000000E+02,-0.979039430000000E+02
0.425389300000000E+02,-0.978946080000000E+02
0.425496790000000E+02,-0.978919710000000E+02
0.425503640000000E+02,-0.978901450000000E+02
0.425503250000000E+02,-0.978874240000000E+02
0.425522150000000E+02,-0.978858440000000E+02
0.425674890000000E+02,-0.978774140000000E+02
0.425727740000000E+02,-0.978725980000000E+02
0.425769860000000E+02,-0.978659790000000E+02
0.425791830000000E+02,-0.978643460000000E+02
END,END
