LAT,LON
0.431863170000000E+02,-0.711383050000000E+02
0.431876500000000E+02,-0.711386930000000E+02
0.431956300000000E+02,-0.711318740000000E+02
0.431941480000000E+02,-0.711305410000000E+02
0.431934160000000E+02,-0.711290100000000E+02
0.431963850000000E+02,-0.711216950000000E+02
0.431963850000000E+02,-0.711216950000000E+02
0.431400360000000E+02,-0.710299010000000E+02
0.431391890000000E+02,-0.710285040000000E+02
0.431380860000000E+02,-0.710266880000000E+02
0.431380860000000E+02,-0.710266880000000E+02
0.431278980000000E+02,-0.710350020000000E+02
0.430875920000000E+02,-0.710683070000000E+02
0.430874300000000E+02,-0.710684370000000E+02
0.430817480000000E+02,-0.710729840000000E+02
0.430817480000000E+02,-0.710729840000000E+02
0.430813750000000E+02,-0.711219040000000E+02
0.430625750000000E+02,-0.711308330000000E+02
0.430625750000000E+02,-0.711308330000000E+02
0.430770600000000E+02,-0.712130720000000E+02
0.430770600000000E+02,-0.712130720000000E+02
0.430926610000000E+02,-0.712030840000000E+02
0.430923330000000E+02,-0.712017920000000E+02
0.431096830000000E+02,-0.711895680000000E+02
0.431122570000000E+02,-0.712062900000000E+02
0.431250830000000E+02,-0.711945940000000E+02
0.431316900000000E+02,-0.711884930000000E+02
0.431215790000000E+02,-0.711726420000000E+02
0.431355130000000E+02,-0.711595540000000E+02
0.431439280000000E+02,-0.711770880000000E+02
0.431670190000000E+02,-0.711566590000000E+02
0.431670190000000E+02,-0.711566590000000E+02
0.431765060000000E+02,-0.711482740000000E+02
0.431765060000000E+02,-0.711482740000000E+02
0.431753600000000E+02,-0.711438970000000E+02
0.431735520000000E+02,-0.711398990000000E+02
0.431805930000000E+02,-0.711379570000000E+02
0.431842520000000E+02,-0.711377360000000E+02
0.431863170000000E+02,-0.711383050000000E+02
END,END
