LAT,LON
0.411332360000000E+02,-0.746331200000000E+02
0.411317470000000E+02,-0.746295500000000E+02
0.411331880000000E+02,-0.746275510000000E+02
0.411364580000000E+02,-0.746250250000000E+02
0.411376260000000E+02,-0.746234190000000E+02
0.411390690000000E+02,-0.746209080000000E+02
0.411396890000000E+02,-0.746161880000000E+02
0.411393010000000E+02,-0.746134940000000E+02
0.411378160000000E+02,-0.746100120000000E+02
0.411364430000000E+02,-0.746104050000000E+02
0.411352540000000E+02,-0.746064090000000E+02
0.411389200000000E+02,-0.745937610000000E+02
0.411444870000000E+02,-0.745798710000000E+02
0.411369550000000E+02,-0.745767520000000E+02
0.411368030000000E+02,-0.745700280000000E+02
0.411368030000000E+02,-0.745700280000000E+02
0.411250960000000E+02,-0.745714970000000E+02
0.410955960000000E+02,-0.745765040000000E+02
0.410922620000000E+02,-0.745789440000000E+02
0.410850960000000E+02,-0.745875040000000E+02
0.410854960000000E+02,-0.745888040000000E+02
0.410854960000000E+02,-0.745888040000000E+02
0.410940960000000E+02,-0.746015040000000E+02
0.410940960000000E+02,-0.746015040000000E+02
0.411186960000000E+02,-0.746387060000000E+02
0.411186960000000E+02,-0.746387060000000E+02
0.411317960000000E+02,-0.746344220000000E+02
0.411332360000000E+02,-0.746331200000000E+02
END,END
