LAT,LON
0.411283470000000E+02,-0.744857460000000E+02
0.411277740000000E+02,-0.744819620000000E+02
0.411311310000000E+02,-0.744758130000000E+02
0.411333960000000E+02,-0.744755010000000E+02
0.411333960000000E+02,-0.744755010000000E+02
0.411326870000000E+02,-0.744750650000000E+02
0.411305740000000E+02,-0.744756900000000E+02
0.411134840000000E+02,-0.744853800000000E+02
0.411103330000000E+02,-0.744876990000000E+02
0.411101120000000E+02,-0.744883710000000E+02
0.411107760000000E+02,-0.744912700000000E+02
0.411126960000000E+02,-0.744942010000000E+02
0.411152240000000E+02,-0.744938030000000E+02
0.411158340000000E+02,-0.744907970000000E+02
0.411168100000000E+02,-0.744898960000000E+02
0.411264540000000E+02,-0.744850900000000E+02
0.411283470000000E+02,-0.744857460000000E+02
END,END
0.410736960000000E+02,-0.744471990000000E+02
0.410724680000000E+02,-0.744519920000000E+02
0.410794040000000E+02,-0.744550440000000E+02
0.410802430000000E+02,-0.744562800000000E+02
0.410784960000000E+02,-0.744622000000000E+02
0.410784960000000E+02,-0.744622000000000E+02
0.410808150000000E+02,-0.744584170000000E+02
0.410866585666992E+02,-0.744570111371094E+02
0.410888640000000E+02,-0.744569820000000E+02
0.410941960000000E+02,-0.744521000000000E+02
0.410869190000000E+02,-0.744548920000000E+02
0.410857960000000E+02,-0.744545000000000E+02
0.410848510000000E+02,-0.744515030000000E+02
0.410905960000000E+02,-0.744478720000000E+02
0.410962960000000E+02,-0.744418990000000E+02
0.410962960000000E+02,-0.744418990000000E+02
0.410948300000000E+02,-0.744417220000000E+02
0.410928850000000E+02,-0.744399980000000E+02
0.410883830000000E+02,-0.744425770000000E+02
0.410821430000000E+02,-0.744497940000000E+02
0.410790980000000E+02,-0.744510150000000E+02
0.410781680000000E+02,-0.744506790000000E+02
0.410775800000000E+02,-0.744491380000000E+02
0.410776410000000E+02,-0.744463460000000E+02
0.410785720000000E+02,-0.744454150000000E+02
0.410786020000000E+02,-0.744441180000000E+02
0.410746430000000E+02,-0.744456900000000E+02
0.410736960000000E+02,-0.744471990000000E+02
END,END
0.410422960000000E+02,-0.742972930000000E+02
0.410405930000000E+02,-0.742989550000000E+02
0.410394790000000E+02,-0.743032890000000E+02
0.410395930000000E+02,-0.743053030000000E+02
0.410401730000000E+02,-0.743057300000000E+02
0.410423860000000E+02,-0.743051200000000E+02
0.410444230000000E+02,-0.743062030000000E+02
0.410447130000000E+02,-0.743077150000000E+02
0.410411500000000E+02,-0.743177400000000E+02
0.410411500000000E+02,-0.743177400000000E+02
0.410402050000000E+02,-0.743182890000000E+02
0.410399990000000E+02,-0.743207460000000E+02
0.410414960000000E+02,-0.743232940000000E+02
0.410447200000000E+02,-0.743217530000000E+02
0.410463530000000E+02,-0.743195100000000E+02
0.410557960000000E+02,-0.743150940000000E+02
0.410563960000000E+02,-0.743144940000000E+02
0.410553100000000E+02,-0.743143070000000E+02
0.410501600000000E+02,-0.743151460000000E+02
0.410481690000000E+02,-0.743147030000000E+02
0.410489930000000E+02,-0.743109040000000E+02
0.410499390000000E+02,-0.743094240000000E+02
0.410546160000000E+02,-0.743077450000000E+02
0.410615960000000E+02,-0.743013930000000E+02
0.410627640000000E+02,-0.742997790000000E+02
0.410637020000000E+02,-0.742971090000000E+02
0.410658415383789E+02,-0.742963134095703E+02
0.410700960000000E+02,-0.742962930000000E+02
0.410707750000000E+02,-0.742904100000000E+02
0.410694550000000E+02,-0.742885180000000E+02
0.410640230000000E+02,-0.742932480000000E+02
0.410472150000000E+02,-0.742931570000000E+02
0.410422960000000E+02,-0.742972930000000E+02
END,END
0.410492970000000E+02,-0.744059970000000E+02
0.410490970000000E+02,-0.744063970000000E+02
0.410490970000000E+02,-0.744063970000000E+02
0.410493830000000E+02,-0.744095410000000E+02
0.410482920000000E+02,-0.744119970000000E+02
0.410483530000000E+02,-0.744126690000000E+02
0.410489940000000E+02,-0.744129280000000E+02
0.410616880000000E+02,-0.744131720000000E+02
0.410678680000000E+02,-0.744117230000000E+02
0.410704010000000E+02,-0.744102270000000E+02
0.410694240000000E+02,-0.744062140000000E+02
0.410684710000000E+02,-0.744051150000000E+02
0.410611390000000E+02,-0.744075570000000E+02
0.410583620000000E+02,-0.744097240000000E+02
0.410529690000000E+02,-0.744067010000000E+02
0.410492970000000E+02,-0.744059970000000E+02
END,END
0.410133970000000E+02,-0.742669920000000E+02
0.410117010000000E+02,-0.742679180000000E+02
0.410076650000000E+02,-0.742730600000000E+02
0.410064970000000E+02,-0.742738920000000E+02
0.409996470000000E+02,-0.742756390000000E+02
0.409945050000000E+02,-0.742744940000000E+02
0.409929710000000E+02,-0.742760510000000E+02
0.409919950000000E+02,-0.742783550000000E+02
0.409922970000000E+02,-0.742784920000000E+02
0.409922970000000E+02,-0.742784920000000E+02
0.409940470000000E+02,-0.742771800000000E+02
0.409964120000000E+02,-0.742764020000000E+02
0.409980070000000E+02,-0.742764470000000E+02
0.410001970000000E+02,-0.742774920000000E+02
0.410014320000000E+02,-0.742805060000000E+02
0.410029350000000E+02,-0.742822460000000E+02
0.410039880000000E+02,-0.742824290000000E+02
0.410054760000000E+02,-0.742809640000000E+02
