LAT,LON
0.367254940000000E+02,-0.107197283000000E+03
0.367267530000000E+02,-0.107196885000000E+03
0.367303010000000E+02,-0.107193332000000E+03
0.367311940000000E+02,-0.107188214000000E+03
0.367267310000000E+02,-0.107182527000000E+03
0.367241450000000E+02,-0.107182726000000E+03
0.367203230000000E+02,-0.107181788000000E+03
0.367200480000000E+02,-0.107178945000000E+03
0.367185600000000E+02,-0.107175932000000E+03
0.367145100000000E+02,-0.107171582000000E+03
0.367128840000000E+02,-0.107170672000000E+03
0.367114190000000E+02,-0.107168455000000E+03
0.367068320000000E+02,-0.107132130000000E+03
0.367068070000000E+02,-0.107128292000000E+03
0.367093230000000E+02,-0.107119438000000E+03
0.367087760000000E+02,-0.107115116000000E+03
0.367075640000000E+02,-0.107113126000000E+03
0.367042470000000E+02,-0.107110025000000E+03
0.366959870000000E+02,-0.107103540000000E+03
0.366943630000000E+02,-0.107101691000000E+03
0.366926250000000E+02,-0.107097115000000E+03
0.366939080000000E+02,-0.107092000000000E+03
0.366943920000000E+02,-0.107078131000000E+03
0.366913260000000E+02,-0.107066391000000E+03
0.366906850000000E+02,-0.107053631000000E+03
0.366909370000000E+02,-0.107048487000000E+03
0.366933620000000E+02,-0.107041836000000E+03
0.366937040000000E+02,-0.107036606000000E+03
0.366956490000000E+02,-0.107034218000000E+03
0.367024690000000E+02,-0.107028162000000E+03
0.366924950000000E+02,-0.107029145000000E+03
0.366884260000000E+02,-0.107033481000000E+03
0.366813460000000E+02,-0.107033781000000E+03
0.366738140000000E+02,-0.107032834000000E+03
0.366716610000000E+02,-0.107027748000000E+03
0.366712940000000E+02,-0.107024225000000E+03
0.366672850000000E+02,-0.107014907000000E+03
0.366636670000000E+02,-0.107010904000000E+03
0.366639630000000E+02,-0.107008005000000E+03
0.366661130000000E+02,-0.107004481000000E+03
0.366655860000000E+02,-0.106992387000000E+03
0.366665960000000E+02,-0.106985342000000E+03
0.366659560000000E+02,-0.106982870000000E+03
0.366641030000000E+02,-0.106980056000000E+03
0.366622040000000E+02,-0.106978890000000E+03
0.366593880000000E+02,-0.106978917000000E+03
0.366539870000000E+02,-0.106976471000000E+03
0.366473280000000E+02,-0.106972576000000E+03
0.366439190000000E+02,-0.106968996000000E+03
0.366419960000000E+02,-0.106968029000000E+03
0.366408060000000E+02,-0.106968114000000E+03
0.366341440000000E+02,-0.106971122000000E+03
0.366323350000000E+02,-0.106973223000000E+03
0.366326780000000E+02,-0.106974217000000E+03
0.366322890000000E+02,-0.106974444000000E+03
0.366268640000000E+02,-0.106973902000000E+03
0.366287430000000E+02,-0.106966207000000E+03
0.366286080000000E+02,-0.106954393000000E+03
0.366258390000000E+02,-0.106946754000000E+03
0.366208530000000E+02,-0.106938749000000E+03
0.366220210000000E+02,-0.106935541000000E+03
0.366236000000000E+02,-0.106920150000000E+03
0.366209210000000E+02,-0.106920519000000E+03
0.366193880000000E+02,-0.106919838000000E+03
0.366138950000000E+02,-0.106913519000000E+03
0.366093600000000E+02,-0.106905267000000E+03
0.366050550000000E+02,-0.106900779000000E+03
0.366027190000000E+02,-0.106894517000000E+03
0.366019610000000E+02,-0.106887733000000E+03
0.366044540000000E+02,-0.106881429000000E+03
0.366023670000000E+02,-0.106871492000000E+03
0.366004920000000E+02,-0.106867630000000E+03
0.365974040000000E+02,-0.106863908000000E+03
0.365936280000000E+02,-0.106861465000000E+03
0.365931030000000E+02,-0.106857519000000E+03
0.365982770000000E+02,-0.106855563000000E+03
0.366009780000000E+02,-0.106855934000000E+03
0.366041830000000E+02,-0.106855056000000E+03
0.366089690000000E+02,-0.106851566000000E+03
0.366130680000000E+02,-0.106847338000000E+03
0.366121770000000E+02,-0.106840438000000E+03
0.366126590000000E+02,-0.106836151000000E+03
0.366136670000000E+02,-0.106832829000000E+03
0.366140580000000E+02,-0.106826355000000E+03
0.366140350000000E+02,-0.106824140000000E+03
0.366165770000000E+02,-0.106813180000000E+03
0.366168290000000E+02,-0.106806706000000E+03
0.366229860000000E+02,-0.106804401000000E+03
0.366261860000000E+02,-0.106801574000000E+03
0.366268050000000E+02,-0.106799108000000E+03
0.366297790000000E+02,-0.106795949000000E+03
0.366357580000000E+02,-0.106787047000000E+03
0.366384910000000E+02,-0.106794933000000E+03
0.366388170000000E+02,-0.106794659000000E+03
0.366392970000000E+02,-0.106793466000000E+03
0.366407830000000E+02,-0.106776908000000E+03
0.366407830000000E+02,-0.106776908000000E+03
0.366359060000000E+02,-0.106776510000000E+03
0.366284650000000E+02,-0.106773304000000E+03
0.366236230000000E+02,-0.106772175000000E+03
0.366219280000000E+02,-0.106770642000000E+03
0.366222570000000E+02,-0.106768792000000E+03
0.366136080000000E+02,-0.106764783000000E+03
0.366116720000000E+02,-0.106767750000000E+03
0.366033160000000E+02,-0.106766335000000E+03
0.365975680000000E+02,-0.106761257000000E+03
0.365932390000000E+02,-0.106755610000000E+03
0.365909710000000E+02,-0.106754294000000E+03
0.365856110000000E+02,-0.106754353000000E+03
0.365856110000000E+02,-0.106744854000000E+03
0.365889990000000E+02,-0.106744854000000E+03
0.365889990000000E+02,-0.106731781000000E+03
0.365845210000000E+02,-0.106729768000000E+03
0.365845210000000E+02,-0.106729768000000E+03
0.365822550000000E+02,-0.106728960000000E+03
0.365808160000000E+02,-0.106725417000000E+03
0.365786420000000E+02,-0.106723855000000E+03
0.365598030000000E+02,-0.106717772000000E+03
0.365582920000000E+02,-0.106718368000000E+03
0.365559100000000E+02,-0.106722651000000E+03
0.365547650000000E+02,-0.106723558000000E+03
0.365540100000000E+02,-0.106723558000000E+03
0.365532100000000E+02,-0.106716691000000E+03
0.365556380000000E+02,-0.106711415000000E+03
0.365549750000000E+02,-0.106705541000000E+03
0.365552050000000E+02,-0.106697767000000E+03
0.365567630000000E+02,-0.106687637000000E+03
0.365580450000000E+02,-0.106682814000000E+03
0.365587770000000E+02,-0.106682104000000E+03
0.365606310000000E+02,-0.106682558000000E+03
0.365629670000000E+02,-0.106683949000000E+03
0.365658960000000E+02,-0.106675207000000E+03
0.365649800000000E+02,-0.106669901000000E+03
0.365636750000000E+02,-0.106669674000000E+03
0.365634000000000E+02,-0.106669135000000E+03
0.365637200000000E+02,-0.106665758000000E+03
0.365663740000000E+02,-0.106655910000000E+03
0.365675180000000E+02,-0.106654349000000E+03
0.365662800000000E+02,-0.106647595000000E+03
0.365643790000000E+02,-0.106644815000000E+03
0.365625200000000E+02,-0.106633210000000E+03
0.365625200000000E+02,-0.106633210000000E+03
0.365579640000000E+02,-0.106632220000000E+03
0.365545520000000E+02,-0.106630633000000E+03
0.365520100000000E+02,-0.106628422000000E+03
0.365504270000000E+02,-0.106624659000000E+03
0.365438110000000E+02,-0.106625022000000E+03
0.365423940000000E+02,-0.106626158000000E+03
0.365410670000000E+02,-0.106628911000000E+03
0.365400600000000E+02,-0.106629054000000E+03
0.365383880000000E+02,-0.106627381000000E+03
0.365373560000000E+02,-0.106623599000000E+03
0.365333960000000E+02,-0.106621922000000E+03
0.365299390000000E+02,-0.106621777000000E+03
0.365156760000000E+02,-0.106623099000000E+03
0.365094050000000E+02,-0.106625970000000E+03
0.365094050000000E+02,-0.106625970000000E+03
0.364936280000000E+02,-0.106626172000000E+03
0.364881130000000E+02,-0.106630570000000E+03
0.364864660000000E+02,-0.106633406000000E+03
0.364831260000000E+02,-0.106639448000000E+03
0.364816850000000E+02,-0.106644098000000E+03
0.364811370000000E+02,-0.106648066000000E+03
0.364774300000000E+02,-0.106653029000000E+03
0.364741330000000E+02,-0.106652945000000E+03
0.364735610000000E+02,-0.106653484000000E+03
0.364745470000000E+02,-0.106659294000000E+03
0.364734940000000E+02,-0.106661250000000E+03
0.364719380000000E+02,-0.106662781000000E+03
0.364686420000000E+02,-0.106668564000000E+03
0.364656440000000E+02,-0.106675480000000E+03
0.364668570000000E+02,-0.106680269000000E+03
0.364667890000000E+02,-0.106686108000000E+03
0.364613380000000E+02,-0.106705550000000E+03
0.364588430000000E+02,-0.106704614000000E+03
0.364575390000000E+02,-0.106703168000000E+03
0.364511290000000E+02,-0.106700957000000E+03
0.364454050000000E+02,-0.106705177000000E+03
0.364348970000000E+02,-0.106707356000000E+03
0.364326760000000E+02,-0.106707157000000E+03
0.364254880000000E+02,-0.106704889000000E+03
0.364109750000000E+02,-0.106698230000000E+03
0.364093500000000E+02,-0.106698570000000E+03
0.364032380000000E+02,-0.106695284000000E+03
0.364011770000000E+02,-0.106693669000000E+03
0.363931880000000E+02,-0.106690299000000E+03
0.363886780000000E+02,-0.106690497000000E+03
0.363840530000000E+02,-0.106686392000000E+03
0.363826570000000E+02,-0.106683051000000E+03
0.363778030000000E+02,-0.106683278000000E+03
0.363732910000000E+02,-0.106681952000000E+03
0.363723980000000E+02,-0.106681046000000E+03
0.363682770000000E+02,-0.106681273000000E+03
0.363660720000000E+02,-0.106682487000000E+03
0.363660720000000E+02,-0.106682487000000E+03
0.363696450000000E+02,-0.106689006000000E+03
0.363679790000000E+02,-0.106693359000000E+03
0.363680930000000E+02,-0.106699303000000E+03
0.363690300000000E+02,-0.106708050000000E+03
0.363710650000000E+02,-0.106717930000000E+03
0.363724840000000E+02,-0.106719544000000E+03
0.363744750000000E+02,-0.106719913000000E+03
0.363755330000000E+02,-0.106720815000000E+03
0.363766990000000E+02,-0.106724213000000E+03
0.363766060000000E+02,-0.106729422000000E+03
0.363836070000000E+02,-0.106740156000000E+03
0.363871540000000E+02,-0.106742650000000E+03
0.363894430000000E+02,-0.106743133000000E+03
0.363929440000000E+02,-0.106746420000000E+03
0.364005260000000E+02,-0.106757931000000E+03
0.364030700000000E+02,-0.106764329000000E+03
0.364030700000000E+02,-0.106766566000000E+03
0.364016750000000E+02,-0.106769257000000E+03
0.363946040000000E+02,-0.106777529000000E+03
0.363943980000000E+02,-0.106779199000000E+03
0.363960710000000E+02,-0.106783191000000E+03
0.363931870000000E+02,-0.106786986000000E+03
0.363921820000000E+02,-0.106801908000000E+03
0.363907170000000E+02,-0.106810175000000E+03
0.363899620000000E+02,-0.106811902000000E+03
0.363815140000000E+02,-0.106819348000000E+03
0.363750150000000E+02,-0.106827701000000E+03
0.363731940000000E+02,-0.106831581000000E+03
0.363714310000000E+02,-0.106833307000000E+03
0.363698280000000E+02,-0.106834240000000E+03
0.363668980000000E+02,-0.106834155000000E+03
0.363638530000000E+02,-0.106834804000000E+03
0.363599150000000E+02,-0.106838963000000E+03
0.363535500000000E+02,-0.106842102000000E+03
0.363511690000000E+02,-0.106842158000000E+03
0.363489260000000E+02,-0.106840600000000E+03
0.363441880000000E+02,-0.106839863000000E+03
0.363382120000000E+02,-0.106842350000000E+03
0.363334980000000E+02,-0.106840877000000E+03
0.363318260000000E+02,-0.106838953000000E+03
0.363293780000000E+02,-0.106832671000000E+03
0.363257620000000E+02,-0.106829021000000E+03
0.363218020000000E+02,-0.106827775000000E+03
0.363200390000000E+02,-0.106828680000000E+03
0.363194670000000E+02,-0.106828256000000E+03
0.363173610000000E+02,-0.106822485000000E+03
0.363160790000000E+02,-0.106820363000000E+03
0.363093950000000E+02,-0.106823445000000E+03
0.363090280000000E+02,-0.106825595000000E+03
0.363041520000000E+02,-0.106829328000000E+03
0.363003290000000E+02,-0.106831137000000E+03
0.362923620000000E+02,-0.106832266000000E+03
0.362742760000000E+02,-0.106837944000000E+03
0.362711400000000E+02,-0.106840515000000E+03
0.362714820000000E+02,-0.106843003000000E+03
0.362693520000000E+02,-0.106846903000000E+03
0.362587960000000E+02,-0.106854842000000E+03
0.362484180000000E+02,-0.106857073000000E+03
0.362456470000000E+02,-0.106861056000000E+03
0.362431950000000E+02,-0.106865773000000E+03
0.362431020000000E+02,-0.106868091000000E+03
0.362457830000000E+02,-0.106863825000000E+03
