LAT,LON
0.369951690000000E+02,-0.105220613000000E+03
0.369929780000000E+02,-0.105219413000000E+03
0.369867110000000E+02,-0.105223472000000E+03
0.369859210000000E+02,-0.105230197000000E+03
0.369819520000000E+02,-0.105236169000000E+03
0.369732270000000E+02,-0.105237431000000E+03
0.369717200000000E+02,-0.105237202000000E+03
0.369691890000000E+02,-0.105235076000000E+03
0.369666470000000E+02,-0.105234456000000E+03
0.369638620000000E+02,-0.105234711000000E+03
0.369623430000000E+02,-0.105236155000000E+03
0.369588780000000E+02,-0.105233515000000E+03
0.369574880000000E+02,-0.105231321000000E+03
0.369545600000000E+02,-0.105228438000000E+03
0.369471230000000E+02,-0.105227878000000E+03
0.369462560000000E+02,-0.105227323000000E+03
0.369453000000000E+02,-0.105225219000000E+03
0.369415690000000E+02,-0.105222242000000E+03
0.369385630000000E+02,-0.105220906000000E+03
0.369359060000000E+02,-0.105222041000000E+03
0.369342710000000E+02,-0.105221016000000E+03
0.369342350000000E+02,-0.105217085000000E+03
0.369323550000000E+02,-0.105213088000000E+03
0.369231820000000E+02,-0.105211713000000E+03
0.369197280000000E+02,-0.105211793000000E+03
0.369176380000000E+02,-0.105208964000000E+03
0.369164580000000E+02,-0.105202005000000E+03
0.369156280000000E+02,-0.105200117000000E+03
0.369131790000000E+02,-0.105200294000000E+03
0.369071860000000E+02,-0.105203769000000E+03
0.369068400000000E+02,-0.105205144000000E+03
0.369018640000000E+02,-0.105207168000000E+03
0.368898830000000E+02,-0.105213446000000E+03
0.368829960000000E+02,-0.105215403000000E+03
0.368804630000000E+02,-0.105217793000000E+03
0.368742730000000E+02,-0.105221492000000E+03
0.368663470000000E+02,-0.105222664000000E+03
0.368602680000000E+02,-0.105224406000000E+03
0.368573430000000E+02,-0.105225602000000E+03
0.368553120000000E+02,-0.105227078000000E+03
0.368477100000000E+02,-0.105229372000000E+03
0.368422500000000E+02,-0.105229328000000E+03
0.368370210000000E+02,-0.105226868000000E+03
0.368351730000000E+02,-0.105225186000000E+03
0.368255660000000E+02,-0.105224074000000E+03
0.368222770000000E+02,-0.105224439000000E+03
0.368192090000000E+02,-0.105228110000000E+03
0.368119960000000E+02,-0.105233438000000E+03
0.368072620000000E+02,-0.105233413000000E+03
0.368046820000000E+02,-0.105226723000000E+03
0.368034160000000E+02,-0.105226374000000E+03
0.368009650000000E+02,-0.105227318000000E+03
0.367956780000000E+02,-0.105230890000000E+03
0.367906670000000E+02,-0.105235303000000E+03
0.367882070000000E+02,-0.105235255000000E+03
0.367848990000000E+02,-0.105234054000000E+03
0.367848990000000E+02,-0.105234054000000E+03
0.367839380000000E+02,-0.105235596000000E+03
0.367840290000000E+02,-0.105236592000000E+03
0.367876210000000E+02,-0.105240267000000E+03
0.367941880000000E+02,-0.105249382000000E+03
0.367955190000000E+02,-0.105255064000000E+03
0.367952230000000E+02,-0.105258424000000E+03
0.367910360000000E+02,-0.105267908000000E+03
0.367903720000000E+02,-0.105268734000000E+03
0.367881280000000E+02,-0.105268479000000E+03
0.367869380000000E+02,-0.105269021000000E+03
0.367855640000000E+02,-0.105270274000000E+03
0.367825890000000E+02,-0.105275314000000E+03
0.367825210000000E+02,-0.105276139000000E+03
0.367846060000000E+02,-0.105280437000000E+03
0.367916150000000E+02,-0.105289772000000E+03
0.367946840000000E+02,-0.105294639000000E+03
0.367961180000000E+02,-0.105297912000000E+03
0.368021950000000E+02,-0.105299164000000E+03
0.368070030000000E+02,-0.105301384000000E+03
0.368110330000000E+02,-0.105305456000000E+03
0.368203760000000E+02,-0.105309812000000E+03
0.368240620000000E+02,-0.105310325000000E+03
0.368249620000000E+02,-0.105310008000000E+03
0.368294430000000E+02,-0.105314084000000E+03
0.368319610000000E+02,-0.105318670000000E+03
0.368323030000000E+02,-0.105328896000000E+03
0.368337430000000E+02,-0.105343310000000E+03
0.368377020000000E+02,-0.105349949000000E+03
0.368390960000000E+02,-0.105359578000000E+03
0.368386140000000E+02,-0.105362027000000E+03
0.368446320000000E+02,-0.105370948000000E+03
0.368472420000000E+02,-0.105380199000000E+03
0.368421150000000E+02,-0.105386726000000E+03
0.368392320000000E+02,-0.105389235000000E+03
0.368392320000000E+02,-0.105389235000000E+03
0.368387980000000E+02,-0.105392112000000E+03
0.368406310000000E+02,-0.105396669000000E+03
0.368411590000000E+02,-0.105401369000000E+03
0.368409080000000E+02,-0.105402651000000E+03
0.368372690000000E+02,-0.105411284000000E+03
0.368366760000000E+02,-0.105411749000000E+03
0.368338260000000E+02,-0.105411968000000E+03
0.368310080000000E+02,-0.105413891000000E+03
0.368307680000000E+02,-0.105414535000000E+03
0.368326600000000E+02,-0.105420279000000E+03
0.368320690000000E+02,-0.105423602000000E+03
0.368312830000000E+02,-0.105424881000000E+03
0.368256930000000E+02,-0.105426590000000E+03
0.368259880000000E+02,-0.105431051000000E+03
0.368233720000000E+02,-0.105436993000000E+03
0.368236350000000E+02,-0.105439759000000E+03
0.368248400000000E+02,-0.105440253000000E+03
0.368298550000000E+02,-0.105440033000000E+03
0.368310300000000E+02,-0.105439094000000E+03
0.368320590000000E+02,-0.105436049000000E+03
0.368347700000000E+02,-0.105435390000000E+03
0.368363030000000E+02,-0.105436755000000E+03
0.368387460000000E+02,-0.105437693000000E+03
0.368444620000000E+02,-0.105438922000000E+03
0.368448480000000E+02,-0.105438699000000E+03
0.368443790000000E+02,-0.105436576000000E+03
0.368448030000000E+02,-0.105435761000000E+03
0.368467090000000E+02,-0.105435548000000E+03
0.368475990000000E+02,-0.105437719000000E+03
0.368473470000000E+02,-0.105439115000000E+03
0.368441520000000E+02,-0.105442589000000E+03
0.368390580000000E+02,-0.105443160000000E+03
0.368369510000000E+02,-0.105446949000000E+03
0.368350730000000E+02,-0.105452788000000E+03
0.368346820000000E+02,-0.105461048000000E+03
0.368354370000000E+02,-0.105464011000000E+03
0.368383210000000E+02,-0.105467572000000E+03
0.368390310000000E+02,-0.105469595000000E+03
0.368403560000000E+02,-0.105476888000000E+03
0.368430080000000E+02,-0.105487145000000E+03
0.368526890000000E+02,-0.105496098000000E+03
0.368662890000000E+02,-0.105501312000000E+03
0.368697240000000E+02,-0.105504501000000E+03
0.368739180000000E+02,-0.105513048000000E+03
0.368750240000000E+02,-0.105514230000000E+03
0.368814110000000E+02,-0.105516205000000E+03
0.368843890000000E+02,-0.105518512000000E+03
0.368901380000000E+02,-0.105526235000000E+03
0.368900240000000E+02,-0.105531052000000E+03
0.368881930000000E+02,-0.105534160000000E+03
0.368875760000000E+02,-0.105536583000000E+03
0.368878740000000E+02,-0.105540431000000E+03
0.368934860000000E+02,-0.105553570000000E+03
0.369008820000000E+02,-0.105561952000000E+03
0.369035820000000E+02,-0.105569564000000E+03
0.369035820000000E+02,-0.105569564000000E+03
0.369407210000000E+02,-0.105552225000000E+03
0.369406520000000E+02,-0.105548973000000E+03
0.369389600000000E+02,-0.105546623000000E+03
0.369431400000000E+02,-0.105539447000000E+03
0.369439700000000E+02,-0.105538590000000E+03
0.369501290000000E+02,-0.105535906000000E+03
0.369580270000000E+02,-0.105529370000000E+03
0.369646410000000E+02,-0.105520380000000E+03
0.369728460000000E+02,-0.105517033000000E+03
0.369805340000000E+02,-0.105515966000000E+03
0.369833620000000E+02,-0.105518347000000E+03
0.369851550000000E+02,-0.105518261000000E+03
0.369881360000000E+02,-0.105517232000000E+03
0.369950670000000E+02,-0.105513541000000E+03
0.369957770000000E+02,-0.105512485000000E+03
0.369957770000000E+02,-0.105512485000000E+03
0.369958950000000E+02,-0.105508836000000E+03
0.369959910000000E+02,-0.105465182000000E+03
0.369960170000000E+02,-0.105447255000000E+03
0.369959940000000E+02,-0.105442459000000E+03
0.369958560000000E+02,-0.105419310000000E+03
0.369956050000000E+02,-0.105251296000000E+03
0.369951690000000E+02,-0.105220613000000E+03
END,END
