LAT,LON
0.354706310000000E+02,-0.104208691000000E+03
0.354696460000000E+02,-0.104208915000000E+03
0.354688818313477E+02,-0.104207094374023E+03
0.354686400000000E+02,-0.104200069000000E+03
0.354685250000000E+02,-0.104199285000000E+03
0.354681130000000E+02,-0.104199341000000E+03
0.354677230000000E+02,-0.104201524000000E+03
0.354679750000000E+02,-0.104202700000000E+03
0.354671187474609E+02,-0.104206141612305E+03
0.354660280000000E+02,-0.104207570000000E+03
0.354634170000000E+02,-0.104206562000000E+03
0.354608750000000E+02,-0.104207597000000E+03
0.354597530000000E+02,-0.104209416000000E+03
0.354604855361328E+02,-0.104211818504297E+03
0.354628890000000E+02,-0.104215099000000E+03
0.354622700000000E+02,-0.104216723000000E+03
0.354601170000000E+02,-0.104218765000000E+03
0.354576210000000E+02,-0.104219408000000E+03
0.354588810000000E+02,-0.104215966000000E+03
0.354585840000000E+02,-0.104213390000000E+03
0.354570040000000E+02,-0.104211319000000E+03
0.354554010000000E+02,-0.104210507000000E+03
0.354496770000000E+02,-0.104210197000000E+03
0.354492420000000E+02,-0.104206027000000E+03
0.354499990000000E+02,-0.104200934000000E+03
0.354471590000000E+02,-0.104196316000000E+03
0.354441360000000E+02,-0.104193320000000E+03
0.354417310000000E+02,-0.104191837000000E+03
0.354313110000000E+02,-0.104189850000000E+03
0.354300290000000E+02,-0.104192284000000E+03
0.354298680000000E+02,-0.104193711000000E+03
0.354249440000000E+02,-0.104194802000000E+03
0.354238220000000E+02,-0.104189850000000E+03
0.354168830000000E+02,-0.104190437000000E+03
0.354156920000000E+02,-0.104190913000000E+03
0.354139050000000E+02,-0.104198746000000E+03
0.354117080000000E+02,-0.104199306000000E+03
0.354104710000000E+02,-0.104198969000000E+03
0.354077920000000E+02,-0.104197150000000E+03
0.353991810000000E+02,-0.104189122000000E+03
0.353964780000000E+02,-0.104185598000000E+03
0.353954480000000E+02,-0.104183389000000E+03
0.353925390000000E+02,-0.104182047000000E+03
0.353847070000000E+02,-0.104185151000000E+03
0.353819130000000E+02,-0.104187612000000E+03
0.353791420000000E+02,-0.104192757000000E+03
0.353804700000000E+02,-0.104195190000000E+03
0.353805610000000E+02,-0.104204726000000E+03
0.353768270000000E+02,-0.104208556000000E+03
0.353746680000000E+02,-0.104212308000000E+03
0.353739210000000E+02,-0.104214879000000E+03
0.353742990000000E+02,-0.104215370000000E+03
0.353749120000000E+02,-0.104215266000000E+03
0.353779940000000E+02,-0.104212415000000E+03
0.353791850000000E+02,-0.104212975000000E+03
0.353790230000000E+02,-0.104218316000000E+03
0.353778310000000E+02,-0.104223908000000E+03
0.353767310000000E+02,-0.104225193000000E+03
0.353756550000000E+02,-0.104225584000000E+03
0.353714640000000E+02,-0.104225301000000E+03
0.353706850000000E+02,-0.104225608000000E+03
0.353691720000000E+02,-0.104231255000000E+03
0.353674990000000E+02,-0.104232121000000E+03
0.353670410000000E+02,-0.104232009000000E+03
0.353654400000000E+02,-0.104228709000000E+03
0.353664030000000E+02,-0.104225718000000E+03
0.353612270000000E+02,-0.104224961000000E+03
0.353607000000000E+02,-0.104225856000000E+03
0.353602640000000E+02,-0.104229126000000E+03
0.353620960000000E+02,-0.104231028000000E+03
0.353631490000000E+02,-0.104232930000000E+03
0.353653660000000E+02,-0.104241877000000E+03
0.353655020000000E+02,-0.104244338000000E+03
0.353646980000000E+02,-0.104249593000000E+03
0.353623840000000E+02,-0.104252477000000E+03
0.353600270000000E+02,-0.104254325000000E+03
0.353595930000000E+02,-0.104256338000000E+03
0.353595930000000E+02,-0.104256338000000E+03
0.353612400000000E+02,-0.104254855000000E+03
0.353633020000000E+02,-0.104254965000000E+03
0.353654550000000E+02,-0.104256949000000E+03
0.353656390000000E+02,-0.104257536000000E+03
0.353648610000000E+02,-0.104258738000000E+03
0.353657790000000E+02,-0.104262931000000E+03
0.353679100000000E+02,-0.104266704000000E+03
0.353705210000000E+02,-0.104266899000000E+03
0.353718280000000E+02,-0.104271847000000E+03
0.353687400000000E+02,-0.104282780000000E+03
0.353690840000000E+02,-0.104285380000000E+03
0.353687180000000E+02,-0.104287114000000E+03
0.353653760000000E+02,-0.104293770000000E+03
0.353644600000000E+02,-0.104294330000000E+03
0.353639100000000E+02,-0.104292988000000E+03
0.353607720000000E+02,-0.104292150000000E+03
0.353527350000000E+02,-0.104295059000000E+03
0.353516590000000E+02,-0.104297380000000E+03
0.353500330000000E+02,-0.104298302000000E+03
0.353500100000000E+02,-0.104300734000000E+03
0.353506520000000E+02,-0.104303613000000E+03
0.353513160000000E+02,-0.104301293000000E+03
0.353607500000000E+02,-0.104296902000000E+03
0.353657200000000E+02,-0.104299921000000E+03
0.353662010000000E+02,-0.104301626000000E+03
0.353662710000000E+02,-0.104305261000000E+03
0.353686520000000E+02,-0.104300955000000E+03
0.353685600000000E+02,-0.104295838000000E+03
0.353730710000000E+02,-0.104291783000000E+03
0.353737580000000E+02,-0.104292006000000E+03
0.353727960000000E+02,-0.104294020000000E+03
0.353746220000000E+02,-0.104295389000000E+03
0.353754200000000E+02,-0.104295167000000E+03
0.353779010000000E+02,-0.104288512000000E+03
0.353792070000000E+02,-0.104287112000000E+03
0.353803750000000E+02,-0.104287783000000E+03
0.353839490000000E+02,-0.104295781000000E+03
0.353869950000000E+02,-0.104300170000000E+03
0.353869270000000E+02,-0.104299080000000E+03
0.353799160000000E+02,-0.104284064000000E+03
0.353783800000000E+02,-0.104279814000000E+03
0.353803240000000E+02,-0.104269998000000E+03
0.353791530000000E+02,-0.104262309000000E+03
0.353790590000000E+02,-0.104257640000000E+03
0.353807510000000E+02,-0.104252074000000E+03
0.353828600000000E+02,-0.104247511000000E+03
0.353840970000000E+02,-0.104246729000000E+03
0.353847840000000E+02,-0.104246897000000E+03
0.353848980000000E+02,-0.104247597000000E+03
0.353860220000000E+02,-0.104245248000000E+03
0.353854990000000E+02,-0.104235069000000E+03
0.353867830000000E+02,-0.104231518000000E+03
0.353871720000000E+02,-0.104232217000000E+03
0.353867140000000E+02,-0.104234203000000E+03
0.353882030000000E+02,-0.104232945000000E+03
0.353901060000000E+02,-0.104225871000000E+03
0.353899240000000E+02,-0.104221899000000E+03
0.353911860000000E+02,-0.104212363000000E+03
0.353928590000000E+02,-0.104204673000000E+03
0.353982870000000E+02,-0.104197905000000E+03
0.354031420000000E+02,-0.104200759000000E+03
0.354072420000000E+02,-0.104200060000000E+03
0.354146840000000E+02,-0.104202355000000E+03
0.354176840000000E+02,-0.104204174000000E+03
0.354202250000000E+02,-0.104210022000000E+03
0.354206150000000E+02,-0.104207224000000E+03
0.354191260000000E+02,-0.104204286000000E+03
0.354188060000000E+02,-0.104202300000000E+03
0.354208680000000E+02,-0.104197992000000E+03
0.354230890000000E+02,-0.104197684000000E+03
0.354255400000000E+02,-0.104198524000000E+03
0.354267760000000E+02,-0.104200091000000E+03
0.354276920000000E+02,-0.104200455000000E+03
0.354327310000000E+02,-0.104199644000000E+03
0.354348150000000E+02,-0.104198665000000E+03
0.354396930000000E+02,-0.104197966000000E+03
0.354406550000000E+02,-0.104198386000000E+03
0.354424180000000E+02,-0.104200149000000E+03
0.354431740000000E+02,-0.104201856000000E+03
0.354451650000000E+02,-0.104208573000000E+03
0.354448440000000E+02,-0.104211092000000E+03
0.354440650000000E+02,-0.104212799000000E+03
0.354469040000000E+02,-0.104218061000000E+03
