LAT,LON
0.393069190000000E+02,-0.119677461000000E+03
0.393309790000000E+02,-0.119677416000000E+03
0.393288080000000E+02,-0.119665765000000E+03
0.393286800000000E+02,-0.119662965000000E+03
0.393284880000000E+02,-0.119651028000000E+03
0.393286640000000E+02,-0.119649892000000E+03
0.393299280000000E+02,-0.119648308000000E+03
0.393300720000000E+02,-0.119645476000000E+03
0.393284720000000E+02,-0.119642452000000E+03
0.393242960000000E+02,-0.119639012000000E+03
0.393196560000000E+02,-0.119636020000000E+03
0.393163920000000E+02,-0.119628827000000E+03
0.393163090000000E+02,-0.119626011000000E+03
0.393151330000000E+02,-0.119624610000000E+03
0.393116350000000E+02,-0.119622015000000E+03
0.393089360000000E+02,-0.119620511000000E+03
0.393080220000000E+02,-0.119620510000000E+03
0.393061930000000E+02,-0.119618271000000E+03
0.393058730000000E+02,-0.119617181000000E+03
0.393047790000000E+02,-0.119609643000000E+03
0.393051910000000E+02,-0.119606935000000E+03
0.393061300000000E+02,-0.119605316000000E+03
0.393148260000000E+02,-0.119596076000000E+03
0.393162220000000E+02,-0.119593779000000E+03
0.393164990000000E+02,-0.119585829000000E+03
0.393164990000000E+02,-0.119585829000000E+03
0.393163160000000E+02,-0.119584651000000E+03
0.393090440000000E+02,-0.119573282000000E+03
0.393059100000000E+02,-0.119569749000000E+03
0.393054530000000E+02,-0.119567040000000E+03
0.393056360000000E+02,-0.119562800000000E+03
0.393048050000000E+02,-0.119556502000000E+03
0.392737200000000E+02,-0.119630938000000E+03
0.392737200000000E+02,-0.119630938000000E+03
0.392665680000000E+02,-0.119647347000000E+03
0.392591110000000E+02,-0.119678660000000E+03
0.392591110000000E+02,-0.119678660000000E+03
0.392508710000000E+02,-0.119712645000000E+03
0.392508710000000E+02,-0.119712645000000E+03
0.392591750000000E+02,-0.119714070000000E+03
0.392591430000000E+02,-0.119696517000000E+03
0.392809030000000E+02,-0.119695957000000E+03
0.392808710000000E+02,-0.119677476000000E+03
0.393069190000000E+02,-0.119677461000000E+03
END,END
