LAT,LON
0.413857850000000E+02,-0.739950710000000E+02
0.413864720000000E+02,-0.739980160000000E+02
0.413861590000000E+02,-0.739995840000000E+02
0.413810020000000E+02,-0.740082100000000E+02
0.413792780000000E+02,-0.740122370000000E+02
0.413792780000000E+02,-0.740122370000000E+02
0.413812840000000E+02,-0.740140100000000E+02
0.413844470000000E+02,-0.740127260000000E+02
0.413842660000000E+02,-0.740107870000000E+02
0.413890650000000E+02,-0.740079840000000E+02
0.413902900000000E+02,-0.740074720000000E+02
0.413908520000000E+02,-0.740078540000000E+02
0.413918600000000E+02,-0.740067710000000E+02
0.413922430000000E+02,-0.739995840000000E+02
0.413938420000000E+02,-0.739912260000000E+02
0.413964060000000E+02,-0.739897460000000E+02
0.414114510000000E+02,-0.739926750000000E+02
0.414132970000000E+02,-0.739719680000000E+02
0.414132970000000E+02,-0.739719680000000E+02
0.414100390000000E+02,-0.739707480000000E+02
0.414081470000000E+02,-0.739710370000000E+02
0.414055840000000E+02,-0.739740890000000E+02
0.414035240000000E+02,-0.739775530000000E+02
0.413911640000000E+02,-0.739905090000000E+02
0.413903710000000E+02,-0.739918060000000E+02
0.413896310000000E+02,-0.739957270000000E+02
0.413881350000000E+02,-0.739963830000000E+02
0.413857850000000E+02,-0.739950710000000E+02
END,END
0.413397650000000E+02,-0.741059760000000E+02
0.413405430000000E+02,-0.741035650000000E+02
0.413425880000000E+02,-0.741017490000000E+02
0.413450670000000E+02,-0.741004370000000E+02
0.413483400000000E+02,-0.740973700000000E+02
0.413550470000000E+02,-0.740908090000000E+02
0.413562518347656E+02,-0.740888381945312E+02
0.413555648347656E+02,-0.740877485945312E+02
0.413544590000000E+02,-0.740879700000000E+02
0.413499200000000E+02,-0.740819120000000E+02
0.413517510000000E+02,-0.740806610000000E+02
0.413540090000000E+02,-0.740800810000000E+02
0.413594560000000E+02,-0.740865050000000E+02
0.413691760000000E+02,-0.740862150000000E+02
0.413724260000000E+02,-0.740829340000000E+02
0.413748360000000E+02,-0.740783690000000E+02
0.413723540000000E+02,-0.740739560000000E+02
0.413741330000000E+02,-0.740716450000000E+02
0.413741330000000E+02,-0.740716450000000E+02
0.413679600000000E+02,-0.740605000000000E+02
0.413394370000000E+02,-0.740747560000000E+02
0.413363550000000E+02,-0.740712610000000E+02
0.413398870000000E+02,-0.740697200000000E+02
0.413411610000000E+02,-0.740684080000000E+02
0.413424200000000E+02,-0.740659970000000E+02
0.413462880000000E+02,-0.740497300000000E+02
0.413478830000000E+02,-0.740479750000000E+02
0.413539020000000E+02,-0.740457930000000E+02
0.413566490000000E+02,-0.740441910000000E+02
0.413566490000000E+02,-0.740441910000000E+02
0.413556040000000E+02,-0.740412000000000E+02
0.413545580000000E+02,-0.740402540000000E+02
0.413506900000000E+02,-0.740390030000000E+02
0.413413060000000E+02,-0.740276340000000E+02
0.413381700000000E+02,-0.740170600000000E+02
0.413341950000000E+02,-0.740115820000000E+02
0.413332490000000E+02,-0.740112920000000E+02
0.413313190000000E+02,-0.740119480000000E+02
0.413301060000000E+02,-0.740135660000000E+02
0.413290610000000E+02,-0.740138560000000E+02
0.413232240000000E+02,-0.740126960000000E+02
0.413227670000000E+02,-0.740103610000000E+02
0.413235980000000E+02,-0.740027020000000E+02
0.413251390000000E+02,-0.739997860000000E+02
0.413253150000000E+02,-0.739978020000000E+02
0.413238580000000E+02,-0.739905390000000E+02
0.413229500000000E+02,-0.739876710000000E+02
0.413216930000000E+02,-0.739856840000000E+02
0.413216930000000E+02,-0.739856840000000E+02
0.413206460000000E+02,-0.739872360000000E+02
0.413206460000000E+02,-0.739872360000000E+02
0.413032810000000E+02,-0.740118720000000E+02
0.413032810000000E+02,-0.740118720000000E+02
0.412300860000000E+02,-0.741141700000000E+02
0.412300860000000E+02,-0.741141700000000E+02
0.412340990000000E+02,-0.741112850000000E+02
0.412340990000000E+02,-0.741112850000000E+02
0.412368830000000E+02,-0.741062810000000E+02
0.412396670000000E+02,-0.741026650000000E+02
0.412409490000000E+02,-0.741020700000000E+02
0.412444280000000E+02,-0.741012000000000E+02
0.412539880000000E+02,-0.741020540000000E+02
0.412627080000000E+02,-0.740990030000000E+02
0.412672860000000E+02,-0.740959510000000E+02
0.412801090000000E+02,-0.740835020000000E+02
0.412810550000000E+02,-0.740855420000000E+02
0.412884590000000E+02,-0.740775570000000E+02
0.412870270000000E+02,-0.740751350000000E+02
0.412921190000000E+02,-0.740709560000000E+02
0.412951560000000E+02,-0.740700100000000E+02
0.412975470000000E+02,-0.740741290000000E+02
0.413027440000000E+02,-0.740679020000000E+02
0.413091060000000E+02,-0.740701050000000E+02
0.413191400000000E+02,-0.740637030000000E+02
0.413229960000000E+02,-0.740735200000000E+02
0.413218981648438E+02,-0.740768211845703E+02
0.413173270000000E+02,-0.740804320000000E+02
0.413172120000000E+02,-0.740795620000000E+02
0.413201960000000E+02,-0.740771510000000E+02
0.413205240000000E+02,-0.740754120000000E+02
0.413169990000000E+02,-0.740751220000000E+02
0.413162210000000E+02,-0.740759150000000E+02
0.413158930000000E+02,-0.740792720000000E+02
0.413165490000000E+02,-0.740816070000000E+02
0.413189316918945E+02,-0.740844652986328E+02
0.413208540918945E+02,-0.740827624986328E+02
0.413204090000000E+02,-0.740952490000000E+02
0.413198060000000E+02,-0.740961950000000E+02
0.413195780000000E+02,-0.740996890000000E+02
0.413195780000000E+02,-0.740996890000000E+02
0.413194100000000E+02,-0.741034890000000E+02
0.413205160000000E+02,-0.741039920000000E+02
0.413300230000000E+02,-0.740951290000000E+02
0.413356980000000E+02,-0.740981020000000E+02
0.413376740000000E+02,-0.741008640000000E+02
0.413397650000000E+02,-0.741059760000000E+02
END,END
0.413058980000000E+02,-0.741060980000000E+02
0.413012520000000E+02,-0.741013530000000E+02
0.413001150000000E+02,-0.740969890000000E+02
0.412993370000000E+02,-0.740966220000000E+02
0.412928210000000E+02,-0.741032450000000E+02
0.412898920000000E+02,-0.741006960000000E+02
0.412867100000000E+02,-0.741042670000000E+02
0.412850550000000E+02,-0.741088600000000E+02
0.412843980000000E+02,-0.741084940000000E+02
0.412818350000000E+02,-0.741040380000000E+02
0.412779360000000E+02,-0.740964700000000E+02
0.412761740000000E+02,-0.740995220000000E+02
0.412739080000000E+02,-0.741059300000000E+02
0.412766010000000E+02,-0.741130710000000E+02
0.412773640000000E+02,-0.741179700000000E+02
0.412789660000000E+02,-0.741238600000000E+02
0.412806140000000E+02,-0.741243030000000E+02
0.412818350000000E+02,-0.741237230000000E+02
0.412832160000000E+02,-0.741205190000000E+02
0.412833300000000E+02,-0.741184740000000E+02
0.412856950000000E+02,-0.741154820000000E+02
0.412885720000000E+02,-0.741163670000000E+02
0.412889610000000E+02,-0.741187030000000E+02
0.412909980000000E+02,-0.741210370000000E+02
0.412928750000000E+02,-0.741205950000000E+02
0.412986650000000E+02,-0.741161540000000E+02
0.413021370000000E+02,-0.741125070000000E+02
0.413026400000000E+02,-0.741117130000000E+02
0.413018160000000E+02,-0.741085700000000E+02
0.413023120000000E+02,-0.741076240000000E+02
0.413058980000000E+02,-0.741060980000000E+02
END,END
0.412280940000000E+02,-0.741165880000000E+02
0.412218940000000E+02,-0.741253890000000E+02
0.412218940000000E+02,-0.741253890000000E+02
0.412303530000000E+02,-0.741193730000000E+02
0.412344950000000E+02,-0.741156200000000E+02
0.412344640000000E+02,-0.741148110000000E+02
0.412314130000000E+02,-0.741163210000000E+02
0.412280940000000E+02,-0.741165880000000E+02
END,END
