LAT,LON
0.408537310000000E+02,-0.736489480000000E+02
0.408499990000000E+02,-0.736528720000000E+02
0.408443990000000E+02,-0.736531730000000E+02
0.408373990000000E+02,-0.736527730000000E+02
0.408351990000000E+02,-0.736511730000000E+02
0.408351990000000E+02,-0.736511730000000E+02
0.408343000000000E+02,-0.736503720000000E+02
0.408284000000000E+02,-0.736479720000000E+02
0.408234000000000E+02,-0.736474720000000E+02
0.408235000000000E+02,-0.736432720000000E+02
0.408235000000000E+02,-0.736432720000000E+02
0.408229000000000E+02,-0.736434720000000E+02
0.408213000000000E+02,-0.736467720000000E+02
0.408168000000000E+02,-0.736462730000000E+02
0.408018000000000E+02,-0.736493730000000E+02
0.408011000000000E+02,-0.736498730000000E+02
0.408046000000000E+02,-0.736529730000000E+02
0.408063000000000E+02,-0.736528730000000E+02
0.408063000000000E+02,-0.736528730000000E+02
0.408114000000000E+02,-0.736502730000000E+02
0.408214000000000E+02,-0.736496730000000E+02
0.408252000000000E+02,-0.736505730000000E+02
0.408277000000000E+02,-0.736520730000000E+02
0.408277000000000E+02,-0.736520730000000E+02
0.408288000000000E+02,-0.736525730000000E+02
0.408288000000000E+02,-0.736525730000000E+02
0.408454990000000E+02,-0.736621730000000E+02
0.408587084530247E+02,-0.736706921399942E+02
0.408587084530247E+02,-0.736706921399942E+02
0.408638990000000E+02,-0.736558720000000E+02
0.408638990000000E+02,-0.736558720000000E+02
0.408569990000000E+02,-0.736522720000000E+02
0.408552990000000E+02,-0.736490720000000E+02
0.408616990000000E+02,-0.736363720000000E+02
0.408552990000000E+02,-0.736476720000000E+02
0.408537310000000E+02,-0.736489480000000E+02
END,END
0.408372000000000E+02,-0.737219750000000E+02
0.408285000000000E+02,-0.737202750000000E+02
0.408361000000000E+02,-0.737415760000000E+02
0.408373919876448E+02,-0.737438202740023E+02
0.408373919876448E+02,-0.737438202740023E+02
0.408441875700740E+02,-0.737370083635880E+02
0.408460461943062E+02,-0.737351452735739E+02
0.408460461943062E+02,-0.737351452735739E+02
0.408414000000000E+02,-0.737293750000000E+02
0.408363400000000E+02,-0.737293420000000E+02
0.408329000000000E+02,-0.737274750000000E+02
0.408381000000000E+02,-0.737278750000000E+02
0.408393000000000E+02,-0.737255750000000E+02
0.408392000000000E+02,-0.737247750000000E+02
0.408372000000000E+02,-0.737219750000000E+02
END,END
0.406299020000000E+02,-0.735623720000000E+02
0.406296440000000E+02,-0.735593570000000E+02
0.406290020000000E+02,-0.735587720000000E+02
0.406273020000000E+02,-0.735590720000000E+02
0.406274020000000E+02,-0.735567720000000E+02
0.406303020000000E+02,-0.735532710000000E+02
0.406330020000000E+02,-0.735541710000000E+02
0.406314020000000E+02,-0.735553710000000E+02
0.406324020000000E+02,-0.735558710000000E+02
0.406341020000000E+02,-0.735550710000000E+02
0.406355020000000E+02,-0.735530710000000E+02
0.406371020000000E+02,-0.735470710000000E+02
0.406334020000000E+02,-0.735371710000000E+02
0.406489010000000E+02,-0.735432710000000E+02
0.406522010000000E+02,-0.735440710000000E+02
0.406440010000000E+02,-0.735406710000000E+02
0.406426020000000E+02,-0.735391710000000E+02
0.406434010000000E+02,-0.735379710000000E+02
