LAT,LON
0.422746200000000E+02,-0.760709850000000E+02
0.422750090000000E+02,-0.760635630000000E+02
0.422731110000000E+02,-0.760633470000000E+02
0.422749330000000E+02,-0.760580920000000E+02
0.422752480000000E+02,-0.760538360000000E+02
0.422802470000000E+02,-0.760527520000000E+02
0.422861020000000E+02,-0.760486540000000E+02
0.422892580000000E+02,-0.760419980000000E+02
0.422939470000000E+02,-0.760378680000000E+02
0.422979020000000E+02,-0.760326600000000E+02
0.423008280000000E+02,-0.760276060000000E+02
0.423009650000000E+02,-0.760257260000000E+02
0.423017420000000E+02,-0.760242160000000E+02
0.423030000000000E+02,-0.760243380000000E+02
0.423046020000000E+02,-0.760265560000000E+02
0.423052650000000E+02,-0.760266790000000E+02
0.423102430000000E+02,-0.760230270000000E+02
0.423070250000000E+02,-0.760209770000000E+02
0.423054690000000E+02,-0.760209470000000E+02
0.423046230000000E+02,-0.760204550000000E+02
0.423023790000000E+02,-0.760154030000000E+02
0.422995200000000E+02,-0.760153740000000E+02
0.422981490000000E+02,-0.760160530000000E+02
0.422970740000000E+02,-0.760158380000000E+02
0.422948990000000E+02,-0.760128190000000E+02
0.422948300000000E+02,-0.760108170000000E+02
0.422934560000000E+02,-0.760077060000000E+02
0.422915790000000E+02,-0.760060300000000E+02
0.422884240000000E+02,-0.760071870000000E+02
0.422864100000000E+02,-0.760069110000000E+02
0.422840120000000E+02,-0.760150150000000E+02
0.422818180000000E+02,-0.760200690000000E+02
0.422817960000000E+02,-0.760218250000000E+02
0.422801730000000E+02,-0.760248440000000E+02
0.422775660000000E+02,-0.760277100000000E+02
0.422771090000000E+02,-0.760298360000000E+02
0.422771110000000E+02,-0.760376280000000E+02
0.422790570000000E+02,-0.760450520000000E+02
0.422788510000000E+02,-0.760458530000000E+02
0.422701140000000E+02,-0.760536770000000E+02
0.422689250000000E+02,-0.760542320000000E+02
0.422658820000000E+02,-0.760518300000000E+02
0.422656070000000E+02,-0.760489970000000E+02
0.422645550000000E+02,-0.760484120000000E+02
0.422631830000000E+02,-0.760485050000000E+02
0.422604830000000E+02,-0.760452090000000E+02
0.422591730000000E+02,-0.760456270000000E+02
0.422591730000000E+02,-0.760456270000000E+02
0.422555200000000E+02,-0.760497380000000E+02
0.422530720000000E+02,-0.760449040000000E+02
0.422521100000000E+02,-0.760415170000000E+02
0.422506230000000E+02,-0.760402250000000E+02
0.422496580000000E+02,-0.760401100000000E+02
0.422475140000000E+02,-0.760409260000000E+02
0.422412900000000E+02,-0.760396140000000E+02
0.422365540000000E+02,-0.760372620000000E+02
0.422246500000000E+02,-0.760400620000000E+02
0.422203940000000E+02,-0.760399820000000E+02
0.422173380000000E+02,-0.760383980000000E+02
0.422162340000000E+02,-0.760384780000000E+02
0.422122660000000E+02,-0.760423020000000E+02
0.422114180000000E+02,-0.760474540000000E+02
0.422105060000000E+02,-0.760501260000000E+02
0.422045860000000E+02,-0.760538060000000E+02
0.422045860000000E+02,-0.760538060000000E+02
0.422002020000000E+02,-0.760551820000000E+02
0.422002020000000E+02,-0.760551820000000E+02
0.422014500000000E+02,-0.760572790000000E+02
0.422033380000000E+02,-0.760591830000000E+02
0.422087780000000E+02,-0.760636790000000E+02
0.422124420000000E+02,-0.760607990000000E+02
0.422152420000000E+02,-0.760611670000000E+02
0.422191780000000E+02,-0.760628790000000E+02
0.422214180000000E+02,-0.760643830000000E+02
0.422236100000000E+02,-0.760669430000000E+02
0.422251300000000E+02,-0.760677750000000E+02
0.422251300000000E+02,-0.760677750000000E+02
0.422252260000000E+02,-0.760647030000000E+02
0.422300260000000E+02,-0.760680790000000E+02
0.422332900000000E+02,-0.760725270000000E+02
0.422399780000000E+02,-0.760744150000000E+02
0.422487460000000E+02,-0.760802240000000E+02
0.422489060000000E+02,-0.760786720000000E+02
0.422521340000000E+02,-0.760767710000000E+02
0.422582590000000E+02,-0.760749370000000E+02
0.422589530000000E+02,-0.760526810000000E+02
0.422605070000000E+02,-0.760550950000000E+02
0.422620630000000E+02,-0.760619000000000E+02
0.422671860000000E+02,-0.760697530000000E+02
0.422734800000000E+02,-0.760750320000000E+02
0.422742770000000E+02,-0.760734500000000E+02
0.422746200000000E+02,-0.760709850000000E+02
END,END
