LAT,LON
0.407662560000000E+02,-0.825229910000000E+02
0.407680560000000E+02,-0.825276920000000E+02
0.407668560000000E+02,-0.825282920000000E+02
0.407676560000000E+02,-0.825361920000000E+02
0.407669560000000E+02,-0.825406920000000E+02
0.407631560000000E+02,-0.825487920000000E+02
0.407628560000000E+02,-0.825480920000000E+02
0.407644560000000E+02,-0.825454920000000E+02
0.407665560000000E+02,-0.825383920000000E+02
0.407662560000000E+02,-0.825360920000000E+02
0.407618560000000E+02,-0.825364920000000E+02
0.407588560000000E+02,-0.825334920000000E+02
0.407587560000000E+02,-0.825259910000000E+02
0.407587560000000E+02,-0.825259910000000E+02
0.407578560000000E+02,-0.825260910000000E+02
0.407578560000000E+02,-0.825260910000000E+02
0.407572400000000E+02,-0.825310600000000E+02
0.407545560000000E+02,-0.825341920000000E+02
0.407543560000000E+02,-0.825477920000000E+02
0.407529560000000E+02,-0.825481920000000E+02
0.407470560000000E+02,-0.825478920000000E+02
0.407471560000000E+02,-0.825396920000000E+02
0.407471560000000E+02,-0.825396920000000E+02
0.407457560000000E+02,-0.825413920000000E+02
0.407422560000000E+02,-0.825421920000000E+02
0.407346570000000E+02,-0.825420920000000E+02
0.407321570000000E+02,-0.825427920000000E+02
0.407278570000000E+02,-0.825490920000000E+02
0.407255570000000E+02,-0.825464920000000E+02
0.407221750000000E+02,-0.825453600000000E+02
0.407210030000000E+02,-0.825515090000000E+02
0.407172570000000E+02,-0.825545920000000E+02
0.407144730000000E+02,-0.825543390000000E+02
0.407132570000000E+02,-0.825551920000000E+02
0.407135190000000E+02,-0.825601340000000E+02
0.407105050000000E+02,-0.825601320000000E+02
0.407105050000000E+02,-0.825601320000000E+02
0.407105150000000E+02,-0.825704310000000E+02
0.406957570000000E+02,-0.825691920000000E+02
0.406944570000000E+02,-0.825787930000000E+02
0.406947570000000E+02,-0.825850930000000E+02
0.406962570000000E+02,-0.825855930000000E+02
0.407113210000000E+02,-0.825781330000000E+02
0.407160410000000E+02,-0.825746450000000E+02
0.407238170000000E+02,-0.825717010000000E+02
0.407238170000000E+02,-0.825717010000000E+02
0.407249570000000E+02,-0.825719930000000E+02
0.407280570000000E+02,-0.825706930000000E+02
0.407341570000000E+02,-0.825711930000000E+02
0.407394570000000E+02,-0.825788930000000E+02
0.407392570000000E+02,-0.825895940000000E+02
0.407362570000000E+02,-0.825896940000000E+02
0.407354570000000E+02,-0.826081950000000E+02
0.407467570000000E+02,-0.826088950000000E+02
0.407500150000000E+02,-0.826028520000000E+02
0.407496450000000E+02,-0.825997150000000E+02
0.407524560000000E+02,-0.826033950000000E+02
0.407543570000000E+02,-0.826081950000000E+02
0.407551570000000E+02,-0.826118950000000E+02
0.407548570000000E+02,-0.826150950000000E+02
0.407521570000000E+02,-0.826194950000000E+02
0.407516090000000E+02,-0.826213190000000E+02
0.407509570000000E+02,-0.826262960000000E+02
0.407486570000000E+02,-0.826303960000000E+02
0.407500570000000E+02,-0.826350960000000E+02
0.407521570000000E+02,-0.826345960000000E+02
0.407538570000000E+02,-0.826324960000000E+02
0.407601570000000E+02,-0.826321960000000E+02
0.407600570000000E+02,-0.826236960000000E+02
0.407756560000000E+02,-0.826239960000000E+02
0.407769560000000E+02,-0.826225960000000E+02
0.407764560000000E+02,-0.826154950000000E+02
0.407768560000000E+02,-0.826154950000000E+02
0.407788560000000E+02,-0.826211960000000E+02
0.407841560000000E+02,-0.826154950000000E+02
0.407847980000000E+02,-0.825901910000000E+02
0.407871560000000E+02,-0.825901940000000E+02
0.407905570000000E+02,-0.826055950000000E+02
0.407934560000000E+02,-0.826108950000000E+02
0.407994560000000E+02,-0.826149950000000E+02
0.408043560000000E+02,-0.826164950000000E+02
0.408077560000000E+02,-0.826119950000000E+02
0.408103560000000E+02,-0.826023950000000E+02
0.408100560000000E+02,-0.825900940000000E+02
0.408053560000000E+02,-0.825854940000000E+02
0.408036560000000E+02,-0.825768940000000E+02
0.408008560000000E+02,-0.825708940000000E+02
0.407923560000000E+02,-0.825654930000000E+02
0.407935560000000E+02,-0.825640930000000E+02
0.407959560000000E+02,-0.825511930000000E+02
0.407982560000000E+02,-0.825424920000000E+02
0.407983560000000E+02,-0.825401920000000E+02
0.407967560000000E+02,-0.825354920000000E+02
0.407937560000000E+02,-0.825309460000000E+02
0.407862560000000E+02,-0.825246920000000E+02
0.407860560000000E+02,-0.825325920000000E+02
0.407876560000000E+02,-0.825325920000000E+02
0.407873560000000E+02,-0.825425920000000E+02
0.407827560000000E+02,-0.825425920000000E+02
0.407759560000000E+02,-0.825343920000000E+02
0.407752560000000E+02,-0.825376920000000E+02
0.407741560000000E+02,-0.825518930000000E+02
0.407706560000000E+02,-0.825517930000000E+02
0.407679560000000E+02,-0.825361920000000E+02
0.407685560000000E+02,-0.825286920000000E+02
0.407671560000000E+02,-0.825228910000000E+02
0.407671560000000E+02,-0.825228910000000E+02
0.407662560000000E+02,-0.825229910000000E+02
END,END
0.407789560000000E+02,-0.826441970000000E+02
0.407774560000000E+02,-0.826290960000000E+02
0.407709560000000E+02,-0.826287960000000E+02
0.407684560000000E+02,-0.826309960000000E+02
0.407685560000000E+02,-0.826363960000000E+02
0.407612570000000E+02,-0.826327960000000E+02
0.407601570000000E+02,-0.826328960000000E+02
0.407603570000000E+02,-0.826473970000000E+02
0.407631570000000E+02,-0.826580970000000E+02
0.407791560000000E+02,-0.826520970000000E+02
0.407789560000000E+02,-0.826441970000000E+02
END,END
