LAT,LON
0.369991804511490E+02,-0.958322577025313E+02
0.369991240000000E+02,-0.958079800000000E+02
0.369992112617701E+02,-0.957980255901209E+02
0.369993100000000E+02,-0.957867620000000E+02
0.369992122963105E+02,-0.957699727841049E+02
0.369992050000000E+02,-0.957687190000000E+02
0.369992123788885E+02,-0.957677335829786E+02
0.369992710000000E+02,-0.957599050000000E+02
0.369992440000000E+02,-0.957419080000000E+02
0.369992550000000E+02,-0.957180540000000E+02
0.369992790000000E+02,-0.957148870000000E+02
0.369993710000000E+02,-0.957103800000000E+02
0.369992150000000E+02,-0.956966590000000E+02
0.369992150000000E+02,-0.956966590000000E+02
0.369421960000000E+02,-0.956965640000000E+02
0.369421950000000E+02,-0.957017230000000E+02
0.369310760000000E+02,-0.957016630000000E+02
0.369310460000000E+02,-0.956779570000000E+02
0.369304140000000E+02,-0.956755270000000E+02
0.369287890000000E+02,-0.956714810000000E+02
0.369278960000000E+02,-0.956717660000000E+02
0.369257680000000E+02,-0.956699420000000E+02
0.369200470000000E+02,-0.956636170000000E+02
0.369173740000000E+02,-0.956643850000000E+02
0.369166380000000E+02,-0.956674080000000E+02
0.369165250000000E+02,-0.956835370000000E+02
0.368875580000000E+02,-0.956835950000000E+02
0.368875580000000E+02,-0.956835950000000E+02
0.368585700000000E+02,-0.956836300000000E+02
0.368585000000000E+02,-0.957017110000000E+02
0.368578820000000E+02,-0.957032480000000E+02
0.368584980000000E+02,-0.957105660000000E+02
0.368586250000000E+02,-0.957381570000000E+02
0.368586250000000E+02,-0.957381570000000E+02
0.368586540000000E+02,-0.957835490000000E+02
0.368550420000000E+02,-0.957851440000000E+02
0.368530050000000E+02,-0.957837500000000E+02
0.368494360000000E+02,-0.957873380000000E+02
0.368456620000000E+02,-0.957945120000000E+02
0.368453190000000E+02,-0.957974440000000E+02
0.368458450000000E+02,-0.957997500000000E+02
0.368456170000000E+02,-0.958040770000000E+02
0.368443130000000E+02,-0.958088600000000E+02
0.368428520000000E+02,-0.958098850000000E+02
0.368428520000000E+02,-0.958098850000000E+02
0.368585430000000E+02,-0.958098280000000E+02
0.368585510000000E+02,-0.958630420000000E+02
0.369020760000000E+02,-0.958628650000000E+02
0.369020760000000E+02,-0.958628650000000E+02
0.369309250000000E+02,-0.958629140000000E+02
0.369311150000000E+02,-0.958470690000000E+02
0.369324880000000E+02,-0.958460440000000E+02
0.369419360000000E+02,-0.958460760000000E+02
0.369419540000000E+02,-0.958589600000000E+02
0.369709410000000E+02,-0.958588360000000E+02
0.369709250000000E+02,-0.958409010000000E+02
0.369904250000000E+02,-0.958408420000000E+02
0.369927740000000E+02,-0.958393710000000E+02
0.369950170000000E+02,-0.958347520000000E+02
0.369991804511490E+02,-0.958322577025313E+02
END,END
