LAT,LON
0.436109420000000E+02,-0.124158839000000E+03
0.436108370000000E+02,-0.124145413000000E+03
0.436108290000000E+02,-0.124144426000000E+03
0.436100010000000E+02,-0.124001216000000E+03
0.436093510000000E+02,-0.123999501000000E+03
0.436093630000000E+02,-0.123979227000000E+03
0.436093630000000E+02,-0.123979227000000E+03
0.436031010000000E+02,-0.123978744000000E+03
0.435978860000000E+02,-0.123976821000000E+03
0.435968570000000E+02,-0.123976915000000E+03
0.435912760000000E+02,-0.123979271000000E+03
0.435879590000000E+02,-0.123981597000000E+03
0.435877990000000E+02,-0.123982352000000E+03
0.435889420000000E+02,-0.123983957000000E+03
0.435889420000000E+02,-0.123983957000000E+03
0.435907480000000E+02,-0.123984430000000E+03
0.435916850000000E+02,-0.123987105000000E+03
0.435914760000000E+02,-0.123993555000000E+03
0.435892090000000E+02,-0.123998430000000E+03
0.435897360000000E+02,-0.124003467000000E+03
0.435913620000000E+02,-0.124006864000000E+03
0.435912720000000E+02,-0.124010797000000E+03
0.435904960000000E+02,-0.124015454000000E+03
0.435883250000000E+02,-0.124018539000000E+03
0.435872070000000E+02,-0.124027318000000E+03
0.435824750000000E+02,-0.124032668000000E+03
0.435838740000000E+02,-0.124054941000000E+03
0.435827300000000E+02,-0.124060006000000E+03
0.435791400000000E+02,-0.124065858000000E+03
0.435788190000000E+02,-0.124077402000000E+03
0.435797100000000E+02,-0.124079856000000E+03
0.435820660000000E+02,-0.124081651000000E+03
0.435829340000000E+02,-0.124083130000000E+03
0.435831620000000E+02,-0.124086559000000E+03
0.435825210000000E+02,-0.124088666000000E+03
0.435821990000000E+02,-0.124096562000000E+03
0.435830440000000E+02,-0.124099488000000E+03
0.435842100000000E+02,-0.124100874000000E+03
0.435814650000000E+02,-0.124104773000000E+03
0.435779650000000E+02,-0.124106594000000E+03
0.435787200000000E+02,-0.124105463000000E+03
0.435791330000000E+02,-0.124103481000000E+03
0.435722060000000E+02,-0.124095738000000E+03
0.435685520000000E+02,-0.124095200000000E+03
0.435689800000000E+02,-0.124099290000000E+03
0.435658910000000E+02,-0.124103943000000E+03
0.435642900000000E+02,-0.124105075000000E+03
0.435642900000000E+02,-0.124105075000000E+03
0.435646530000000E+02,-0.124112466000000E+03
0.435641240000000E+02,-0.124119289000000E+03
0.435617680000000E+02,-0.124119727000000E+03
0.435559810000000E+02,-0.124127093000000E+03
0.435567370000000E+02,-0.124129482000000E+03
0.435599180000000E+02,-0.124135327000000E+03
0.435644010000000E+02,-0.124135669000000E+03
0.435656800000000E+02,-0.124133593000000E+03
0.435659530000000E+02,-0.124130511000000E+03
0.435689960000000E+02,-0.124133338000000E+03
0.435686110000000E+02,-0.124140981000000E+03
0.435674920000000E+02,-0.124144537000000E+03
0.435688190000000E+02,-0.124146580000000E+03
0.435718610000000E+02,-0.124148937000000E+03
0.435746760000000E+02,-0.124154345000000E+03
0.435726190000000E+02,-0.124160951000000E+03
0.435723230000000E+02,-0.124167651000000E+03
0.435734900000000E+02,-0.124171457000000E+03
0.435721180000000E+02,-0.124175011000000E+03
0.435707240000000E+02,-0.124177150000000E+03
0.435691000000000E+02,-0.124178031000000E+03
0.435701290000000E+02,-0.124175956000000E+03
0.435701290000000E+02,-0.124175956000000E+03
0.435691720000000E+02,-0.124176392000000E+03
0.435673840000000E+02,-0.124178765000000E+03
0.435694660000000E+02,-0.124180767000000E+03
0.435731870000000E+02,-0.124181682000000E+03
0.435741770000000E+02,-0.124185485000000E+03
0.435732400000000E+02,-0.124188819000000E+03
0.435750460000000E+02,-0.124191965000000E+03
0.435765740000000E+02,-0.124193150000000E+03
0.435763270000000E+02,-0.124188033000000E+03
0.435769900000000E+02,-0.124186775000000E+03
0.435783850000000E+02,-0.124185611000000E+03
0.435799400000000E+02,-0.124184793000000E+03
0.435857710000000E+02,-0.124184353000000E+03
0.435932820000000E+02,-0.124182972000000E+03
0.435943090000000E+02,-0.124182207000000E+03
0.435936840000000E+02,-0.124179822000000E+03
0.435964050000000E+02,-0.124176729000000E+03
0.436003580000000E+02,-0.124176803000000E+03
0.436030660000000E+02,-0.124180243000000E+03
0.436111120000000E+02,-0.124180803000000E+03
0.436111120000000E+02,-0.124180803000000E+03
0.436110720000000E+02,-0.124175655000000E+03
0.436110720000000E+02,-0.124175655000000E+03
0.436068330000000E+02,-0.124175100000000E+03
0.436076560000000E+02,-0.124176830000000E+03
0.436063750000000E+02,-0.124177334000000E+03
0.436026020000000E+02,-0.124176107000000E+03
0.436013890000000E+02,-0.124167201000000E+03
0.436028980000000E+02,-0.124164778000000E+03
0.436079280000000E+02,-0.124159615000000E+03
0.436109420000000E+02,-0.124158839000000E+03
END,END
0.436110350000000E+02,-0.124170875000000E+03
0.436109600000000E+02,-0.124161149000000E+03
0.436109600000000E+02,-0.124161149000000E+03
0.436089570000000E+02,-0.124161849000000E+03
0.436049100000000E+02,-0.124164966000000E+03
0.436039730000000E+02,-0.124167641000000E+03
0.436054140000000E+02,-0.124171669000000E+03
0.436110350000000E+02,-0.124170875000000E+03
END,END
