LAT,LON
0.411618890000000E+02,-0.779882260000000E+02
0.411636960000000E+02,-0.779861100000000E+02
0.411699170000000E+02,-0.779838150000000E+02
0.411710150000000E+02,-0.779811840000000E+02
0.411717260000000E+02,-0.779756160000000E+02
0.411726880000000E+02,-0.779723790000000E+02
0.411740600000000E+02,-0.779702320000000E+02
0.411752040000000E+02,-0.779696570000000E+02
0.411776270000000E+02,-0.779698710000000E+02
0.411899490000000E+02,-0.779730850000000E+02
0.412026160000000E+02,-0.779725470000000E+02
0.412047430000000E+02,-0.779718520000000E+02
0.412059780000000E+02,-0.779708540000000E+02
0.412095690000000E+02,-0.779648010000000E+02
0.412119250000000E+02,-0.779629850000000E+02
0.412146230000000E+02,-0.779618660000000E+02
0.412165670000000E+02,-0.779595360000000E+02
0.412172760000000E+02,-0.779574170000000E+02
0.412165220000000E+02,-0.779545100000000E+02
0.412123160000000E+02,-0.779493610000000E+02
0.412090930000000E+02,-0.779411260000000E+02
0.412090020000000E+02,-0.779388240000000E+02
0.412101680000000E+02,-0.779364630000000E+02
0.412114940000000E+02,-0.779350700000000E+02
0.412138950000000E+02,-0.779349800000000E+02
0.412153580000000E+02,-0.779353730000000E+02
0.412207320000000E+02,-0.779384010000000E+02
0.412220120000000E+02,-0.779384620000000E+02
0.412241390000000E+02,-0.779374630000000E+02
0.412257390000000E+02,-0.779353440000000E+02
0.412261050000000E+02,-0.779316480000000E+02
0.412258760000000E+02,-0.779233210000000E+02
0.412273390000000E+02,-0.779199290000000E+02
0.412413760000000E+02,-0.779122920000000E+02
0.412430460000000E+02,-0.779105350000000E+02
0.412457430000000E+02,-0.779056260000000E+02
0.412518210000000E+02,-0.778981290000000E+02
0.412518210000000E+02,-0.778981290000000E+02
0.412429800000000E+02,-0.778977320000000E+02
0.411769810000000E+02,-0.778973830000000E+02
0.411771420000000E+02,-0.777959170000000E+02
0.411820010000000E+02,-0.777945690000000E+02
0.411921300000000E+02,-0.777891480000000E+02
0.411920380000000E+02,-0.777855460000000E+02
0.411927280000000E+02,-0.777818320000000E+02
0.411987810000000E+02,-0.777749480000000E+02
0.412010680000000E+02,-0.777774590000000E+02
0.412025540000000E+02,-0.777763080000000E+02
0.412029890000000E+02,-0.777752790000000E+02
0.412028500000000E+02,-0.777719790000000E+02
0.412050670000000E+02,-0.777689800000000E+02
0.412066220000000E+02,-0.777682530000000E+02
0.412091150000000E+02,-0.777692190000000E+02
0.412080160000000E+02,-0.777659200000000E+02
0.412060710000000E+02,-0.777637410000000E+02
0.412043790000000E+02,-0.777626220000000E+02
0.411995970000000E+02,-0.777560270000000E+02
0.411987960000000E+02,-0.777541800000000E+02
0.411981980000000E+02,-0.777497110000000E+02
0.411933990000000E+02,-0.777401230000000E+02
0.411911140000000E+02,-0.777368820000000E+02
0.411900860000000E+02,-0.777340060000000E+02
0.411910260000000E+02,-0.777284980000000E+02
0.411895870000000E+02,-0.777249860000000E+02
0.411877590000000E+02,-0.777220480000000E+02
0.411815880000000E+02,-0.777129960000000E+02
0.411801010000000E+02,-0.777120870000000E+02
0.411775410000000E+02,-0.777119660000000E+02
0.411746360000000E+02,-0.777128730000000E+02
0.411729210000000E+02,-0.777129020000000E+02
0.411703830000000E+02,-0.777119030000000E+02
0.411691040000000E+02,-0.777082410000000E+02
0.411695620000000E+02,-0.777020980000000E+02
0.411691280000000E+02,-0.777008880000000E+02
0.411682590000000E+02,-0.777000100000000E+02
0.411644860000000E+02,-0.776990710000000E+02
0.411680540000000E+02,-0.776963490000000E+02
0.411700200000000E+02,-0.776964700000000E+02
0.411707750000000E+02,-0.776960760000000E+02
0.411713690000000E+02,-0.776948960000000E+02
0.411721020000000E+02,-0.776896300000000E+02
0.411715760000000E+02,-0.776854240000000E+02
0.411735650000000E+02,-0.776819740000000E+02
0.411754860000000E+02,-0.776807940000000E+02
0.411767210000000E+02,-0.776788270000000E+02
