LAT,LON
0.408874110000000E+02,-0.755383830000000E+02
0.408884570000000E+02,-0.755379200000000E+02
0.408889600000000E+02,-0.755370450000000E+02
0.408904010000000E+02,-0.755316780000000E+02
0.408909480000000E+02,-0.755272460000000E+02
0.408903290000000E+02,-0.755267710000000E+02
0.408876780000000E+02,-0.755320410000000E+02
0.408869480000000E+02,-0.755374380000000E+02
0.408869480000000E+02,-0.755374380000000E+02
0.408874110000000E+02,-0.755383830000000E+02
END,END
0.408287390000000E+02,-0.750855890000000E+02
0.408290153207572E+02,-0.750847217779313E+02
0.408290153207572E+02,-0.750847217779313E+02
0.408278050000000E+02,-0.750838220000000E+02
0.408244710000000E+02,-0.750839290000000E+02
0.408219720000000E+02,-0.750853870000000E+02
0.408159130000000E+02,-0.750905180000000E+02
0.408124918829453E+02,-0.750957199092115E+02
0.408122110000000E+02,-0.750961470000000E+02
0.408102860000000E+02,-0.750982790000000E+02
0.408075780000000E+02,-0.751002770000000E+02
0.408054880000000E+02,-0.751007390000000E+02
0.408030000000000E+02,-0.751001650000000E+02
0.408011760000000E+02,-0.751002770000000E+02
0.407997970000000E+02,-0.751008000000000E+02
0.407973234799545E+02,-0.751029898738309E+02
0.407924471107268E+02,-0.751073070546765E+02
0.407910940000000E+02,-0.751085050000000E+02
0.407898960000000E+02,-0.751113430000000E+02
0.407893500000000E+02,-0.751168420000000E+02
0.407867460000000E+02,-0.751230880000000E+02
0.407840260000000E+02,-0.751258670000000E+02
0.407759500000000E+02,-0.751314650000000E+02
0.407741240000000E+02,-0.751333030000000E+02
0.407737650000000E+02,-0.751344000000000E+02
0.407736060000000E+02,-0.751391060000000E+02
0.407747860000000E+02,-0.751493780000000E+02
0.407758017718524E+02,-0.751534049710769E+02
0.407783860000000E+02,-0.751636500000000E+02
0.407784730000000E+02,-0.751695230000000E+02
0.407777450000000E+02,-0.751715870000000E+02
0.407761290000000E+02,-0.751733490000000E+02
0.407729230000000E+02,-0.751756200000000E+02
0.407687210000000E+02,-0.751768550000000E+02
0.407642250000000E+02,-0.751774770000000E+02
0.407618970000000E+02,-0.751790400000000E+02
0.407593440000000E+02,-0.751830370000000E+02
0.407558300000000E+02,-0.751917960000000E+02
0.407516310000000E+02,-0.751965330000000E+02
0.407500970000000E+02,-0.751968610000000E+02
0.407498564714821E+02,-0.751968174448359E+02
0.407475885254238E+02,-0.751964067627119E+02
0.407471370000000E+02,-0.751963250000000E+02
0.407454730000000E+02,-0.751953490000000E+02
0.407407432040647E+02,-0.751898342665645E+02
0.407372660000000E+02,-0.751857800000000E+02
0.407336500000000E+02,-0.751828040000000E+02
0.407315220000000E+02,-0.751820840000000E+02
0.407299220000000E+02,-0.751825000000000E+02
0.407239700000000E+02,-0.751863720000000E+02
0.407179700000000E+02,-0.751894120000000E+02
0.407160412762298E+02,-0.751923566164431E+02
0.407158740000000E+02,-0.751926120000000E+02
0.407157134511559E+02,-0.751927683967188E+02
0.407140180000000E+02,-0.751944200000000E+02
0.407052980000000E+02,-0.751987200000000E+02
0.406914980000000E+02,-0.752039200000000E+02
0.406854980000000E+02,-0.752009200000000E+02
0.406812990000000E+02,-0.751969200000000E+02
0.406793790000000E+02,-0.751905800000000E+02
0.406799710000000E+02,-0.751845160000000E+02
0.406793630000000E+02,-0.751805640000000E+02
0.406777310000000E+02,-0.751775870000000E+02
0.406757150000000E+02,-0.751768030000000E+02
0.406725950000000E+02,-0.751774910000000E+02
0.406659710000000E+02,-0.751827560000000E+02
0.406647648461539E+02,-0.751856507692307E+02
0.406642715442177E+02,-0.751868346938775E+02
0.406638110000000E+02,-0.751879400000000E+02
0.406619390000000E+02,-0.751908520000000E+02
0.406551230000000E+02,-0.751966760000000E+02
0.406534713713716E+02,-0.751977323261688E+02
0.406531260420870E+02,-0.751979531871747E+02
0.406515420825688E+02,-0.751989662344546E+02
0.406492190000000E+02,-0.752004520000000E+02
0.406468990000000E+02,-0.752004680000000E+02
0.406422750000000E+02,-0.751934920000000E+02
0.406408030000000E+02,-0.751922760000000E+02
0.406379710000000E+02,-0.751910590000000E+02
0.406246280000000E+02,-0.751885790000000E+02
0.406214920000000E+02,-0.751892830000000E+02
0.406199560000000E+02,-0.751906910000000E+02
0.406193320000000E+02,-0.751978910000000E+02
0.406183560000000E+02,-0.752007080000000E+02
0.406171880000000E+02,-0.752018120000000E+02
0.406146280000000E+02,-0.752013480000000E+02
0.406114920000000E+02,-0.751984990000000E+02
0.406085800000000E+02,-0.751968030000000E+02
0.406085800000000E+02,-0.751968030000000E+02
0.406083560000000E+02,-0.751972830000000E+02
0.406083560000000E+02,-0.751972830000000E+02
0.406150760000000E+02,-0.752023240000000E+02
0.406173320000000E+02,-0.752031080000000E+02
0.406188840000000E+02,-0.752018280000000E+02
0.406196360000000E+02,-0.752005320000000E+02
0.406206600000000E+02,-0.751934910000000E+02
0.406220360000000E+02,-0.751922430000000E+02
0.406260840000000E+02,-0.751904510000000E+02
0.406351710000000E+02,-0.751914110000000E+02
0.406437790000000E+02,-0.751973160000000E+02
0.406464990000000E+02,-0.752010280000000E+02
0.406491870000000E+02,-0.752026280000000E+02
0.406506590000000E+02,-0.752026600000000E+02
0.406591550000000E+02,-0.751942440000000E+02
0.406647550000000E+02,-0.751877320000000E+02
0.406711550000000E+02,-0.751792350000000E+02
0.406735070000000E+02,-0.751779070000000E+02
0.406756990000000E+02,-0.751774270000000E+02
0.406771550000000E+02,-0.751782120000000E+02
0.406781630000000E+02,-0.751794280000000E+02
0.406790590000000E+02,-0.751815080000000E+02
0.406795070000000E+02,-0.751849640000000E+02
0.406788830000000E+02,-0.751912520000000E+02
0.406805990000000E+02,-0.751965200000000E+02
0.406853980000000E+02,-0.752022200000000E+02
0.406871980000000E+02,-0.752028200000000E+02
0.406868980000000E+02,-0.752077200000000E+02
0.406838980000000E+02,-0.752175210000000E+02
0.406831980000000E+02,-0.752235210000000E+02
0.406800980000000E+02,-0.752289210000000E+02
0.406697980000000E+02,-0.752364210000000E+02
0.406668020000000E+02,-0.752376530000000E+02
0.406581990000000E+02,-0.752437210000000E+02
0.406541990000000E+02,-0.752476210000000E+02
0.406490990000000E+02,-0.752564210000000E+02
0.406453470000000E+02,-0.752678780000000E+02
0.406444990000000E+02,-0.752688220000000E+02
0.406444990000000E+02,-0.752688220000000E+02
0.406424990000000E+02,-0.752718940000000E+02
0.406404990000000E+02,-0.752811220000000E+02
0.406389460000000E+02,-0.752954940000000E+02
0.406345980000000E+02,-0.753009220000000E+02
0.406302580000000E+02,-0.753103110000000E+02
0.406304980000000E+02,-0.753164230000000E+02
0.406322740000000E+02,-0.753241030000000E+02
0.406319980000000E+02,-0.753306230000000E+02
0.406218900000000E+02,-0.753338790000000E+02
0.406198980000000E+02,-0.753357230000000E+02
0.406204500000000E+02,-0.753388710000000E+02
0.406201980000000E+02,-0.753448230000000E+02
0.406175980000000E+02,-0.753583240000000E+02
0.406146980000000E+02,-0.753786240000000E+02
0.406134980000000E+02,-0.753938250000000E+02
0.406119980000000E+02,-0.754034250000000E+02
0.406117980000000E+02,-0.754077250000000E+02
0.406130980000000E+02,-0.754090250000000E+02
0.406154970000000E+02,-0.754194250000000E+02
0.406053970000000E+02,-0.754301260000000E+02
0.406005930000000E+02,-0.754387300000000E+02
0.406000650000000E+02,-0.754406500000000E+02
0.406000650000000E+02,-0.754406500000000E+02
0.406048970000000E+02,-0.754312260000000E+02
0.406067970000000E+02,-0.754290260000000E+02
0.406088970000000E+02,-0.754266260000000E+02
0.406115970000000E+02,-0.754243250000000E+02
0.406128970000000E+02,-0.754245850000000E+02
0.406145130000000E+02,-0.754225850000000E+02
0.406159970000000E+02,-0.754196250000000E+02
0.406159970000000E+02,-0.754196250000000E+02
0.406169610000000E+02,-0.754145690000000E+02
0.406163970000000E+02,-0.754114250000000E+02
0.406132980000000E+02,-0.754083250000000E+02
0.406120980000000E+02,-0.754064250000000E+02
0.406123980000000E+02,-0.754030250000000E+02
0.406144980000000E+02,-0.753943250000000E+02
0.406154980000000E+02,-0.753786240000000E+02
0.406166260000000E+02,-0.753717200000000E+02
0.406178980000000E+02,-0.753584240000000E+02
0.406178980000000E+02,-0.753584240000000E+02
0.406207980000000E+02,-0.753473230000000E+02
0.406207220000000E+02,-0.753367750000000E+02
0.406220500000000E+02,-0.753342790000000E+02
0.406237980000000E+02,-0.753333230000000E+02
0.406282980000000E+02,-0.753338230000000E+02
0.406313980000000E+02,-0.753333230000000E+02
0.406331980000000E+02,-0.753314230000000E+02
0.406331980000000E+02,-0.753314230000000E+02
0.406337980000000E+02,-0.753261230000000E+02
0.406320980000000E+02,-0.753194230000000E+02
0.406307540000000E+02,-0.753104870000000E+02
0.406328780000000E+02,-0.753062530000000E+02
0.406328780000000E+02,-0.753062530000000E+02
0.406340980000000E+02,-0.753038220000000E+02
0.406399980000000E+02,-0.752963220000000E+02
0.406410990000000E+02,-0.752814220000000E+02
