LAT,LON
0.410651460000000E+02,-0.752920840000000E+02
0.410661290000000E+02,-0.752855840000000E+02
0.410661290000000E+02,-0.752855840000000E+02
0.410641140000000E+02,-0.752817460000000E+02
0.410617090000000E+02,-0.752713780000000E+02
0.410591920000000E+02,-0.752726490000000E+02
0.410577060000000E+02,-0.752745540000000E+02
0.410569510000000E+02,-0.752746450000000E+02
0.410556690000000E+02,-0.752722280000000E+02
0.410536780000000E+02,-0.752699010000000E+02
0.410520990000000E+02,-0.752695090000000E+02
0.410481180000000E+02,-0.752702980000000E+02
0.410392200000000E+02,-0.752801250000000E+02
0.410353550000000E+02,-0.752853850000000E+02
0.410336620000000E+02,-0.752886790000000E+02
0.410307460000000E+02,-0.752968720000000E+02
0.410313750000000E+02,-0.752999200000000E+02
0.410235800000000E+02,-0.752981650000000E+02
0.410235800000000E+02,-0.752981650000000E+02
0.410271410000000E+02,-0.752996130000000E+02
0.410304550000000E+02,-0.753035840000000E+02
0.410312380000000E+02,-0.753076850000000E+02
0.410311700000000E+02,-0.753126710000000E+02
0.410296140000000E+02,-0.753193780000000E+02
0.410312380000000E+02,-0.753242140000000E+02
0.410336860000000E+02,-0.753231250000000E+02
0.410355170000000E+02,-0.753208290000000E+02
0.410368210000000E+02,-0.753224910000000E+02
0.410374150000000E+02,-0.753268440000000E+02
0.410359750000000E+02,-0.753375070000000E+02
0.410432760000000E+02,-0.753478500000000E+02
0.410438990000000E+02,-0.753756970000000E+02
0.410447920000000E+02,-0.753843760000000E+02
0.410445930000000E+02,-0.753929240000000E+02
0.410505190000000E+02,-0.753989870000000E+02
0.410521440000000E+02,-0.753995900000000E+02
0.410552700000000E+02,-0.754019040000000E+02
0.410552700000000E+02,-0.754019040000000E+02
0.410690700000000E+02,-0.753961780000000E+02
0.410690700000000E+02,-0.753961780000000E+02
0.410684320000000E+02,-0.753911760000000E+02
0.410626360000000E+02,-0.753746280000000E+02
0.410622480000000E+02,-0.753721020000000E+02
0.410652760000000E+02,-0.753562940000000E+02
0.410623300000000E+02,-0.753366130000000E+02
0.410599290000000E+02,-0.753292060000000E+02
0.410547600000000E+02,-0.753196530000000E+02
0.410518310000000E+02,-0.753165700000000E+02
0.410527460000000E+02,-0.753143940000000E+02
0.410527460000000E+02,-0.753143940000000E+02
0.410447150000000E+02,-0.753090750000000E+02
0.410439600000000E+02,-0.753082890000000E+02
0.410441660000000E+02,-0.753076240000000E+02
0.410473920000000E+02,-0.753033930000000E+02
0.410542330000000E+02,-0.753010040000000E+02
0.410627900000000E+02,-0.752955010000000E+02
0.410627900000000E+02,-0.752955010000000E+02
0.410651460000000E+02,-0.752920840000000E+02
END,END
