LAT,LON
0.180950960000000E+02,-0.662247250000000E+02
0.180950030000000E+02,-0.662233510000000E+02
0.180925120000000E+02,-0.662183010000000E+02
0.180859520000000E+02,-0.662152580000000E+02
0.180811740000000E+02,-0.662161820000000E+02
0.180795630000000E+02,-0.662158030000000E+02
0.180696800000000E+02,-0.662078670000000E+02
0.180676530000000E+02,-0.662060680000000E+02
0.180680790000000E+02,-0.662028360000000E+02
0.180676390000000E+02,-0.662016810000000E+02
0.180640760000000E+02,-0.662006770000000E+02
0.180576090000000E+02,-0.662013680000000E+02
0.180551740000000E+02,-0.662036130000000E+02
0.180510180000000E+02,-0.662048070000000E+02
0.180463120000000E+02,-0.662016250000000E+02
0.180491500000000E+02,-0.661960410000000E+02
0.180504020000000E+02,-0.661881390000000E+02
0.180523590000000E+02,-0.661804810000000E+02
0.180534940000000E+02,-0.661779780000000E+02
0.180532890000000E+02,-0.661733250000000E+02
0.180517310000000E+02,-0.661671980000000E+02
0.180500630000000E+02,-0.661661450000000E+02
0.180500630000000E+02,-0.661661450000000E+02
0.180327360000000E+02,-0.661749030000000E+02
0.180321340000000E+02,-0.661778210000000E+02
0.180253130000000E+02,-0.661852070000000E+02
0.180203220000000E+02,-0.661925090000000E+02
0.180200120000000E+02,-0.661948090000000E+02
0.180205620000000E+02,-0.661966110000000E+02
0.180189470000000E+02,-0.662003490000000E+02
0.180129800000000E+02,-0.662055930000000E+02
0.179897700000000E+02,-0.662057880000000E+02
0.179873220000000E+02,-0.662058450000000E+02
0.179804070000000E+02,-0.662058940000000E+02
0.179804070000000E+02,-0.662058940000000E+02
0.179804920000000E+02,-0.662145440000000E+02
0.179832020000000E+02,-0.662145770000000E+02
0.179867540000000E+02,-0.662179950000000E+02
0.179853930000000E+02,-0.662198310000000E+02
0.179838440000000E+02,-0.662205860000000E+02
0.179828940000000E+02,-0.662224130000000E+02
0.179827310000000E+02,-0.662295890000000E+02
0.179787790000000E+02,-0.662307340000000E+02
0.179788340000000E+02,-0.662322000000000E+02
0.179832540000000E+02,-0.662394820000000E+02
0.179820460000000E+02,-0.662430530000000E+02
0.179778700000000E+02,-0.662445550000000E+02
0.179705800000000E+02,-0.662446000000000E+02
0.179709560000000E+02,-0.662433440000000E+02
0.179658870000000E+02,-0.662417980000000E+02
0.179568140000000E+02,-0.662419890000000E+02
0.179537810000000E+02,-0.662325480000000E+02
0.179540950000000E+02,-0.662286130000000E+02
0.179496176463107E+02,-0.662257877640064E+02
0.179496176463107E+02,-0.662257877640064E+02
0.179494023670834E+02,-0.662260040087557E+02
0.179483476442447E+02,-0.662270634620003E+02
0.179439120000000E+02,-0.662315190000000E+02
0.179346510000000E+02,-0.662291810000000E+02
0.179311540000000E+02,-0.662320130000000E+02
0.179317214095074E+02,-0.662354513025239E+02
0.179324525945758E+02,-0.662398820274824E+02
0.179337094229295E+02,-0.662474979663133E+02
0.179345740000000E+02,-0.662527370000000E+02
0.179347540226573E+02,-0.662536850716088E+02
0.179350381131030E+02,-0.662551812059838E+02
0.179352939349828E+02,-0.662565284667384E+02
0.179360830000000E+02,-0.662606840000000E+02
0.179391943853285E+02,-0.662635711057143E+02
0.179394315851850E+02,-0.662637912073696E+02
0.179399735708506E+02,-0.662642941247993E+02
0.179405121027860E+02,-0.662647938374558E+02
0.179418635250347E+02,-0.662660478444285E+02
0.179421568057040E+02,-0.662663199843941E+02
0.179425090624011E+02,-0.662666468491877E+02
0.179426822477294E+02,-0.662668075507074E+02
0.179432943305973E+02,-0.662673755124862E+02
0.179433011981647E+02,-0.662673818850151E+02
0.179466450135931E+02,-0.662704846664490E+02
0.179470980000000E+02,-0.662709050000000E+02
0.179481043724023E+02,-0.662750153643901E+02
0.179482367934340E+02,-0.662755562165556E+02
0.179482600000000E+02,-0.662756510000000E+02
0.179472141397655E+02,-0.662845966818589E+02
0.179464910000000E+02,-0.662907820000000E+02
0.179494607202542E+02,-0.662924002476569E+02
0.179554042491075E+02,-0.662956389707746E+02
0.179591480000000E+02,-0.662976790000000E+02
0.179618826982040E+02,-0.663006844387847E+02
0.179766830000000E+02,-0.663169500000000E+02
0.179767205542842E+02,-0.663170859696129E+02
0.179784660513671E+02,-0.663234057429152E+02
0.179785360000000E+02,-0.663236590000000E+02
0.179784704899280E+02,-0.663241234027291E+02
0.179781597363934E+02,-0.663263263432095E+02
0.179779296252750E+02,-0.663279576073505E+02
0.179765111126895E+02,-0.663380134826620E+02
0.179764925677628E+02,-0.663381449481647E+02
0.179764925677628E+02,-0.663381449481647E+02
0.179870030000000E+02,-0.663420260000000E+02
0.179939330000000E+02,-0.663422250000000E+02
0.179957330000000E+02,-0.663402950000000E+02
0.180063210000000E+02,-0.663348450000000E+02
0.180131840000000E+02,-0.663314960000000E+02
0.180158520000000E+02,-0.663312740000000E+02
0.180158520000000E+02,-0.663312740000000E+02
0.180188620000000E+02,-0.663307290000000E+02
0.180182950000000E+02,-0.663257390000000E+02
0.180208540000000E+02,-0.663234320000000E+02
0.180297480000000E+02,-0.663188850000000E+02
0.180299370000000E+02,-0.663156380000000E+02
0.180322880000000E+02,-0.663127570000000E+02
0.180394550000000E+02,-0.663119260000000E+02
0.180444160000000E+02,-0.663130590000000E+02
0.180469670000000E+02,-0.663106230000000E+02
0.180505220000000E+02,-0.663036440000000E+02
0.180571870000000E+02,-0.662975240000000E+02
