LAT,LON
0.418931990000000E+02,-0.713817000000000E+02
0.418939990000000E+02,-0.713766000000000E+02
0.418943990000000E+02,-0.713737990000000E+02
0.418943990000000E+02,-0.713737990000000E+02
0.418902990000000E+02,-0.713701990000000E+02
0.418817990000000E+02,-0.713648990000000E+02
0.418584000000000E+02,-0.713636990000000E+02
0.418584000000000E+02,-0.713636990000000E+02
0.418581000000000E+02,-0.713655990000000E+02
0.418560000000000E+02,-0.713634990000000E+02
0.418533000000000E+02,-0.713635990000000E+02
0.418427000000000E+02,-0.713676990000000E+02
0.418432770000000E+02,-0.713711600000000E+02
0.418432770000000E+02,-0.713711600000000E+02
0.418490000000000E+02,-0.713673990000000E+02
0.418528000000000E+02,-0.713681990000000E+02
0.418547000000000E+02,-0.713691990000000E+02
0.418569000000000E+02,-0.713732990000000E+02
0.418570000000000E+02,-0.713749990000000E+02
0.418570000000000E+02,-0.713749990000000E+02
0.418600000000000E+02,-0.713753990000000E+02
0.418699990000000E+02,-0.713811000000000E+02
0.418718990000000E+02,-0.713828000000000E+02
0.418723990000000E+02,-0.713843000000000E+02
0.418671990000000E+02,-0.713802990000000E+02
0.418625000000000E+02,-0.713790990000000E+02
0.418605000000000E+02,-0.713803990000000E+02
0.418594000000000E+02,-0.713802990000000E+02
0.418580000000000E+02,-0.713797990000000E+02
0.418572000000000E+02,-0.713788990000000E+02
0.418572000000000E+02,-0.713788990000000E+02
0.418562990000000E+02,-0.713996000000000E+02
0.418562990000000E+02,-0.713996000000000E+02
0.418564990000000E+02,-0.714096010000000E+02
0.418609990000000E+02,-0.714179010000000E+02
0.418785690000000E+02,-0.714221530000000E+02
0.418785690000000E+02,-0.714221530000000E+02
0.418795990000000E+02,-0.714108010000000E+02
0.418807450000000E+02,-0.714045540000000E+02
0.418807450000000E+02,-0.714045540000000E+02
0.418835990000000E+02,-0.713811000000000E+02
0.418931990000000E+02,-0.713817000000000E+02
END,END
