LAT,LON
0.341084680000000E+02,-0.802810850000000E+02
0.341098090000000E+02,-0.802778740000000E+02
0.341114350000000E+02,-0.802764680000000E+02
0.341126490000000E+02,-0.802761100000000E+02
0.341131290000000E+02,-0.802745120000000E+02
0.341033700000000E+02,-0.802716810000000E+02
0.341014000000000E+02,-0.802716820000000E+02
0.340951010000000E+02,-0.802736950000000E+02
0.340911840000000E+02,-0.802734770000000E+02
0.340979370000000E+02,-0.802604220000000E+02
0.340995380000000E+02,-0.802536200000000E+02
0.341045070000000E+02,-0.802501530000000E+02
0.341010060000000E+02,-0.802438260000000E+02
0.340979380000000E+02,-0.802395830000000E+02
0.340956470000000E+02,-0.802410690000000E+02
0.340942030000000E+02,-0.802433810000000E+02
0.340941100000000E+02,-0.802471250000000E+02
0.340906040000000E+02,-0.802536810000000E+02
0.340883140000000E+02,-0.802546740000000E+02
0.340839610000000E+02,-0.802533560000000E+02
0.340835940000000E+02,-0.802530810000000E+02
0.340826610000000E+02,-0.802367660000000E+02
0.340800740000000E+02,-0.802329940000000E+02
0.340720350000000E+02,-0.802289710000000E+02
0.340728840000000E+02,-0.802222000000000E+02
0.340768920000000E+02,-0.802242930000000E+02
0.340797330000000E+02,-0.802248450000000E+02
0.340971640000000E+02,-0.802276320000000E+02
0.341008290000000E+02,-0.802271930000000E+02
0.341155820000000E+02,-0.802224360000000E+02
0.341156810000000E+02,-0.802161740000000E+02
0.341096740000000E+02,-0.802145020000000E+02
0.341012680000000E+02,-0.802145550000000E+02
0.340880730000000E+02,-0.802162580000000E+02
0.340851870000000E+02,-0.802151280000000E+02
0.340837900000000E+02,-0.802127050000000E+02
0.340837680000000E+02,-0.802095390000000E+02
0.340831950000000E+02,-0.802078320000000E+02
0.340784080000000E+02,-0.802041430000000E+02
0.340772170000000E+02,-0.802037020000000E+02
0.340748350000000E+02,-0.802037570000000E+02
0.340686040000000E+02,-0.802019390000000E+02
0.340653290000000E+02,-0.801958560000000E+02
0.340640920000000E+02,-0.801922230000000E+02
0.340574490000000E+02,-0.801838840000000E+02
0.340554790000000E+02,-0.801831680000000E+02
0.340543110000000E+02,-0.801832510000000E+02
0.340515160000000E+02,-0.801817380000000E+02
0.340515160000000E+02,-0.801817380000000E+02
0.340462480000000E+02,-0.801803900000000E+02
0.340304200000000E+02,-0.801870220000000E+02
0.340243500000000E+02,-0.801877100000000E+02
0.340224030000000E+02,-0.801874900000000E+02
0.340077420000000E+02,-0.801898560000000E+02
0.340067110000000E+02,-0.801896630000000E+02
0.340049240000000E+02,-0.801882880000000E+02
0.340039390000000E+02,-0.801881230000000E+02
0.339915510000000E+02,-0.801875720000000E+02
0.339778980000000E+02,-0.801828980000000E+02
0.339738440000000E+02,-0.801820460000000E+02
0.339705690000000E+02,-0.801827610000000E+02
0.339649570000000E+02,-0.801824870000000E+02
0.339618870000000E+02,-0.801816070000000E+02
0.339520830000000E+02,-0.801804260000000E+02
0.339559690000000E+02,-0.801678510000000E+02
0.339553110000000E+02,-0.801675880000000E+02
0.339565920000000E+02,-0.801582970000000E+02
0.339565620000000E+02,-0.801543890000000E+02
0.339547580000000E+02,-0.801540370000000E+02
0.339480460000000E+02,-0.801547820000000E+02
0.339425490000000E+02,-0.801576150000000E+02
0.339399840000000E+02,-0.801596490000000E+02
0.339356550000000E+02,-0.801610810000000E+02
0.339343880000000E+02,-0.801604260000000E+02
0.339361800000000E+02,-0.801543190000000E+02
0.339367510000000E+02,-0.801485480000000E+02
0.339366360000000E+02,-0.801467890000000E+02
0.339353070000000E+02,-0.801447290000000E+02
0.339348470000000E+02,-0.801409640000000E+02
0.339366990000000E+02,-0.801322790000000E+02
0.339395370000000E+02,-0.801274400000000E+02
0.339365380000000E+02,-0.801224540000000E+02
0.339318210000000E+02,-0.801194550000000E+02
0.339268280000000E+02,-0.801185730000000E+02
0.339124650000000E+02,-0.801195520000000E+02
0.339111810000000E+02,-0.801210900000000E+02
0.339111810000000E+02,-0.801210900000000E+02
0.339100850000000E+02,-0.801384230000000E+02
0.338958850000000E+02,-0.801769210000000E+02
0.338958850000000E+02,-0.801769210000000E+02
0.339003130000000E+02,-0.801797440000000E+02
0.339016410000000E+02,-0.801796340000000E+02
0.339052380000000E+02,-0.801825180000000E+02
0.339103240000000E+02,-0.801881780000000E+02
0.339122020000000E+02,-0.801918880000000E+02
0.339131180000000E+02,-0.802002950000000E+02
0.339149030000000E+02,-0.802045810000000E+02
0.339203310000000E+02,-0.802107370000000E+02
0.339242920000000E+02,-0.802190640000000E+02
0.339259650000000E+02,-0.802191740000000E+02
0.339300180000000E+02,-0.802236270000000E+02
0.339309560000000E+02,-0.802268160000000E+02
0.339304740000000E+02,-0.802291240000000E+02
0.339321670000000E+02,-0.802371210000000E+02
0.339453590000000E+02,-0.802426260000000E+02
0.339463200000000E+02,-0.802457870000000E+02
0.339479460000000E+02,-0.802470810000000E+02
0.339497320000000E+02,-0.802472190000000E+02
0.339526640000000E+02,-0.802464510000000E+02
0.339535340000000E+02,-0.802467820000000E+02
0.339570620000000E+02,-0.802543810000000E+02
0.339586800000000E+02,-0.802548730000000E+02
0.339594680000000E+02,-0.802559460000000E+02
0.339614170000000E+02,-0.802615800000000E+02
0.339629560000000E+02,-0.802706240000000E+02
0.339621560000000E+02,-0.802767820000000E+02
0.339629820000000E+02,-0.802828300000000E+02
0.339678160000000E+02,-0.802853850000000E+02
0.339729710000000E+02,-0.802862350000000E+02
0.339778720000000E+02,-0.802856290000000E+02
0.339809410000000E+02,-0.802896020000000E+02
0.339824760000000E+02,-0.802853520000000E+02
0.339822010000000E+02,-0.802827400000000E+02
0.339981690000000E+02,-0.802889770000000E+02
0.339997130000000E+02,-0.802792130000000E+02
0.340017770000000E+02,-0.802701930000000E+02
0.339916900000000E+02,-0.802637250000000E+02
0.339837520000000E+02,-0.802611270000000E+02
0.339817360000000E+02,-0.802611550000000E+02
0.339806560000000E+02,-0.802480100000000E+02
0.339753150000000E+02,-0.802313550000000E+02
0.339790560000000E+02,-0.802240090000000E+02
0.339825670000000E+02,-0.802229610000000E+02
0.339840550000000E+02,-0.802257120000000E+02
0.339864370000000E+02,-0.802279680000000E+02
0.339890480000000E+02,-0.802280240000000E+02
0.339896200000000E+02,-0.802309940000000E+02
0.339886090000000E+02,-0.802389950000000E+02
0.339916080000000E+02,-0.802430670000000E+02
0.339917890000000E+02,-0.802477420000000E+02
0.339923600000000E+02,-0.802502240000000E+02
0.339963470000000E+02,-0.802544070000000E+02
0.339997310000000E+02,-0.802547900000000E+02
0.340027790000000E+02,-0.802558350000000E+02
0.340051840000000E+02,-0.802557510000000E+02
0.340130890000000E+02,-0.802596510000000E+02
0.340152650000000E+02,-0.802593200000000E+02
0.340171660000000E+02,-0.802580530000000E+02
0.340185400000000E+02,-0.802577220000000E+02
0.340218160000000E+02,-0.802587660000000E+02
0.340228930000000E+02,-0.802596450000000E+02
0.340237870000000E+02,-0.802612680000000E+02
0.340265830000000E+02,-0.802636600000000E+02
0.340298130000000E+02,-0.802647860000000E+02
0.340351130000000E+02,-0.802690750000000E+02
0.340392510000000E+02,-0.802645050000000E+02
0.340512050000000E+02,-0.802469320000000E+02
0.340535890000000E+02,-0.802425030000000E+02
0.340606420000000E+02,-0.802480110000000E+02
0.340550310000000E+02,-0.802576150000000E+02
0.340488940000000E+02,-0.802626550000000E+02
0.340423670000000E+02,-0.802664570000000E+02
0.340397473445312E+02,-0.802689302929687E+02
0.340387500000000E+02,-0.802725400000000E+02
0.340419810000000E+02,-0.802764730000000E+02
0.340500910000000E+02,-0.802766070000000E+02
0.340518080000000E+02,-0.802760010000000E+02
0.340534350000000E+02,-0.802766880000000E+02
0.340572620000000E+02,-0.802804850000000E+02
0.340707300000000E+02,-0.802820470000000E+02
0.340732040000000E+02,-0.802805600000000E+02
0.340923080000000E+02,-0.802770840000000E+02
0.340944150000000E+02,-0.802773580000000E+02
0.340953090000000E+02,-0.802784590000000E+02
0.340995930000000E+02,-0.802805500000000E+02
0.341084680000000E+02,-0.802810850000000E+02
END,END
