LAT,LON
0.457272390000000E+02,-0.967190280000000E+02
0.457279010000000E+02,-0.967188460000000E+02
0.457289080000000E+02,-0.967145710000000E+02
0.457282010000000E+02,-0.967053370000000E+02
0.457300980000000E+02,-0.966999210000000E+02
0.457331150000000E+02,-0.966946350000000E+02
0.457350800000000E+02,-0.966919590000000E+02
0.457369310000000E+02,-0.966904570000000E+02
0.457467570000000E+02,-0.966756380000000E+02
0.457485380000000E+02,-0.966693040000000E+02
0.457504450000000E+02,-0.966658490000000E+02
0.457546110000000E+02,-0.966632690000000E+02
0.457587000000000E+02,-0.966578150000000E+02
0.457594770000000E+02,-0.966551050000000E+02
0.457590640000000E+02,-0.966522970000000E+02
0.457598630000000E+02,-0.966479550000000E+02
0.457613480000000E+02,-0.966465170000000E+02
0.457634280000000E+02,-0.966471030000000E+02
0.457677920000000E+02,-0.966450100000000E+02
0.457692035195395E+02,-0.966389204694533E+02
0.457692035195395E+02,-0.966389204694533E+02
0.457690454105031E+02,-0.966389522503306E+02
0.457654000000000E+02,-0.966396850000000E+02
0.457646690681065E+02,-0.966399832424221E+02
0.457598710000000E+02,-0.966419410000000E+02
0.457468090000000E+02,-0.966522260000000E+02
0.457397953624596E+02,-0.966611744936209E+02
0.457386820000000E+02,-0.966625950000000E+02
0.457354751392358E+02,-0.966676837311527E+02
0.457332620775278E+02,-0.966711954757792E+02
0.457323360000000E+02,-0.966726650000000E+02
0.457259310000000E+02,-0.966872240000000E+02
0.457175610000000E+02,-0.967111570000000E+02
0.457015760000000E+02,-0.967450860000000E+02
0.456987820000000E+02,-0.967503500000000E+02
0.456909570000000E+02,-0.967571740000000E+02
0.456875180000000E+02,-0.967608660000000E+02
0.456683550000000E+02,-0.968001560000000E+02
0.456541640000000E+02,-0.968261600000000E+02
0.456530670000000E+02,-0.968274280000000E+02
0.456517160000000E+02,-0.968326590000000E+02
0.456496480000000E+02,-0.968357690000000E+02
0.456452940000000E+02,-0.968407460000000E+02
0.456395830000000E+02,-0.968442110000000E+02
0.456194120000000E+02,-0.968516210000000E+02
0.456148400000000E+02,-0.968523920000000E+02
0.456090590768993E+02,-0.968566437049533E+02
0.456090410000000E+02,-0.968566570000000E+02
0.456086519943275E+02,-0.968567952176699E+02
0.456086519943275E+02,-0.968567952176699E+02
0.456093900000000E+02,-0.968582740000000E+02
0.456125440000000E+02,-0.968588950000000E+02
0.456176640000000E+02,-0.968581820000000E+02
0.456286430000000E+02,-0.968541570000000E+02
0.456434550000000E+02,-0.968478470000000E+02
0.456467470000000E+02,-0.968454370000000E+02
0.456508390000000E+02,-0.968411380000000E+02
0.456550450000000E+02,-0.968345900000000E+02
0.456564170000000E+02,-0.968308430000000E+02
0.456617660000000E+02,-0.968199260000000E+02
0.456683940000000E+02,-0.968112560000000E+02
0.456732840000000E+02,-0.968064640000000E+02
0.456773750000000E+02,-0.968001700000000E+02
0.456826520000000E+02,-0.967904530000000E+02
0.456866050000000E+02,-0.967848430000000E+02
0.456908990000000E+02,-0.967772750000000E+02
0.456907160000000E+02,-0.967759380000000E+02
0.456896640000000E+02,-0.967752540000000E+02
0.456922220000000E+02,-0.967705570000000E+02
0.456947580000000E+02,-0.967674890000000E+02
0.457004000000000E+02,-0.967626580000000E+02
0.457107730000000E+02,-0.967558940000000E+02
0.457128060000000E+02,-0.967538700000000E+02
0.457147920000000E+02,-0.967509310000000E+02
0.457158950000000E+02,-0.967431120000000E+02
0.457173820000000E+02,-0.967405360000000E+02
0.457208790000000E+02,-0.967379290000000E+02
0.457221600000000E+02,-0.967364290000000E+02
0.457229380000000E+02,-0.967335260000000E+02
0.457228710000000E+02,-0.967294480000000E+02
0.457264390000000E+02,-0.967196290000000E+02
0.457272390000000E+02,-0.967190280000000E+02
END,END
0.454997530000000E+02,-0.967578410000000E+02
0.455019930000000E+02,-0.967608820000000E+02
0.455110910000000E+02,-0.967650990000000E+02
0.455179720000000E+02,-0.967696130000000E+02
0.455206240000000E+02,-0.967731550000000E+02
0.455452440000000E+02,-0.967963600000000E+02
0.455511410000000E+02,-0.968004570000000E+02
0.455553584193969E+02,-0.968018521387386E+02
0.455553584193969E+02,-0.968018521387386E+02
0.455542250000000E+02,-0.967991020000000E+02
0.455507240000000E+02,-0.967938400000000E+02
0.455413000000000E+02,-0.967848630000000E+02
0.455359720000000E+02,-0.967810360000000E+02
0.455315295441311E+02,-0.967762279676693E+02
0.455269418455631E+02,-0.967712627403965E+02
0.455235050945838E+02,-0.967675431739431E+02
0.455214140000000E+02,-0.967652800000000E+02
0.455148950000000E+02,-0.967605910000000E+02
0.455114690781631E+02,-0.967585120907861E+02
0.455021630000000E+02,-0.967528650000000E+02
0.454996743060963E+02,-0.967514999279889E+02
0.454996743060963E+02,-0.967514999279889E+02
0.454997530000000E+02,-0.967578410000000E+02
END,END
