LAT,LON
0.455584220000000E+02,-0.976720940000000E+02
0.455170010000000E+02,-0.976727880000000E+02
0.455138690000000E+02,-0.976710000000000E+02
0.455099370000000E+02,-0.976727900000000E+02
0.455004730000000E+02,-0.976731160000000E+02
0.455004730000000E+02,-0.976731160000000E+02
0.454713480000000E+02,-0.976732840000000E+02
0.454712810000000E+02,-0.976939150000000E+02
0.454423170000000E+02,-0.976942370000000E+02
0.454423170000000E+02,-0.976942370000000E+02
0.454426570000000E+02,-0.978377830000000E+02
0.454426570000000E+02,-0.978377830000000E+02
0.454425830000000E+02,-0.978574950000000E+02
0.455587120000000E+02,-0.978563210000000E+02
0.455587120000000E+02,-0.978563210000000E+02
0.455588320000000E+02,-0.978365030000000E+02
0.455441100000000E+02,-0.978367240000000E+02
0.455441420000000E+02,-0.977543510000000E+02
0.455586810000000E+02,-0.977542710000000E+02
0.455584220000000E+02,-0.976720940000000E+02
END,END
